"1.01 - POPULAÇÃO RESIDENTE, POPULAÇÃO PRESENTE, FAMÍLIAS, NÚCLEOS FAMILIARES, ALOJAMENTOS E EDIFÍCIOS",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,População residente,,,População presente,,,Famílias,,Núcleos familiares ,Alojamentos familiares,,,Alojamentos colectivos,Edifícios clássicos,,
,Total,H,M,Total,H,M,Clássicas ,Institucionais,,Total ,Clássicos,Não clássicos,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,
    Portugal,10562178,5046600,5515578,10282306,4868755,5413551,4043726,4833,3226371,5866152,5859540,6612,12604,3544389,,
        Continente,10047621,4798798,5248823,9769564,4622125,5147439,3869188,4579,3077900,5627555,5621098,6457,11702,3353610,,
            Norte,3689682,1766260,1923422,3583442,1695397,1888045,1330892,1235,1133106,1847784,1846589,1195,3106,1209911,,
            Centro,2327755,1111263,1216492,2258474,1066340,1192134,904770,1477,720204,1445343,1443886,1457,3301,1111952,,
            Lisboa,2821876,1334605,1487271,2731459,1281415,1450044,1147775,1172,852217,1485795,1483717,2078,2063,448957,,
            Alentejo,757302,366739,390563,733327,352913,380414,302975,543,233364,470284,469287,997,1455,383866,,
            Algarve,451006,219931,231075,462862,226060,236802,182776,152,139009,378349,377619,730,1777,198924,,
        Região Autónoma dos Açores,246772,121534,125238,239795,118183,121612,81715,141,71201,109439,109337,102,417,98818,,
            Região Autónoma dos Açores,246772,121534,125238,239795,118183,121612,81715,141,71201,109439,109337,102,417,98818,,
        Região Autónoma da Madeira,267785,126268,141517,272947,128447,144500,92823,113,77270,129158,129105,53,485,91961,,
            Região Autónoma da Madeira,267785,126268,141517,272947,128447,144500,92823,113,77270,129158,129105,53,485,91961,,
