"1.05 - POPULAÇÃO RESIDENTE E DESEMPREGADA (SENTIDO RESTRITO), SEGUNDO A CONDIÇÃO DE PROCURA DE EMPREGO E ",,,,,,,,,,,,,,
"SEXO, TAXAS DE DESEMPREGO (SENTIDO RESTRITO) EM 2001 E 2011   ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,População desempregada,,,,,,,,,Taxa de desemprego (%),,,,
,Total ,,,Procura do 1º emprego,,,Procura de novo emprego,,,Em 2011,,,,
,HM,H,M,HM,H,M,HM,H,M,HM,H,M,,
1,2,3,4,5,6,7,8,9,10,11,12,13,,
    Portugal,662180,327600,334580,122310,56596,65714,539870,271004,268866,13.18,12.58,13.83,,
        Continente,630711,309345,321366,114999,53112,61887,515712,256233,259479,13.19,12.51,13.92,,
            Norte,254182,120019,134163,46644,20210,26434,207538,99809,107729,14.47,12.98,16.13,,
            Centro,116014,55259,60755,21570,9756,11814,94444,45503,48941,10.98,9.99,12.08,,
            Lisboa,181782,94133,87649,34777,17433,17344,147005,76700,70305,12.94,13.47,12.41,,
            Alentejo,43963,21640,22323,7204,3282,3922,36759,18358,18401,12.83,11.92,13.86,,
            Algarve,34770,18294,16476,4804,2431,2373,29966,15863,14103,15.74,15.97,15.48,,
        Região Autónoma dos Açores,12793,7194,5599,3435,1604,1831,9358,5590,3768,11.13,11.13,11.14,,
            Região Autónoma dos Açores,12793,7194,5599,3435,1604,1831,9358,5590,3768,11.13,11.13,11.14,,
        Região Autónoma da Madeira,18676,11061,7615,3876,1880,1996,14800,9181,5619,14.65,16.69,12.44,,
            Região Autónoma da Madeira,18676,11061,7615,3876,1880,1996,14800,9181,5619,14.65,16.69,12.44,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
