"2.01 - EDIFÍCIOS, SEGUNDO O NÚMERO DE PISOS, POR PRINCIPAIS MATERIAIS UTILIZADOS NA CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Edifícios segundo o número de pisos,,,,,,,,,,,,,
Principais materiais utilizados na construção,Total,1 piso,2 pisos,3 pisos,4 pisos,5 pisos,6 pisos,7 ou mais pisos,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
 Portugal,,,,,,,,,,,,,,
  Tipo de estrutura da construção,3544389,1395703,1611913,336787,95973,46283,22750,34980,,,,,,
      Betão armado,1721109,533452,807770,216696,72782,37195,19771,33443,,,,,,
      Paredes de alvenaria com placa,1123774,455928,551440,90509,15805,5913,2879,1300,,,,,,
"      Paredes de alvenaria, sem placa",481115,265209,182812,23086,7003,3005,0,0,,,,,,
      Paredes de alvenaria de pedra solta ou de adobe,189072,123902,60388,4782,0,0,0,0,,,,,,
      Outros,29319,17212,9503,1714,383,170,100,237,,,,,,
  Revestimento exterior,3544389,1395703,1611913,336787,95973,46283,22750,34980,,,,,,
      Reboco tradicional ou marmorite,2977132,1188477,1340735,292376,78305,35396,16939,24904,,,,,,
      Pedra,411206,158377,221982,24213,3235,1370,693,1336,,,,,,
      Ladrilho cerâmico ou mosaico,133014,34658,43700,18591,13755,9151,4949,8210,,,,,,
      Outros,23037,14191,5496,1607,678,366,169,530,,,,,,
  Cobertura,3544389,1395703,1611913,336787,95973,46283,22750,34980,,,,,,
      Em terraço,105563,24729,28669,16229,11347,7608,5047,11934,,,,,,
      Inclinada,3365068,1350927,1552808,310114,80316,36032,15972,18899,,,,,,
        Revestida a telhas cerâmicas ou de betão,3299939,1314386,1536297,305050,77352,34209,15167,17478,,,,,,
        Revestida a outros materiais,65129,36541,16511,5064,2964,1823,805,1421,,,,,,
      Mista (inclinada e terraço),73758,20047,30436,10444,4310,2643,1731,4147,,,,,,
  Continente,,,,,,,,,,,,,,
    Tipo de estrutura da construção,3353610,1323027,1514134,320570,93994,45362,22326,34197,,,,,,
        Betão armado,1599434,491547,744308,204088,71107,36349,19364,32671,,,,,,
        Paredes de alvenaria com placa,1098244,447206,536893,88494,15624,5873,2862,1292,,,,,,
"        Paredes de alvenaria, sem placa",449413,249435,168320,21803,6883,2972,0,0,,,,,,
        Paredes de alvenaria de pedra solta ou de adobe,178421,118478,55432,4511,0,0,0,0,,,,,,
        Outros,28098,16361,9181,1674,380,168,100,234,,,,,,
    Revestimento exterior,3353610,1323027,1514134,320570,93994,45362,22326,34197,,,,,,
        Reboco tradicional ou marmorite,2806739,1126086,1252130,276931,76422,34501,16523,24146,,,,,,
        Pedra,392748,149175,213480,23553,3169,1353,686,1332,,,,,,
        Ladrilho cerâmico ou mosaico,132217,34360,43307,18527,13727,9146,4949,8201,,,,,,
        Outros,21906,13406,5217,1559,676,362,168,518,,,,,,
    Cobertura,3353610,1323027,1514134,320570,93994,45362,22326,34197,,,,,,
        Em terraço,95875,20605,24693,15500,11060,7416,4960,11641,,,,,,
        Inclinada,3193803,1285326,1464320,295857,78791,35351,15671,18487,,,,,,
          Revestida a telhas cerâmicas ou de betão,3132143,1250969,1448856,290935,75894,33545,14868,17076,,,,,,
          Revestida a outros materiais,61660,34357,15464,4922,2897,1806,803,1411,,,,,,
        Mista (inclinada e terraço),63932,17096,25121,9213,4143,2595,1695,4069,,,,,,
   Norte,,,,,,,,,,,,,,
      Tipo de estrutura da construção,1209911,346987,678957,126733,29427,12989,6126,8692,,,,,,
          Betão armado,597409,141929,325553,82738,22592,10866,5427,8304,,,,,,
          Paredes de alvenaria com placa,399887,111291,245576,35380,5007,1631,681,321,,,,,,
"          Paredes de alvenaria, sem placa",162483,70866,82518,6940,1701,458,0,0,,,,,,
          Paredes de alvenaria de pedra solta ou de adobe,40729,18318,21238,1173,0,0,0,0,,,,,,
          Outros,9403,4583,4072,502,127,34,18,67,,,,,,
      Revestimento exterior,1209911,346987,678957,126733,29427,12989,6126,8692,,,,,,
          Reboco tradicional ou marmorite,881581,248281,504215,99841,17831,5970,2455,2988,,,,,,
          Pedra,245967,82627,147168,13115,1672,649,306,430,,,,,,
          Ladrilho cerâmico ou mosaico,74571,12778,24908,12906,9527,6176,3275,5001,,,,,,
          Outros,7792,3301,2666,871,397,194,90,273,,,,,,
      Cobertura,1209911,346987,678957,126733,29427,12989,6126,8692,,,,,,
          Em terraço,37394,4336,9296,8333,5498,3354,2342,4235,,,,,,
          Inclinada,1162405,341230,666032,116408,22805,8929,3340,3661,,,,,,
            Revestida a telhas cerâmicas ou de betão,1137133,331051,657242,113560,21329,7909,2938,3104,,,,,,
            Revestida a outros materiais,25272,10179,8790,2848,1476,1020,402,557,,,,,,
          Mista (inclinada e terraço),10112,1421,3629,1992,1124,706,444,796,,,,,,
   Centro,,,,,,,,,,,,,,
      Tipo de estrutura da construção,1111952,441104,521850,114069,19526,7674,3863,3866,,,,,,
          Betão armado,472353,153693,227029,64013,14161,6389,3425,3643,,,,,,
          Paredes de alvenaria com placa,396783,154715,198386,37797,4119,1126,437,203,,,,,,
"          Paredes de alvenaria, sem placa",155741,80615,64960,8857,1164,145,0,0,,,,,,
          Paredes de alvenaria de pedra solta ou de adobe,75101,45558,27085,2458,0,0,0,0,,,,,,
          Outros,11974,6523,4390,944,82,14,1,20,,,,,,
      Revestimento exterior,1111952,441104,521850,114069,19526,7674,3863,3866,,,,,,
          Reboco tradicional ou marmorite,954417,378156,446521,101030,16682,6160,2991,2877,,,,,,
          Pedra,116919,46032,60789,9051,715,162,67,103,,,,,,
          Ladrilho cerâmico ou mosaico,33274,12099,12746,3541,1981,1311,767,829,,,,,,
          Outros,7342,4817,1794,447,148,41,38,57,,,,,,
      Cobertura,1111952,441104,521850,114069,19526,7674,3863,3866,,,,,,
          Em terraço,9054,1883,2915,1635,938,642,343,698,,,,,,
          Inclinada,1092897,437022,514859,110419,17921,6653,3285,2738,,,,,,
            Revestida a telhas cerâmicas ou de betão,1077930,427830,510771,109301,17620,6536,3211,2661,,,,,,
            Revestida a outros materiais,14967,9192,4088,1118,301,117,74,77,,,,,,
          Mista (inclinada e terraço),10001,2199,4076,2015,667,379,235,430,,,,,,
   Lisboa,,,,,,,,,,,,,,
      Tipo de estrutura da construção,448957,159072,150078,52804,36331,20659,10668,19345,,,,,,
          Betão armado,292978,80827,103648,38236,27236,15536,8990,18505,,,,,,
          Paredes de alvenaria com placa,97116,43654,34343,9137,5039,2649,1597,697,,,,,,
"          Paredes de alvenaria, sem placa",48138,27292,9943,4654,3893,2356,0,0,,,,,,
          Paredes de alvenaria de pedra solta ou de adobe,7663,5323,1766,574,0,0,0,0,,,,,,
