"2.04 - EDIFÍCIOS, SEGUNDO O NÚMERO DE PISOS, POR ÉPOCA DE CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Edifícios segundo o número de pisos,,,,,,,,,,,,,
Época de construção,Total,1 piso,2 pisos,3 pisos,4 pisos,5 pisos,6 pisos,7 ou mais pisos,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,3544389,1395703,1611913,336787,95973,46283,22750,34980,,,,,,
      Até 1919,206343,105718,82648,12381,3786,1810,0,0,,,,,,
      1919 - 1945,305696,173038,110981,14960,3939,1540,879,359,,,,,,
      1946 - 1960,387340,209508,144704,19716,7705,3170,1154,1383,,,,,,
      1961 - 1970,408831,196852,167646,23750,11143,4701,1911,2828,,,,,,
      1971 - 1980,588858,235036,277295,45544,15066,7275,2968,5674,,,,,,
      1981 - 1990,578845,187638,294184,62177,15683,8294,4290,6579,,,,,,
      1991 - 1995,268179,80753,134129,33140,8613,4611,2598,4335,,,,,,
      1996 - 2000,290292,78490,143344,41791,11423,5847,3731,5666,,,,,,
      2001 - 2005,300635,73847,151200,49907,11316,5843,3295,5227,,,,,,
      2006 - 2011,209370,54823,105782,33421,7299,3192,1924,2929,,,,,,
    Continente,3353610,1323027,1514134,320570,93994,45362,22326,34197,,,,,,
        Até 1919,195169,100497,77448,11713,3717,1794,0,0,,,,,,
        1919 - 1945,288132,164286,102967,14226,3891,1527,876,359,,,,,,
        1946 - 1960,365612,198461,134902,18962,7622,3135,1149,1381,,,,,,
        1961 - 1970,390633,188318,158930,22934,11069,4665,1902,2815,,,,,,
        1971 - 1980,565368,225553,265022,44093,14904,7236,2946,5614,,,,,,
        1981 - 1990,546632,175977,277288,59215,15317,8089,4229,6517,,,,,,
        1991 - 1995,253730,76231,126207,31558,8391,4528,2572,4243,,,,,,
        1996 - 2000,272578,73545,133460,39643,11070,5683,3653,5524,,,,,,
        2001 - 2005,280855,68882,140416,46858,10969,5620,3148,4962,,,,,,
        2006 - 2011,194901,51277,97494,31368,7044,3085,1851,2782,,,,,,
      Norte,1209911,346987,678957,126733,29427,12989,6126,8692,,,,,,
          Até 1919,71817,27248,38842,4263,1144,320,0,0,,,,,,
          1919 - 1945,87996,38282,44364,4169,868,199,59,55,,,,,,
          1946 - 1960,112397,47721,57419,5371,1302,371,121,92,,,,,,
          1961 - 1970,133424,49054,72943,7653,2383,823,288,280,,,,,,
          1971 - 1980,206637,60552,123169,15810,4007,1585,608,906,,,,,,
          1981 - 1990,216376,50349,129486,24957,5591,2845,1262,1886,,,,,,
          1991 - 1995,100530,21549,57499,13958,3353,1776,911,1484,,,,,,
          1996 - 2000,104083,19244,57476,17365,4548,2348,1344,1758,,,,,,
          2001 - 2005,103963,18401,56980,20209,4038,1826,1001,1508,,,,,,
          2006 - 2011,72688,14587,40779,12978,2193,896,532,723,,,,,,
      Centro,1111952,441104,521850,114069,19526,7674,3863,3866,,,,,,
          Até 1919,57408,27919,25425,3602,387,75,0,0,,,,,,
          1919 - 1945,100388,53127,40840,5617,684,91,23,6,,,,,,
          1946 - 1960,129672,69674,51777,6809,1100,200,53,59,,,,,,
          1961 - 1970,134526,65676,58396,8203,1558,426,132,135,,,,,,
          1971 - 1980,192304,76718,93449,17523,2808,960,418,428,,,,,,
          1981 - 1990,176125,57812,89012,22224,3671,1587,916,903,,,,,,
          1991 - 1995,80440,24235,40361,11464,2117,1034,619,610,,,,,,
          1996 - 2000,86772,24287,43668,13720,2553,1207,659,678,,,,,,
          2001 - 2005,91517,23879,46713,15324,2908,1433,668,592,,,,,,
          2006 - 2011,62800,17777,32209,9583,1740,661,375,455,,,,,,
      Lisboa,448957,159072,150078,52804,36331,20659,10668,19345,,,,,,
          Até 1919,22297,10123,5719,2924,2135,1396,0,0,,,,,,
          1919 - 1945,28955,15046,6433,2949,2218,1222,791,296,,,,,,
          1946 - 1960,54006,24658,14245,5535,4913,2492,958,1205,,,,,,
          1961 - 1970,59963,25631,15299,5614,6519,3192,1413,2295,,,,,,
          1971 - 1980,83916,33727,26180,7492,6650,4155,1755,3957,,,,,,
          1981 - 1990,71920,23832,28240,7899,4256,2803,1734,3156,,,,,,
          1991 - 1995,32031,9277,12943,3679,2122,1233,899,1878,,,,,,
          1996 - 2000,35452,7530,14052,5185,2889,1646,1379,2771,,,,,,
          2001 - 2005,35446,5274,15952,6495,2658,1553,1093,2421,,,,,,
          2006 - 2011,24971,3974,11015,5032,1971,967,646,1366,,,,,,
      Alentejo,383866,273573,92982,11637,3262,1391,495,526,,,,,,
          Até 1919,32538,25786,5892,816,41,3,0,0,,,,,,
          1919 - 1945,54373,44339,8679,1250,95,7,2,1,,,,,,
          1946 - 1960,52225,43037,8116,834,190,35,9,4,,,,,,
          1961 - 1970,45213,36026,7968,791,262,106,32,28,,,,,,
          1971 - 1980,52443,37979,12100,1423,546,240,53,102,,,,,,
          1981 - 1990,48055,29189,16181,1607,602,263,105,108,,,,,,
          1991 - 1995,23571,14282,7801,971,282,126,45,64,,,,,,
          1996 - 2000,27675,16200,9361,1334,429,186,76,89,,,,,,
          2001 - 2005,28601,15928,10105,1618,483,283,96,88,,,,,,
          2006 - 2011,19172,10807,6779,993,332,142,77,42,,,,,,
      Algarve,198924,102291,70267,15327,5448,2649,1174,1768,,,,,,
          Até 1919,11109,9421,1570,108,10,0,0,0,,,,,,
          1919 - 1945,16420,13492,2651,241,26,8,1,1,,,,,,
          1946 - 1960,17312,13371,3345,413,117,37,8,21,,,,,,
          1961 - 1970,17507,11931,4324,673,347,118,37,77,,,,,,
          1971 - 1980,30068,16577,10124,1845,893,296,112,221,,,,,,
          1981 - 1990,34156,14795,14369,2528,1197,591,212,464,,,,,,
          1991 - 1995,17158,6888,7603,1486,517,359,98,207,,,,,,
          1996 - 2000,18596,6284,8903,2039,651,296,195,228,,,,,,
          2001 - 2005,21328,5400,10666,3212,882,525,290,353,,,,,,
          2006 - 2011,15270,4132,6712,2782,808,419,221,196,,,,,,
    Região Autónoma dos Açores,98818,42345,50355,5390,471,154,31,72,,,,,,
        Até 1919,7098,3384,3206,469,32,7,0,0,,,,,,
        1919 - 1945,10145,5265,4456,404,19,1,0,0,,,,,,
        1946 - 1960,11851,6270,5162,386,18,13,1,1,,,,,,
        1961 - 1970,8749,4416,4018,277,25,9,3,1,,,,,,
        1971 - 1980,10579,4576,5533,433,26,6,0,5,,,,,,
        1981 - 1990,17236,7302,8708,1074,99,37,6,10,,,,,,
        1991 - 1995,6504,2336,3700,428,29,11,0,0,,,,,,
        1996 - 2000,8710,3051,5085,499,53,14,3,5,,,,,,
        2001 - 2005,9984,3290,5772,771,78,23,10,40,,,,,,
        2006 - 2011,7962,2455,4715,649,92,33,8,10,,,,,,
      Região Autónoma dos Açores,98818,42345,50355,5390,471,154,31,72,,,,,,
          Até 1919,7098,3384,3206,469,32,7,0,0,,,,,,
          1919 - 1945,10145,5265,4456,404,19,1,0,0,,,,,,
          1946 - 1960,11851,6270,5162,386,18,13,1,1,,,,,,
          1961 - 1970,8749,4416,4018,277,25,9,3,1,,,,,,
          1971 - 1980,10579,4576,5533,433,26,6,0,5,,,,,,
          1981 - 1990,17236,7302,8708,1074,99,37,6,10,,,,,,
          1991 - 1995,6504,2336,3700,428,29,11,0,0,,,,,,
          1996 - 2000,8710,3051,5085,499,53,14,3,5,,,,,,
          2001 - 2005,9984,3290,5772,771,78,23,10,40,,,,,,
          2006 - 2011,7962,2455,4715,649,92,33,8,10,,,,,,
    Região Autónoma da Madeira,91961,30331,47424,10827,1508,767,393,711,,,,,,
        Até 1919,4076,1837,1994,199,37,9,0,0,,,,,,
        1919 - 1945,7419,3487,3558,330,29,12,3,0,,,,,,
        1946 - 1960,9877,4777,4640,368,65,22,4,1,,,,,,
        1961 - 1970,9449,4118,4698,539,49,27,6,12,,,,,,
        1971 - 1980,12911,4907,6740,1018,136,33,22,55,,,,,,
        1981 - 1990,14977,4359,8188,1888,267,168,55,52,,,,,,
        1991 - 1995,7945,2186,4222,1154,193,72,26,92,,,,,,
        1996 - 2000,9004,1894,4799,1649,300,150,75,137,,,,,,
        2001 - 2005,9796,1675,5012,2278,269,200,137,225,,,,,,
        2006 - 2011,6507,1091,3573,1404,163,74,65,137,,,,,,
      Região Autónoma da Madeira,91961,30331,47424,10827,1508,767,393,711,,,,,,
          Até 1919,4076,1837,1994,199,37,9,0,0,,,,,,
          1919 - 1945,7419,3487,3558,330,29,12,3,0,,,,,,
          1946 - 1960,9877,4777,4640,368,65,22,4,1,,,,,,
          1961 - 1970,9449,4118,4698,539,49,27,6,12,,,,,,
          1971 - 1980,12911,4907,6740,1018,136,33,22,55,,,,,,
          1981 - 1990,14977,4359,8188,1888,267,168,55,52,,,,,,
          1991 - 1995,7945,2186,4222,1154,193,72,26,92,,,,,,
          1996 - 2000,9004,1894,4799,1649,300,150,75,137,,,,,,
          2001 - 2005,9796,1675,5012,2278,269,200,137,225,,,,,,
          2006 - 2011,6507,1091,3573,1404,163,74,65,137,,,,,,
