"2.10 - EDIFICIOS SEGUNDO O NÚMERO DE ALOJAMENTOS, POR EXISTENCIA DE SISTEMA DE RECOLHA DE RESÍDUOS ",,,,,,,,,,,,,,
URBANOS (RU),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Edíficios segundo o número de alojamentos,,,,,,,,,,,,,
Recolha de RU,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7 ou +,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,3544389,3089935,173538,42261,37623,12143,43111,145778,,,,,,
    Com recolha de resíduos urbanos,3297364,2868145,163535,39694,35850,11481,41002,137657,,,,,,
    Sem recolha de resíduos urbanos,247025,221790,10003,2567,1773,662,2109,8121,,,,,,
    Continente,3353610,2909440,168741,41265,36927,11892,42285,143060,,,,,,
      Com recolha de resíduos urbanos,3114979,2695752,158935,38738,35166,11236,40181,134971,,,,,,
      Sem recolha de resíduos urbanos,238631,213688,9806,2527,1761,656,2104,8089,,,,,,
      Norte,1209911,1057608,72655,15126,12353,3353,12892,35924,,,,,,
        Com recolha de resíduos urbanos,1136784,990625,69253,14293,11927,3200,12503,34983,,,,,,
        Sem recolha de resíduos urbanos,73127,66983,3402,833,426,153,389,941,,,,,,
      Centro,1111952,1029542,35835,8026,7540,2252,8915,19842,,,,,,
        Com recolha de resíduos urbanos,1045160,966500,34056,7567,7218,2158,8607,19054,,,,,,
        Sem recolha de resíduos urbanos,66792,63042,1779,459,322,94,308,788,,,,,,
      Lisboa,448957,301139,31151,11996,11831,4866,14899,73075,,,,,,
        Com recolha de resíduos urbanos,416323,278628,29078,11300,11167,4579,13905,67666,,,,,,
        Sem recolha de resíduos urbanos,32634,22511,2073,696,664,287,994,5409,,,,,,
      Alentejo,383866,352998,17602,3037,2637,658,2721,4213,,,,,,
        Com recolha de resíduos urbanos,339642,311602,15992,2704,2424,600,2445,3875,,,,,,
        Sem recolha de resíduos urbanos,44224,41396,1610,333,213,58,276,338,,,,,,
      Algarve,198924,168153,11498,3080,2566,763,2858,10006,,,,,,
        Com recolha de resíduos urbanos,177070,148397,10556,2874,2430,699,2721,9393,,,,,,
        Sem recolha de resíduos urbanos,21854,19756,942,206,136,64,137,613,,,,,,
    Região Autónoma dos Açores,98818,94913,2214,405,328,92,416,450,,,,,,
      Com recolha de resíduos urbanos,94820,91052,2125,387,321,88,415,432,,,,,,
      Sem recolha de resíduos urbanos,3998,3861,89,18,7,4,1,18,,,,,,
      Região Autónoma dos Açores,98818,94913,2214,405,328,92,416,450,,,,,,
        Com recolha de resíduos urbanos,94820,91052,2125,387,321,88,415,432,,,,,,
        Sem recolha de resíduos urbanos,3998,3861,89,18,7,4,1,18,,,,,,
    Região Autónoma da Madeira,91961,85582,2583,591,368,159,410,2268,,,,,,
      Com recolha de resíduos urbanos,87565,81341,2475,569,363,157,406,2254,,,,,,
      Sem recolha de resíduos urbanos,4396,4241,108,22,5,2,4,14,,,,,,
      Região Autónoma da Madeira,91961,85582,2583,591,368,159,410,2268,,,,,,
        Com recolha de resíduos urbanos,87565,81341,2475,569,363,157,406,2254,,,,,,
        Sem recolha de resíduos urbanos,4396,4241,108,22,5,2,4,14,,,,,,
