"3.02 - ALOJAMENTOS, FAMÍLIAS, PESSOAS RESIDENTES E PESSOAS PRESENTES, SEGUNDO O TIPO DE ALOJAMENTO",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Zona Geográfica,,Alojamentos familiares ,,,,,,Alojamentos colectivos,,,,,,,,,
,,,Alojamentos não clássicos ,,,,,Estabelecimentos hoteleiros e similares,Alojamentos de convivência,,,,,,,,
,Total de alojamentos,Alojamentos clássicos,Total de alojamentos não clássicos ,Barracas e casas rudimentares de madeira,,,,,Total de alojamentos de convivencia,,,,,,,,
,,,,,Móveis,Improvisados,Outros,,,Apoio social,Educação,Saúde,Religiosa,Militar,Prisional,Trabalho,Outras
,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
  Portugal,,,,,,,,,,,,,,,,,
      Alojamentos,5878756,5859540,6612,2052,445,3969,146,6811,5793,3314,444,460,676,247,75,213,364
      Familias Clássicas,4043372,4033121,6878,2103,460,4162,153,2021,1352,507,228,52,120,179,0,75,191
      Familias Institucionais,4833,,,,,,,245,4588,3219,141,248,623,27,132,36,162
      Pessoas Residentes,10560760,10413100,17448,6690,991,9472,295,8033,122179,91357,2558,7595,6453,1020,9474,664,3058
      Pessoas Presentes,10281115,10010573,16750,6561,934,8965,290,76398,177394,99981,13221,29969,7421,7374,10163,2660,6605
    Continente,,,,,,,,,,,,,,,,,
        Alojamentos,5639257,5621098,6457,2040,438,3837,142,6233,5469,3183,426,419,621,231,68,184,337
        Familias Clássicas,3868834,3859004,6721,2090,453,4029,149,1905,1204,487,228,52,118,105,0,36,178
        Familias Institucionais,4579,,,,,,,232,4347,3090,128,227,571,22,126,31,152
        Pessoas Residentes,10046236,9905473,17044,6658,977,9125,284,7725,115994,88132,2277,6428,6007,638,9142,578,2792
        Pessoas Presentes,9768406,9522849,16362,6528,921,8634,279,62062,167133,96480,12766,27805,6918,6933,9851,2370,4010
      Norte,,,,,,,,,,,,,,,,,
          Alojamentos,1850890,1846589,1195,345,60,772,18,1629,1477,832,101,143,206,46,21,42,86
          Familias Clássicas,1330892,1328268,1223,352,60,793,18,877,524,194,152,47,50,4,0,17,60
          Familias Institucionais,1235,,,,,,,50,1185,811,36,76,188,2,35,7,30
          Pessoas Residentes,3689464,3651862,3235,1105,146,1958,26,2534,31833,23265,690,2283,2178,21,2797,90,509
          Pessoas Presentes,3583226,3523461,3091,1090,139,1836,26,9062,47612,25291,3866,10846,2572,598,2769,769,901
      Centro,,,,,,,,,,,,,,,,,
          Alojamentos,1448644,1443886,1457,474,123,823,37,1498,1803,1086,192,101,214,60,15,45,90
          Familias Clássicas,904770,902643,1516,487,126,861,42,350,261,93,52,3,48,48,0,14,3
          Familias Institucionais,1477,,,,,,,65,1412,1058,37,43,200,3,20,10,41
          Pessoas Residentes,2327689,2285256,3728,1533,251,1874,70,2010,36695,30995,495,1231,1914,151,1149,199,561
