"3.07 - ALOJAMENTOS FAMILIARES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O TIPO DE ALOJAMENTO FAMILIAR,",,,,,,,,,,,,,,
"FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES, POR  INSTALAÇÕES EXISTENTES NOS ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos familiares ocupados,,,,,,,,,,Famílias clássicas,,,
,,Alojamentos clássicos,,,,,,Não clássicos,,,,,,
,,,Em edifícios principalmente residenciais,,,,Em edifícios parcialmente não residenciais,,Barracas e casas rudimentares de madeira,,,,,
,Total    ,Total,Com 1 alojamento familiar,,Com 2 alojamentos familiares,Com 3 ou mais alojamentos familiares,,Total,,Outros,Total,Ocupação partilhada,Pessoas residentes,
,,,Exclusiva-mente residencial,Parcialmente residencial,,,, ,,,, ,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
  Portugal,3997724,3991112,1895883,80485,265033,1731597,18114,6612,2052,4560,4039999,76087,10430548,
"      Com água, retrete, sistema de aquecimento e instalação de banho",3384353,3381679,1617740,70784,219402,1458555,15198,2674,284,2390,3415246,56705,8909429,
"      Com água, retrete, sistema de aquecimento e sem instalação de banho",27770,27633,19677,676,2333,4848,99,137,54,83,27953,327,56023,
"      Com água, retrete e instalação de banho",534102,532852,219372,7802,39716,263347,2615,1250,154,1096,544852,18257,1364925,
"      Com água, retrete e sem instalação de banho",11777,11618,7419,189,1307,2633,70,159,37,122,11898,213,22757,
      Só água e sistema de aquecimento,9941,9808,8434,269,518,561,26,133,95,38,9998,101,18265,
      Só retrete e sistema de aquecimento,6224,6147,5343,205,378,212,9,77,25,52,6252,56,13721,
      Só retrete,3245,3150,2573,56,276,232,13,95,31,64,3280,63,6108,
      Só água,3890,3738,2912,63,338,414,11,152,74,78,3918,50,6886,
      Só sistema de aquecimento,9390,8850,7792,305,368,361,24,540,420,120,9448,104,18618,
      Sem instalalações,7032,5637,4621,136,397,434,49,1395,878,517,7154,211,13816,
    Continente,3825031,3818574,1769428,77712,257307,1696809,17318,6457,2040,4417,3865725,73310,9922517,
"        Com água, retrete, sistema de aquecimento e instalação de banho",3331881,3329241,1577446,69816,217194,1449891,14894,2640,282,2358,3362425,56078,8754738,
"        Com água, retrete, sistema de aquecimento e sem instalação de banho",27535,27398,19480,672,2324,4823,99,137,54,83,27717,325,55301,
"        Com água, retrete e instalação de banho",416759,415602,135715,6038,34329,237394,2126,1157,148,1009,426290,16131,1018524,
"        Com água, retrete e sem instalação de banho",10267,10117,6117,169,1243,2521,67,150,35,115,10382,203,18976,
        Só água e sistema de aquecimento,9853,9720,8362,265,509,558,26,133,95,38,9910,101,18026,
        Só retrete e sistema de aquecimento,6202,6125,5323,205,378,210,9,77,25,52,6230,56,13663,
        Só retrete,3110,3016,2448,53,272,230,13,94,31,63,3145,63,5808,
        Só água,3287,3140,2365,54,309,401,11,147,73,74,3310,40,5592,
        Só sistema de aquecimento,9364,8825,7771,305,368,357,24,539,420,119,9422,104,18553,
        Sem instalalações,6773,5390,4401,135,381,424,49,1383,877,506,6894,209,13336,
      Norte,1320860,1319665,682955,37070,119531,473842,6267,1195,345,850,1329491,15848,3655097,
"          Com água, retrete, sistema de aquecimento e instalação de banho",1143579,1143066,595542,32915,98126,411041,5442,513,26,487,1150354,12617,3207196,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",12668,12648,9381,369,1252,1613,33,20,8,12,12718,92,26671,
"          Com água, retrete e instalação de banho",143794,143609,62308,3209,18178,59171,743,185,13,172,145499,2955,380442,
"          Com água, retrete e sem instalação de banho",5221,5187,3300,94,821,949,23,34,6,28,5248,49,9917,
          Só água e sistema de aquecimento,3911,3860,3202,153,213,286,6,51,41,10,3923,24,7446,
          Só retrete e sistema de aquecimento,3381,3362,2855,122,249,132,4,19,3,16,3394,26,7803,
          Só retrete,1761,1744,1402,24,181,131,6,17,2,15,1774,22,3389,
          Só água,1302,1279,874,23,183,196,3,23,16,7,1306,7,2254,
          Só sistema de aquecimento,3117,3049,2639,116,158,135,1,68,55,13,3125,15,6081,
          Sem instalalações,2126,1861,1452,45,170,188,6,265,175,90,2150,41,3898,
      Centro,895314,893857,594901,25138,51596,217679,4543,1457,474,983,904159,16265,2288984,
"          Com água, retrete, sistema de aquecimento e instalação de banho",828013,827428,551922,23426,46638,201372,4070,585,50,535,835731,14332,2146793,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",7495,7455,6289,211,421,507,27,40,19,21,7542,84,13812,
"          Com água, retrete e instalação de banho",47577,47387,26277,1137,4090,15471,412,190,20,170,48558,1673,106627,
"          Com água, retrete e sem instalação de banho",1378,1357,1035,45,120,143,14,21,5,16,1392,25,2215,
          Só água e sistema de aquecimento,3293,3256,3039,80,85,47,5,37,30,7,3314,34,5640,
          Só retrete e sistema de aquecimento,1752,1723,1601,55,52,15,0,29,5,24,1760,16,3420,
          Só retrete,529,497,429,19,32,15,2,32,7,25,535,11,905,
          Só água,637,603,531,16,35,18,3,34,21,13,643,9,1025,
          Só sistema de aquecimento,3192,3025,2785,117,61,58,4,167,120,47,3213,40,5873,
          Sem instalalações,1448,1126,993,32,62,33,6,322,197,125,1471,41,2674,
      Lisboa,1129789,1127711,205414,5369,47981,865317,3630,2078,485,1593,1146644,29926,2791100,
"          Com água, retrete, sistema de aquecimento e instalação de banho",951462,950399,179017,4570,39904,723920,2988,1063,157,906,963159,21160,2370607,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",4102,4045,1307,31,337,2349,21,57,19,38,4163,107,8738,
"          Com água, retrete e instalação de banho",168252,167686,22045,705,7277,137091,568,566,94,472,173203,8400,399745,
"          Com água, retrete e sem instalação de banho",2488,2427,883,20,207,1298,19,61,16,45,2542,96,4872,
          Só água e sistema de aquecimento,464,454,247,9,41,152,5,10,3,7,474,18,916,
          Só retrete e sistema de aquecimento,462,443,346,13,34,48,2,19,12,7,469,14,1125,
          Só retrete,453,427,315,3,39,68,2,26,13,13,461,16,841,
          Só água,516,486,284,4,37,159,2,30,11,19,523,13,870,
          Só sistema de aquecimento,465,420,267,6,36,103,8,45,30,15,482,25,1099,
          Sem instalalações,1125,924,703,8,69,129,15,201,130,71,1168,77,2287,
      Alentejo,299764,298767,206144,6643,24748,59472,1760,997,493,504,302829,5397,741177,
"          Com água, retrete, sistema de aquecimento e instalação de banho",276031,275748,190207,6184,22740,55045,1572,283,37,246,278463,4464,692264,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",2667,2656,2105,41,262,233,15,11,3,8,2683,27,4741,
"          Com água, retrete e instalação de banho",15003,14930,9112,314,1362,4006,136,73,10,63,15559,802,32217,
"          Com água, retrete e sem instalação de banho",535,518,433,5,40,35,5,17,6,11,543,12,790,
          Só água e sistema de aquecimento,1887,1857,1616,18,154,61,8,30,19,11,1900,23,3462,
          Só retrete e sistema de aquecimento,354,348,305,10,23,8,2,6,3,3,354,0,738,
          Só retrete,97,91,73,5,8,4,1,6,4,2,97,0,169,
          Só água,393,362,316,3,28,13,2,31,12,19,398,9,641,
          Só sistema de aquecimento,1922,1705,1516,42,93,45,9,217,190,27,1933,22,4132,
          Sem instalalações,875,552,461,21,38,22,10,323,209,114,899,38,2023,
      Algarve,179304,178574,80014,3492,13451,80499,1118,730,243,487,182602,5874,446159,
"          Com água, retrete, sistema de aquecimento e instalação de banho",132796,132600,60758,2721,9786,58513,822,196,12,184,134718,3505,337878,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",603,594,398,20,52,121,3,9,5,4,611,15,1339,
"          Com água, retrete e instalação de banho",42133,41990,15973,673,3422,21655,267,143,11,132,43471,2301,99493,
"          Com água, retrete e sem instalação de banho",645,628,466,5,55,96,6,17,2,15,657,21,1182,
          Só água e sistema de aquecimento,298,293,258,5,16,12,2,5,2,3,299,2,562,
          Só retrete e sistema de aquecimento,253,249,216,5,20,7,1,4,2,2,253,0,577,
          Só retrete,270,257,229,2,12,12,2,13,5,8,278,14,504,
          Só água,439,410,360,8,26,15,1,29,13,16,440,2,802,
          Só sistema de aquecimento,668,626,564,24,20,16,2,42,25,17,669,2,1368,
          Sem instalalações,1199,927,792,29,42,52,12,272,166,106,1206,12,2454,
    Região Autónoma dos Açores,80527,80425,67704,1519,3337,7508,357,102,4,98,81557,1801,243543,
"        Com água, retrete, sistema de aquecimento e instalação de banho",32341,32315,26605,670,1431,3438,171,26,2,24,32599,467,95236,
"        Com água, retrete, sistema de aquecimento e sem instalação de banho",126,126,117,3,2,4,0,0,0,0,127,2,424,
"        Com água, retrete e instalação de banho",47085,47029,40099,832,1877,4036,185,56,1,55,47850,1320,145397,
"        Com água, retrete e sem instalação de banho",532,527,486,7,12,21,1,5,0,5,533,2,1466,
        Só água e sistema de aquecimento,55,55,49,1,5,0,0,0,0,0,55,0,158,
        Só retrete e sistema de aquecimento,6,6,5,0,0,1,0,0,0,0,6,0,15,
        Só retrete,26,25,22,3,0,0,0,1,0,1,26,0,48,
        Só água,245,242,229,3,7,3,0,3,0,3,249,8,583,
        Só sistema de aquecimento,16,15,12,0,0,3,0,1,0,1,16,0,39,
        Sem instalalações,95,85,80,0,3,2,0,10,1,9,96,2,177,
      Região Autónoma dos Açores,80527,80425,67704,1519,3337,7508,357,102,4,98,81557,1801,243543,
"          Com água, retrete, sistema de aquecimento e instalação de banho",32341,32315,26605,670,1431,3438,171,26,2,24,32599,467,95236,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",126,126,117,3,2,4,0,0,0,0,127,2,424,
"          Com água, retrete e instalação de banho",47085,47029,40099,832,1877,4036,185,56,1,55,47850,1320,145397,
"          Com água, retrete e sem instalação de banho",532,527,486,7,12,21,1,5,0,5,533,2,1466,
          Só água e sistema de aquecimento,55,55,49,1,5,0,0,0,0,0,55,0,158,
          Só retrete e sistema de aquecimento,6,6,5,0,0,1,0,0,0,0,6,0,15,
          Só retrete,26,25,22,3,0,0,0,1,0,1,26,0,48,
          Só água,245,242,229,3,7,3,0,3,0,3,249,8,583,
          Só sistema de aquecimento,16,15,12,0,0,3,0,1,0,1,16,0,39,
          Sem instalalações,95,85,80,0,3,2,0,10,1,9,96,2,177,
    Região Autónoma da Madeira,92166,92113,58751,1254,4389,27280,439,53,8,45,92717,976,264488,
"        Com água, retrete, sistema de aquecimento e instalação de banho",20131,20123,13689,298,777,5226,133,8,0,8,20222,160,59455,
"        Com água, retrete, sistema de aquecimento e sem instalação de banho",109,109,80,1,7,21,0,0,0,0,109,0,298,
"        Com água, retrete e instalação de banho",70258,70221,43558,932,3510,21917,304,37,5,32,70712,806,201004,
"        Com água, retrete e sem instalação de banho",978,974,816,13,52,91,2,4,2,2,983,8,2315,
        Só água e sistema de aquecimento,33,33,23,3,4,3,0,0,0,0,33,0,81,
        Só retrete e sistema de aquecimento,16,16,15,0,0,1,0,0,0,0,16,0,43,
        Só retrete,109,109,103,0,4,2,0,0,0,0,109,0,252,
        Só água,358,356,318,6,22,10,0,2,1,1,359,2,711,
        Só sistema de aquecimento,10,10,9,0,0,1,0,0,0,0,10,0,26,
        Sem instalalações,164,162,140,1,13,8,0,2,0,2,164,0,303,
      Região Autónoma da Madeira,92166,92113,58751,1254,4389,27280,439,53,8,45,92717,976,264488,
"          Com água, retrete, sistema de aquecimento e instalação de banho",20131,20123,13689,298,777,5226,133,8,0,8,20222,160,59455,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",109,109,80,1,7,21,0,0,0,0,109,0,298,
"          Com água, retrete e instalação de banho",70258,70221,43558,932,3510,21917,304,37,5,32,70712,806,201004,
"          Com água, retrete e sem instalação de banho",978,974,816,13,52,91,2,4,2,2,983,8,2315,
          Só água e sistema de aquecimento,33,33,23,3,4,3,0,0,0,0,33,0,81,
          Só retrete e sistema de aquecimento,16,16,15,0,0,1,0,0,0,0,16,0,43,
          Só retrete,109,109,103,0,4,2,0,0,0,0,109,0,252,
          Só água,358,356,318,6,22,10,0,2,1,1,359,2,711,
          Só sistema de aquecimento,10,10,9,0,0,1,0,0,0,0,10,0,26,
          Sem instalalações,164,162,140,1,13,8,0,2,0,2,164,0,303,
