"3.14 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÉPOCA DE CONSTRUÇÃO DOS EDIFICIOS POR EXISTENCIA DE LUGAR DE ESTACIONAMENTO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a época de construção dos edifícios",,,,,,,,,,,,
,,Antes de 1919,De 1919 a 1945,De 1946 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 1995,De 1996 a 2000,De 2001 a 2005,De 2006 a 2011,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,3991112,136945,202148,344630,452399,712563,719566,355387,436641,412811,218022,,,
    Tem estacionamento ou garagem,2153721,36161,54111,102318,156867,328278,410498,231285,315871,336538,181794,,,
      Para 1 veículo,1283216,19610,32923,65423,100652,203943,247594,141725,194948,189403,86995,,,
      Para 2 veículos,603213,9330,12866,23797,36951,82679,108386,62042,86856,109997,70309,,,
      Para 3 ou mais veículos,267292,7221,8322,13098,19264,41656,54518,27518,34067,37138,24490,,,
    Não tem estacionamento ou garagem,1837391,100784,148037,242312,295532,384285,309068,124102,120770,76273,36228,,,
    Continente,3818574,129472,190494,329076,438522,692551,689658,340889,416817,388331,202764,,,
      Tem estacionamento ou garagem,2057162,33547,50235,96868,151514,319279,394473,221649,301680,317535,170382,,,
        Para 1 veículo,1227153,18126,30569,62105,97501,198726,238562,136069,186440,178151,80904,,,
        Para 2 veículos,576363,8622,11942,22427,35484,80254,104037,59441,83071,104451,66634,,,
        Para 3 ou mais veículos,253646,6799,7724,12336,18529,40299,51874,26139,32169,34933,22844,,,
      Não tem estacionamento ou garagem,1761412,95925,140259,232208,287008,373272,295185,119240,115137,70796,32382,,,
      Norte,1319665,48928,60216,90840,127799,218054,255640,135721,166147,144274,72046,,,
        Tem estacionamento ou garagem,896129,16460,20076,36127,61392,134373,186404,108515,141276,127904,63602,,,
          Para 1 veículo,535743,8420,12012,22713,39616,83911,114284,67957,89294,70428,27108,,,
          Para 2 veículos,255715,4676,5207,9076,15085,35027,49813,28889,38115,42999,26828,,,
          Para 3 ou mais veículos,104671,3364,2857,4338,6691,15435,22307,11669,13867,14477,9666,,,
        Não tem estacionamento ou garagem,423536,32468,40140,54713,66407,83681,69236,27206,24871,16370,8444,,,
      Centro,893857,27111,46154,78619,98254,160375,164172,79985,91765,94759,52663,,,
        Tem estacionamento ou garagem,574480,8693,15524,32771,49720,99303,111610,58728,73439,80093,44599,,,
          Para 1 veículo,323666,5323,9883,21581,31715,57587,60960,32749,41250,42170,20448,,,
          Para 2 veículos,173611,2037,3630,7496,12186,28120,33897,18085,22966,27678,17516,,,
          Para 3 ou mais veículos,77203,1333,2011,3694,5819,13596,16753,7894,9223,10245,6635,,,
        Não tem estacionamento ou garagem,319377,18418,30630,45848,48534,61072,52562,21257,18326,14666,8064,,,
      Lisboa,1127711,31852,47192,114826,163997,236368,185680,86949,114785,97591,48471,,,
        Tem estacionamento ou garagem,371630,2303,4412,13978,23407,54441,58979,35061,61513,76040,41496,,,
          Para 1 veículo,234180,1226,2788,9061,15360,37905,39988,23526,39786,43722,20818,,,
          Para 2 veículos,98817,576,959,3034,4711,10209,12264,8107,16226,26079,16652,,,
          Para 3 ou mais veículos,38633,501,665,1883,3336,6327,6727,3428,5501,6239,4026,,,
        Não tem estacionamento ou garagem,756081,29549,42780,100848,140590,181927,126701,51888,53272,21551,6975,,,
      Alentejo,298767,15900,28171,32939,34030,48600,46700,21465,26505,28355,16102,,,
        Tem estacionamento ou garagem,135865,4191,7576,10536,12388,20940,22758,11847,15830,18710,11089,,,
          Para 1 veículo,85936,2279,4493,6887,8191,13714,14892,7535,9988,11674,6283,,,
          Para 2 veículos,30717,867,1563,2011,2468,4435,4819,2725,3807,4678,3344,,,
          Para 3 ou mais veículos,19212,1045,1520,1638,1729,2791,3047,1587,2035,2358,1462,,,
        Não tem estacionamento ou garagem,162902,11709,20595,22403,21642,27660,23942,9618,10675,9645,5013,,,
      Algarve,178574,5681,8761,11852,14442,29154,37466,16769,17615,23352,13482,,,
        Tem estacionamento ou garagem,79058,1900,2647,3456,4607,10222,14722,7498,9622,14788,9596,,,
          Para 1 veículo,47628,878,1393,1863,2619,5609,8438,4302,6122,10157,6247,,,
          Para 2 veículos,17503,466,583,810,1034,2463,3244,1635,1957,3017,2294,,,
          Para 3 ou mais veículos,13927,556,671,783,954,2150,3040,1561,1543,1614,1055,,,
        Não tem estacionamento ou garagem,99516,3781,6114,8396,9835,18932,22744,9271,7993,8564,3886,,,
    Região Autónoma dos Açores,80425,4699,6796,8466,6315,8268,14713,5437,7698,9919,8114,,,
      Tem estacionamento ou garagem,44731,1932,2555,3337,2635,3809,8895,3832,5166,6952,5618,,,
