"3.22 - ALOJAMENTOS CLÁSSICOS ARRENDADOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O ESCALÃO DE RENDA POR ÉPOCA DO CONTRATO DE ARRENDAMENTO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica         Época do contrato de arrendamento,Alojamentos clássicos arrendados segundo o escalão de renda (Euros),,,,,,,,,,,,,
,Total,Menos de 20 €,De 20 a menos de 35 €,De 35 a menos de 50 €,De 50 a menos de 75 €,De 75 a menos de 100 €,De 100 a menos de 150 €,De 150 a menos de 200 €,De 200 a menos de 300 €,De 300 a menos de 400 €,De 400 a menos de 500 €,De 500 a menos de 650 €,650 € ou mais,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
  Portugal,778883,56515,58141,41182,56444,41446,62019,58454,133236,149904,57164,37818,26560,
      Antes de 1975,153209,29002,28763,20745,26892,16551,12663,4249,4443,9270,274,188,169,
      1975 - 1986,88854,12020,13612,9186,13148,10691,12965,5599,5445,5422,384,240,142,
      1987 - 1990,26849,2055,2266,1606,2667,2349,4347,3117,4564,2957,522,265,134,
      1991 - 2000,69806,4646,4530,3457,5133,4336,9016,8848,14743,10233,2593,1424,847,
      2001 - 2005,97164,4494,4868,3455,4590,3918,8797,12187,22589,19148,6714,4209,2195,
      2006 - 2011,343001,4298,4102,2733,4014,3601,14231,24454,81452,102874,46677,31492,23073,
    Continente,755177,54656,55390,39694,54609,40408,60441,57103,130026,145655,54957,36323,25915,
        Antes de 1975,150384,28230,28090,20379,26460,16332,12490,4190,4387,9207,269,181,169,
        1975 - 1986,86841,11655,13232,8978,12831,10491,12691,5485,5346,5382,379,231,140,
        1987 - 1990,26069,1965,2114,1536,2569,2282,4254,3059,4479,2908,512,258,133,
        1991 - 2000,67825,4484,4209,3263,4878,4204,8777,8682,14507,10062,2536,1388,835,
        2001 - 2005,93656,4287,4307,3166,4254,3720,8498,11896,22160,18710,6474,4046,2138,
        2006 - 2011,330402,4035,3438,2372,3617,3379,13731,23791,79147,99386,44787,30219,22500,
      Norte,264625,20821,21092,14141,20034,14094,26823,27498,56376,44145,10840,5254,3507,
          Antes de 1975,48789,10592,10370,6730,8912,4513,3371,1131,983,2075,49,29,34,
          1975 - 1986,30581,4270,4960,3178,4756,3702,4826,1861,1534,1362,70,35,27,
          1987 - 1990,9997,748,823,599,1038,937,1991,1399,1571,746,87,38,20,
          1991 - 2000,27857,1697,1574,1166,1909,1729,4555,4727,6650,3176,421,158,95,
          2001 - 2005,37725,1739,1798,1320,1729,1601,4681,6160,10740,6006,1181,531,239,
          2006 - 2011,109676,1775,1567,1148,1690,1612,7399,12220,34898,30780,9032,4463,3092,
      Centro,109968,7152,6176,3990,5153,3825,8578,11012,29235,25407,5820,2414,1206,
          Antes de 1975,14962,4124,3515,2059,2000,1021,853,334,376,660,9,4,7,
          1975 - 1986,9093,1368,1275,925,1297,992,1360,729,629,471,30,11,6,
          1987 - 1990,3517,302,246,171,327,315,626,479,666,319,49,12,5,
          1991 - 2000,8820,460,383,318,478,484,1237,1357,2483,1296,200,88,36,
          2001 - 2005,13190,375,327,228,456,399,1260,2066,4393,2804,576,230,76,
          2006 - 2011,60386,523,430,289,595,614,3242,6047,20688,19857,4956,2069,1076,
      Lisboa,302504,19665,22877,18151,25066,19564,20142,13053,30349,57559,30948,25256,19874,
          Antes de 1975,75482,9871,11794,10207,14128,10123,7776,2514,2791,5825,198,140,115,
          1975 - 1986,39262,4550,5619,3992,5594,5019,5587,2448,2816,3110,260,175,92,
          1987 - 1990,9668,610,748,549,812,761,1254,927,1840,1541,329,197,100,
          1991 - 2000,24728,1841,1867,1469,1981,1589,2231,1867,4031,4474,1657,1053,668,
          2001 - 2005,33047,1622,1801,1301,1685,1367,1823,2514,4765,7660,3859,2921,1729,
          2006 - 2011,120317,1171,1048,633,866,705,1471,2783,14106,34949,24645,20770,17170,
      Alentejo,43256,4948,3504,2103,2684,1788,3483,3920,8938,8381,2136,936,435,
          Antes de 1975,7470,2774,1684,798,846,355,276,133,147,433,8,7,9,
          1975 - 1986,4989,1042,966,569,700,429,536,254,204,264,7,6,12,
          1987 - 1990,1727,194,197,136,233,175,255,150,199,154,24,6,4,
          1991 - 2000,3360,280,203,186,343,255,530,429,628,390,73,32,11,
          2001 - 2005,5126,336,223,226,242,242,572,790,1313,836,223,86,37,
          2006 - 2011,20584,322,231,188,320,332,1314,2164,6447,6304,1801,799,362,
      Algarve,34824,2070,1741,1309,1672,1137,1415,1620,5128,10163,5213,2463,893,
          Antes de 1975,3681,869,727,585,574,320,214,78,90,214,5,1,4,
          1975 - 1986,2916,425,412,314,484,349,382,193,163,175,12,4,3,
          1987 - 1990,1160,111,100,81,159,94,128,104,203,148,23,5,4,
          1991 - 2000,3060,206,182,124,167,147,224,302,715,726,185,57,25,
          2001 - 2005,4568,215,158,91,142,111,162,366,949,1404,635,278,57,
          2006 - 2011,19439,244,162,114,146,116,305,577,3008,7496,4353,2118,800,
    Região Autónoma dos Açores,9939,819,676,383,543,424,724,679,1789,2259,872,556,215,
        Antes de 1975,381,116,89,31,54,15,29,12,14,19,1,1,0,
        1975 - 1986,612,127,115,47,85,63,109,27,15,15,1,7,1,
        1987 - 1990,258,54,19,21,25,24,43,19,32,16,2,3,0,
        1991 - 2000,688,122,62,32,62,44,90,65,107,80,13,9,2,
        2001 - 2005,1461,170,149,87,82,105,111,124,198,240,113,66,16,
        2006 - 2011,6539,230,242,165,235,173,342,432,1423,1889,742,470,196,
      Região Autónoma dos Açores,9939,819,676,383,543,424,724,679,1789,2259,872,556,215,
          Antes de 1975,381,116,89,31,54,15,29,12,14,19,1,1,0,
          1975 - 1986,612,127,115,47,85,63,109,27,15,15,1,7,1,
          1987 - 1990,258,54,19,21,25,24,43,19,32,16,2,3,0,
          1991 - 2000,688,122,62,32,62,44,90,65,107,80,13,9,2,
          2001 - 2005,1461,170,149,87,82,105,111,124,198,240,113,66,16,
          2006 - 2011,6539,230,242,165,235,173,342,432,1423,1889,742,470,196,
    Região Autónoma da Madeira,13767,1040,2075,1105,1292,614,854,672,1421,1990,1335,939,430,
        Antes de 1975,2444,656,584,335,378,204,144,47,42,44,4,6,0,
        1975 - 1986,1401,238,265,161,232,137,165,87,84,25,4,2,1,
        1987 - 1990,522,36,133,49,73,43,50,39,53,33,8,4,1,
        1991 - 2000,1293,40,259,162,193,88,149,101,129,91,44,27,10,
        2001 - 2005,2047,37,412,202,254,93,188,167,231,198,127,97,41,
        2006 - 2011,6060,33,422,196,162,49,158,231,882,1599,1148,803,377,
      Região Autónoma da Madeira,13767,1040,2075,1105,1292,614,854,672,1421,1990,1335,939,430,
          Antes de 1975,2444,656,584,335,378,204,144,47,42,44,4,6,0,
          1975 - 1986,1401,238,265,161,232,137,165,87,84,25,4,2,1,
          1987 - 1990,522,36,133,49,73,43,50,39,53,33,8,4,1,
          1991 - 2000,1293,40,259,162,193,88,149,101,129,91,44,27,10,
          2001 - 2005,2047,37,412,202,254,93,188,167,231,198,127,97,41,
          2006 - 2011,6060,33,422,196,162,49,158,231,882,1599,1148,803,377,
