3.25 - ALOJAMENTOS CLÁSSICOS DE RESIDENCIA HABITUAL SEGUNDO O REGIME DE PROPRIEDADE E FORMA  DE ARRENDAMENTO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Proprietário ou co-proprietário,Proprietario em regime de propriedade colectiva de cooperativa de habitação,Arrendatário ou subarrendatário ,,,,,Outra situação,,,,,
,,,,Total,Contrato c/ prazo certo,Contrato de duração indeterminada,Contrato de renda social ou apoiada,Subarrendamento,,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
  Portugal,3991112,2891811,31460,794465,250840,459683,68360,15582,273376,,,,,
    Continente,3818574,2758293,29135,769768,244289,447076,63812,14591,261378,,,,,
      Norte,1319665,940891,11396,269178,78122,161005,25498,4553,98200,,,,,
      Centro,893857,721991,5100,111946,39837,65416,4715,1978,54820,,,,,
      Lisboa,1127711,744925,8840,307944,100181,173713,28610,5440,66002,,,,,
      Alentejo,298767,226363,1911,44392,12301,28528,2427,1136,26101,,,,,
      Algarve,178574,124123,1888,36308,13848,18414,2562,1484,16255,,,,,
    Região Autónoma dos Açores,80425,63091,923,10433,2763,5764,1412,494,5978,,,,,
      Região Autónoma dos Açores,80425,63091,923,10433,2763,5764,1412,494,5978,,,,,
    Região Autónoma da Madeira,92113,70427,1402,14264,3788,6843,3136,497,6020,,,,,
      Região Autónoma da Madeira,92113,70427,1402,14264,3788,6843,3136,497,6020,,,,,
