"4.01 - FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES NESTAS, SEGUNDO O ESCALÃO ETÁRIO E A SITUAÇÃO PERANTE A ACTIVIDADE ECONÓMICA, POR TIPO DE FAMILIA NA BASE DA ESTRUTURA ETÁRIA DOS SEUS MEMBROS E NÚMERO DE CRIANÇAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas,Pessoas nas famílias clássicas,,,,,,,,,,,,
,,Total,,Com menos de 15 anos,,De 15 ou mais anos,,,,,,,,
Tipo de família na base da estrutura etária,,,,,,Total,,Com actividade económica,,,,,,
,,HM,H,HM,H,HM,H,HM,H,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
  Portugal,4043726,10436516,4997376,1566498,800945,8870018,4196431,5015517,2598703,,,,,
    Uma pessoa do sexo masculino com idade entre 15 e 24 anos,10174,10174,10174,0,0,10174,10174,7186,7186,,,,,
    Uma pessoa do sexo masculino com idade entre 25 e 64 anos,218011,218011,218011,0,0,218011,218011,173640,173640,,,,,
    Uma pessoa do sexo masculino com 65 ou mais anos,93648,93648,93648,0,0,93648,93648,4260,4260,,,,,
    Uma pessoa do sexo feminino com idade entre 15 e 24 anos,10335,10335,0,0,0,10335,0,7065,0,,,,,
    Uma pessoa do sexo feminino com idade entre 25 e 64 anos,221331,221331,0,0,0,221331,0,160092,0,,,,,
    Uma pessoa do sexo feminino com 65 ou mais anos,313294,313294,0,0,0,313294,0,5715,0,,,,,
"    Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",9410,21529,16090,12119,6680,9410,9410,8608,8608,,,,,
"    Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",81382,192001,56282,110619,56282,81382,0,72005,0,,,,,
"    Duas pessoas, ambas com idade entre 15 e 24 anos",9717,19434,9718,0,0,19434,9718,15761,8275,,,,,
"    Duas pessoas, ambas com idade entre 25 e 64 anos",512802,1025604,504946,0,0,1025604,504946,720182,372238,,,,,
"    Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",83068,166136,65234,0,0,166136,65234,111185,41670,,,,,
"    Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",608321,1216642,575608,0,0,1216642,575608,136743,73206,,,,,
"    Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",675499,2347031,1163576,996033,509886,1350998,653690,1203204,612446,,,,,
    Uma pessoa de idade inferior a 15 anos,397451,1192353,582537,397451,201869,794902,380668,706419,353053,,,,,
    Duas pessoas de idade inferior a 15 anos,241713,966852,486139,483426,248488,483426,237651,437692,227168,,,,,
    Três pessoas de idade inferior a 15 anos,31263,156315,79136,93789,48645,62526,30491,52066,28118,,,,,
    Quatro ou mais pessoas de idade inferior a 15 anos,5072,31511,15764,21367,10884,10144,4880,7027,4107,,,,,
    Três ou mais pessoas com 15 ou mais anos,1196695,4581301,2284061,447682,228069,4133619,2055992,2389871,1297174,,,,,
    Sem outras pessoas de idade inferior a 15 anos,848832,2929909,1477382,0,0,2929909,1477382,1652092,908985,,,,,
    Uma pessoa de idade inferior a 15 anos,267905,1183977,579768,267905,136148,916072,443620,568897,298823,,,,,
    Duas pessoas ou mais de idade inferior a 15 anos,79958,467415,226911,179777,91921,287638,134990,168882,89366,,,,,
    Outros casos,39,45,28,45,28,0,0,0,0,,,,,
    Continente,3869188,9927982,4752055,1478750,756027,8449232,3996028,4773691,2468129,,,,,
      Uma pessoa do sexo masculino com idade entre 15 e 24 anos,9801,9801,9801,0,0,9801,9801,6895,6895,,,,,
      Uma pessoa do sexo masculino com idade entre 25 e 64 anos,208740,208740,208740,0,0,208740,208740,166369,166369,,,,,
