"4.02 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS, POR TIPO DE FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Total de pessoas,,,
Tipo de família com base no número de núcleos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,4043726,866827,1277558,965781,671066,182028,56379,15173,5256,3658,10436516,,,
      Famílias sem núcleos,940457,866827,61835,8885,2024,560,201,44,32,49,1030345,,,
        Famílias sem núcleos com uma só pessoa,866827,866827,0,0,0,0,0,0,0,0,866827,,,
        Famílias sem núcleos só pessoas aparentadas,52162,0,44408,6088,1233,302,84,22,12,13,114408,,,
        Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,21468,0,17427,2797,791,258,117,22,20,36,49110,,,
      Famílias com um núcleo,2984598,0,1215723,956896,635380,139873,28045,6140,1736,805,8775927,,,
        Casal de direito sem filhos,892560,0,829835,57115,4725,714,129,27,7,8,1854591,,,
          Casal de direito sem filhos sem outras pessoas,829835,0,829835,0,0,0,0,0,0,0,1659670,,,
          Casal de direito sem filhos com outras pessoas,62725,0,0,57115,4725,714,129,27,7,8,194921,,,
        Casal de direito com pelo menos um filho com menos de 25 anos,1081980,0,0,463608,487547,105934,19327,3929,1118,517,4028071,,,
          Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,1006818,0,0,463608,455270,73523,11297,2223,620,277,3670484,,,
          Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,75162,0,0,0,32277,32411,8030,1706,498,240,357587,,,
        Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,259233,0,0,199728,50916,7272,1082,178,41,16,847427,,,
          Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,237731,0,0,199728,34572,2976,385,58,7,5,755171,,,
          Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21502,0,0,0,16344,4296,697,120,34,11,92256,,,
        Casal de facto sem filhos,144405,0,133922,9393,872,153,50,12,3,0,300684,,,
          Casal de facto sem filhos sem outras pessoas,133922,0,133922,0,0,0,0,0,0,0,267844,,,
          Casal de facto sem filhos com outras pessoas,10483,0,0,9393,872,153,50,12,3,0,32840,,,
        Casal de facto com pelo menos um filho com menos de 25 anos,183186,0,0,97834,58973,18653,5595,1538,409,184,672020,,,
          Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,169489,0,0,97834,51965,14337,3948,1023,271,111,607113,,,
          Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,13697,0,0,0,7008,4316,1647,515,138,73,64907,,,
        Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,8915,0,0,6938,1645,268,45,11,7,1,29146,,,
          Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,8024,0,0,6938,975,95,13,1,2,0,25290,,,
          Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,891,0,0,0,670,173,32,10,5,1,3856,,,
        Pai com pelo menos um filho com menos de 25 anos,30441,0,16790,10569,2424,494,119,24,12,9,78534,,,
          Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,25985,0,16790,7563,1334,234,46,12,4,2,63185,,,
          Pai com pelo menos um filho com menos de 25 anos com outras pessoas,4456,0,0,3006,1090,260,73,12,8,7,15349,,,
        Pai com filho(s) tendo o mais novo 25 ou mais anos,24959,0,20038,4124,638,108,39,9,3,0,55861,,,
          Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,23228,0,20038,2800,319,50,15,6,0,0,50134,,,
