"4.03 - FAMÍLIAS CLÁSSICAS SEGUNDO O ESTADO CIVIL LEGAL E O SEXO DO REPRESENTANTE DA FAMÍLIA, PELA CLASSE ETÁRIA DESTE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,
Classe Etária,HM,H,HM,H,HM,H,HM,H,HM,H,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,
  Portugal,4043726,2763229,676422,348995,2386412,2146693,410087,159891,570805,107650,,,,
      Menos de 20 anos,5948,2958,5471,2676,398,261,22,10,57,11,,,,
      20 - 24 anos,53496,28818,44023,22722,8640,5906,654,158,179,32,,,,
      25 - 29 anos,172942,107456,108302,60485,58344,45244,5862,1657,434,70,,,,
      30 - 34 anos,317023,218411,127268,73768,163273,135402,25170,9052,1312,189,,,,
      35 - 39 anos,389760,278098,99892,55718,237276,203309,49268,18537,3324,534,,,,
      40 - 44 anos,383476,278573,67671,36531,250214,218568,58874,22466,6717,1008,,,,
      45 - 49 anos,395864,290699,53222,28208,265378,235299,63961,25016,13303,2176,,,,
      50 - 54 anos,385386,285387,40861,21271,261579,235704,60503,24500,22443,3912,,,,
      55 - 59 anos,372884,277097,32127,15659,255654,234324,51088,21218,34015,5896,,,,
      60 - 64 anos,360945,264933,25208,10509,246686,229302,39241,16322,49810,8800,,,,
      65 - 69 anos,326646,228647,20450,7175,213246,199727,24663,10125,68287,11620,,,,
      70 - 74 anos,306712,198326,18315,5974,180052,169786,15274,5892,93071,16674,,,,
      75 ou mais anos,572644,303826,33612,8299,245672,233861,15507,4938,277853,56728,,,,
    Continente,3869188,2645086,650540,336410,2281106,2052276,393732,152979,543810,103421,,,,
        Menos de 20 anos,5733,2860,5285,2589,375,251,20,10,53,10,,,,
        20 - 24 anos,51386,27596,42595,21939,8019,5481,607,147,165,29,,,,
        25 - 29 anos,165314,102397,104757,58493,54700,42313,5454,1526,403,65,,,,
        30 - 34 anos,301841,207360,122722,71157,154027,127441,23872,8583,1220,179,,,,
        35 - 39 anos,371580,264439,96468,53844,225050,192525,46936,17564,3126,506,,,,
        40 - 44 anos,364946,264562,65037,35097,237387,207114,56253,21396,6269,955,,,,
        45 - 49 anos,376047,275940,50996,27056,251658,223106,61030,23742,12363,2036,,,,
        50 - 54 anos,367033,271822,39116,20434,248894,224257,58073,23412,20950,3719,,,,
        55 - 59 anos,356436,265110,30773,15064,244404,224042,49287,20416,31972,5588,,,,
        60 - 64 anos,346577,255139,24033,10111,237446,220832,38079,15773,47019,8423,,,,
        65 - 69 anos,314124,220892,19320,6861,206023,193090,24003,9823,64778,11118,,,,
        70 - 74 anos,295508,192216,17403,5756,174564,164688,14925,5741,88616,16031,,,,
        75 ou mais anos,552663,294753,32035,8009,238559,227136,15193,4846,266876,54762,,,,
      Norte,1330892,951925,169550,81065,870007,794466,110913,41487,180422,34907,,,,
          Menos de 20 anos,1794,874,1648,782,126,85,6,5,14,2,,,,
          20 - 24 anos,16112,8889,12237,6260,3590,2569,241,51,44,9,,,,
          25 - 29 anos,53471,35570,27306,15456,24079,19567,1940,528,146,19,,,,
          30 - 34 anos,100384,73935,28762,16774,63580,54522,7605,2581,437,58,,,,
          35 - 39 anos,129027,97670,22091,12040,91466,80493,14253,4950,1217,187,,,,
          40 - 44 anos,132449,101372,15328,7778,97753,87188,16850,6048,2518,358,,,,
          45 - 49 anos,141131,108835,12970,6306,105341,95146,17790,6604,5030,779,,,,
          50 - 54 anos,135763,105034,10426,4765,100947,92418,16274,6411,8116,1440,,,,
          55 - 59 anos,128957,99336,8703,3397,94845,88282,13523,5527,11886,2130,,,,
          60 - 64 anos,119847,90896,7395,2359,86547,81648,9571,3917,16334,2972,,,,
          65 - 69 anos,103910,74200,6259,1633,70053,66437,5772,2371,21826,3759,,,,
          70 - 74 anos,96153,62951,5653,1384,57427,54735,3624,1380,29449,5452,,,,
          75 ou mais anos,171894,92363,10772,2131,74253,71376,3464,1114,83405,17742,,,,
      Centro,904770,640868,119286,63719,564504,516456,80518,33278,140462,27415,,,,
          Menos de 20 anos,1249,635,1149,572,81,55,5,3,14,5,,,,
          20 - 24 anos,10466,5810,8612,4588,1672,1183,141,33,41,6,,,,
          25 - 29 anos,32726,20996,19304,11283,12039,9345,1296,361,87,7,,,,
          30 - 34 anos,62085,44557,21359,13060,35049,29462,5360,1992,317,43,,,,
          35 - 39 anos,77333,57266,15682,9172,51060,44180,9817,3792,774,122,,,,
          40 - 44 anos,79954,60462,10988,6304,55621,49299,11853,4640,1492,219,,,,
          45 - 49 anos,84846,65046,9114,5166,60105,54138,12754,5241,2873,501,,,,
          50 - 54 anos,85053,65871,7093,3983,61069,55960,11856,5063,5035,865,,,,
          55 - 59 anos,82798,64631,5623,2991,60093,56054,9546,4262,7536,1324,,,,
          60 - 64 anos,81495,62378,4627,2002,58280,54962,7269,3396,11319,2018,,,,
          65 - 69 anos,78130,56764,4189,1477,53095,50376,4688,2136,16158,2775,,,,
          70 - 74 anos,77762,52511,3933,1263,47887,45710,2954,1271,22988,4267,,,,
          75 ou mais anos,150873,83941,7613,1858,68453,65732,2979,1088,71828,15263,,,,
      Lisboa,1147775,722038,272288,138309,576545,501417,151765,56069,147177,26243,,,,
          Menos de 20 anos,1896,920,1772,849,102,68,7,2,15,1,,,,
          20 - 24 anos,18317,9253,16287,8056,1833,1149,144,39,53,9,,,,
          25 - 29 anos,59489,33750,44790,23938,13060,9346,1524,439,115,27,,,,
          30 - 34 anos,103971,64949,56346,31395,39407,30639,7912,2863,306,52,,,,
          35 - 39 anos,121945,78997,45410,24471,58729,47842,17067,6555,739,129,,,,
          40 - 44 anos,109474,71903,29379,15333,58304,48585,20258,7733,1533,252,,,,
          45 - 49 anos,105481,69736,21455,10934,58768,49904,22255,8395,3003,503,,,,
          50 - 54 anos,101992,68187,15921,7917,58707,50946,22137,8395,5227,929,,,,
          55 - 59 anos,101248,68476,11992,5735,60733,53733,19915,7594,8608,1414,,,,
          60 - 64 anos,103158,70728,8735,3748,64403,58422,16600,6168,13420,2390,,,,
          65 - 69 anos,92787,62231,6242,2288,57495,52933,10563,3841,18487,3169,,,,
          70 - 74 anos,81084,50152,5236,1699,45473,42142,6455,2163,23920,4148,,,,
          75 ou mais anos,146933,72756,8723,1946,59531,55708,6928,1882,71751,13220,,,,
      Alentejo,302975,210567,47879,28967,175803,159120,27661,12307,51632,10173,,,,
          Menos de 20 anos,454,231,405,204,38,25,2,0,9,2,,,,
          20 - 24 anos,3645,2106,3041,1742,535,346,49,13,20,5,,,,
          25 - 29 anos,10773,6964,6959,4273,3369,2568,417,116,28,7,,,,
          30 - 34 anos,20314,14341,8293,5356,10084,8262,1828,704,109,19,,,,
          35 - 39 anos,24900,18406,6421,4117,14915,12905,3319,1343,245,41,,,,
          40 - 44 anos,25473,19143,4615,2946,16311,14372,4094,1732,453,93,,,,
          45 - 49 anos,27278,20620,3853,2476,17885,15965,4588,2012,952,167,,,,
          50 - 54 anos,27566,21153,3063,2052,18560,16803,4284,1984,1659,314,,,,
          55 - 59 anos,27054,21003,2459,1624,18753,17294,3270,1619,2572,466,,,,
          60 - 64 anos,26317,19738,1919,1135,18157,16776,2330,1159,3911,668,,,,
          65 - 69 anos,25045,17602,1597,811,16240,15089,1542,759,5666,943,,,,
          70 - 74 anos,27337,17824,1763,890,16027,15004,973,458,8574,1472,,,,
          75 ou mais anos,56819,31436,3491,1341,24929,23711,965,408,27434,5976,,,,
      Algarve,182776,119688,41537,24350,94247,80817,22875,9838,24117,4683,,,,
          Menos de 20 anos,340,200,311,182,28,18,0,0,1,0,,,,
          20 - 24 anos,2846,1538,2418,1293,389,234,32,11,7,0,,,,
          25 - 29 anos,8855,5117,6398,3543,2153,1487,277,82,27,5,,,,
          30 - 34 anos,15087,9578,7962,4572,5907,4556,1167,443,51,7,,,,
          35 - 39 anos,18375,12100,6864,4044,8880,7105,2480,924,151,27,,,,
          40 - 44 anos,17596,11682,4727,2736,9398,7670,3198,1243,273,33,,,,
          45 - 49 anos,17311,11703,3604,2174,9559,7953,3643,1490,505,86,,,,
          50 - 54 anos,16659,11577,2613,1717,9611,8130,3522,1559,913,171,,,,
          55 - 59 anos,16379,11664,1996,1317,9980,8679,3033,1414,1370,254,,,,
          60 - 64 anos,15760,11399,1357,867,10059,9024,2309,1133,2035,375,,,,
          65 - 69 anos,14252,10095,1033,652,9140,8255,1438,716,2641,472,,,,
          70 - 74 anos,13172,8778,818,520,7750,7097,919,469,3685,692,,,,
