"4.05 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS, POR NACIONALIDADE E SEXO DO REPRESENTANTE DA FAMILIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (individuos),,,,,,,,,,Pessoas nas famílias,,,
Nacionalidade e sexo do representante da família,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal                                                               HM,4043726,866827,1277558,965781,671066,182028,56379,15173,5256,3658,10436516,,,
                                                                          H,2763229,321856,927916,750719,559566,142870,42984,11090,3782,2446,7772521,,,
      Portugal                                                           HM,3828806,816171,1219720,917157,634562,168585,51267,13598,4623,3123,9859012,,,
                                                                          H,2622173,293744,890567,717601,532127,133193,39453,10024,3365,2099,7376793,,,
      Estrangeira                                                        HM,130382,34199,34766,28421,20038,7968,3213,997,425,355,342191,,,
                                                                          H,85262,20334,22443,19028,14606,5537,2146,656,271,241,230445,,,
      Europa                                                             HM,50489,12557,17010,10882,7216,1954,589,168,56,57,123583,,,
                                                                          H,36489,7448,12729,8248,5842,1531,465,135,42,49,93223,,,
      União Europeia 27 (S/PT)                                           HM,32761,8612,11783,6172,4220,1311,434,135,46,48,78528,,,
                                                                          H,23386,4695,9021,4663,3435,1037,349,110,35,41,59197,,,
      França                                                             HM,3569,776,937,936,697,167,45,9,2,0,9430,,,
                                                                          H,2432,394,626,689,551,132,32,7,1,0,6826,,,
      Países Baixos (Holanda)                                            HM,1638,436,764,189,166,64,14,4,1,0,3635,,,
                                                                          H,1184,220,633,131,133,52,11,3,1,0,2766,,,
      Alemanha                                                           HM,3768,1321,1372,541,386,106,30,8,1,3,8033,,,
                                                                          H,2414,649,986,356,302,87,23,7,1,3,5554,,,
      Itália                                                             HM,1131,396,322,225,140,43,5,0,0,0,2520,,,
                                                                          H,871,245,264,183,134,40,5,0,0,0,2088,,,
      Reino Unido                                                        HM,6917,1880,3705,670,490,125,34,9,3,1,14186,,,
                                                                          H,4961,934,3085,450,363,91,25,9,3,1,10608,,,
      Irlanda                                                            HM,537,148,247,61,48,29,3,1,0,0,1187,,,
                                                                          H,388,84,200,41,38,23,1,1,0,0,887,,,
      Dinamarca                                                          HM,180,67,59,28,19,5,0,2,0,0,384,,,
                                                                          H,133,39,49,21,18,4,0,2,0,0,306,,,
      Grécia                                                             HM,52,26,14,8,3,0,1,0,0,0,96,,,
                                                                          H,34,13,11,6,3,0,1,0,0,0,71,,,
      Espanha                                                            HM,3342,1131,979,616,441,130,30,10,3,2,7643,,,
                                                                          H,2171,524,666,455,381,107,24,9,3,2,5529,,,
      Bélgica                                                            HM,749,219,323,94,79,22,8,4,0,0,1649,,,
                                                                          H,506,105,256,59,62,13,8,3,0,0,1176,,,
      Luxemburgo                                                         HM,80,23,29,15,9,3,0,1,0,0,184,,,
                                                                          H,56,15,22,11,5,2,0,1,0,0,129,,,
      Suécia                                                             HM,215,76,89,24,21,5,0,0,0,0,435,,,
                                                                          H,140,44,62,18,13,3,0,0,0,0,289,,,
      Finlândia                                                          HM,113,39,54,10,7,3,0,0,0,0,220,,,
                                                                          H,65,11,40,7,5,2,0,0,0,0,142,,,
      Áustria                                                            HM,171,68,55,22,22,4,0,0,0,0,352,,,
                                                                          H,117,38,39,16,20,4,0,0,0,0,264,,,
      Malta                                                              HM,10,3,3,2,2,0,0,0,0,0,23,,,
                                                                          H,5,1,2,1,1,0,0,0,0,0,12,,,
      Estónia                                                            HM,40,22,13,4,1,0,0,0,0,0,64,,,
                                                                          H,19,8,7,3,1,0,0,0,0,0,35,,,
      Letónia                                                            HM,39,16,13,5,3,1,1,0,0,0,80,,,
                                                                          H,18,7,6,2,3,0,0,0,0,0,37,,,
      Lituânia                                                           HM,91,31,29,17,9,5,0,0,0,0,201,,,
                                                                          H,48,17,14,10,3,4,0,0,0,0,107,,,
      Polónia                                                            HM,195,89,53,29,22,2,0,0,0,0,380,,,
                                                                          H,100,38,27,18,16,1,0,0,0,0,215,,,
      República Checa                                                    HM,53,25,15,7,4,2,0,0,0,0,102,,,
                                                                          H,23,8,6,5,3,1,0,0,0,0,52,,,
      Eslováquia                                                         HM,25,9,6,6,2,1,0,0,1,0,60,,,
                                                                          H,11,3,2,3,1,1,0,0,1,0,33,,,
      Hungria                                                            HM,95,30,33,15,8,6,2,1,0,0,222,,,
                                                                          H,45,10,16,7,6,4,2,0,0,0,119,,,
      Roménia                                                            HM,7949,1294,2210,2272,1332,497,203,75,28,38,22697,,,
                                                                          H,6250,924,1663,1876,1110,393,170,61,22,31,18213,,,
      Bulgária                                                           HM,1783,479,452,375,306,91,58,11,7,4,4708,,,
                                                                          H,1384,360,335,295,260,73,47,7,3,4,3715,,,
      Eslovénia                                                          HM,17,7,6,1,3,0,0,0,0,0,34,,,
                                                                          H,9,3,3,0,3,0,0,0,0,0,21,,,
      Chipre                                                             HM,2,1,1,0,0,0,0,0,0,0,3,,,
                                                                          H,2,1,1,0,0,0,0,0,0,0,3,,,
      Outros países (parcial)                                            HM,17728,3945,5227,4710,2996,643,155,33,10,9,45055,,,
                                                                          H,13103,2753,3708,3585,2407,494,116,25,7,8,34026,,,
      Noruega                                                            HM,140,56,51,16,12,5,0,0,0,0,279,,,
                                                                          H,81,22,34,13,8,4,0,0,0,0,181,,,
      Suíça                                                              HM,431,144,184,51,44,4,4,0,0,0,885,,,
                                                                          H,276,62,137,35,36,3,3,0,0,0,618,,,
      Rússia (Federação da)                                              HM,1437,355,435,400,199,37,9,1,1,0,3475,,,
                                                                          H,821,164,227,253,144,26,5,1,1,0,2128,,,
      Outros países - Europa                                             HM,15720,3390,4557,4243,2741,597,142,32,9,9,40416,,,
                                                                          H,11925,2505,3310,3284,2219,461,108,24,6,8,31099,,,
      África                                                             HM,34734,9327,6526,7023,5834,3293,1681,587,261,202,101541,,,
                                                                          H,19947,6090,3159,3657,3477,1979,983,339,150,113,57770,,,
