"4.08 - FAMÍLIAS CLÁSSICAS SEGUNDO O NÚMERO DE PESSOAS COM MENOS DE 15 ANOS, ENTRE OS 15 E 64 ANOS E COM 65 OU MAIS ANOS, POR DIMENSÃO DA FAMILIA",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas com pessoas com menos de 15 anos,,,,,Famílias clássicas com pessoas entre os 15 e 64 anos,,,,,Famílias clássicas com pessoas com 65 ou mais anos,,,,,
Dimensão da família,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,
  Portugal,4043726,2929533,729036,329617,55540,4043726,806780,865061,1416541,955344,4043726,2669604,838875,520536,14711,
      Com 1 pessoa,866827,866793,34,0,0,866827,406976,459851,0,0,866827,459885,406942,0,0,
      Com 2 pessoas,1277558,1213908,63646,4,0,1277558,388762,283209,605587,0,1277558,668427,221183,387948,0,
      Com 3 pessoas,965781,545304,397451,23025,1,965781,10320,108920,478372,368169,965781,780440,96239,79877,9225,
      Com 4 pessoas,671066,240279,185509,241713,3565,671066,646,11129,277448,381843,671066,584111,59283,24596,3076,
      Com 5 pessoas,182028,50140,59654,40524,31710,182028,64,1668,45245,135051,182028,128139,37875,14878,1136,
      Com 6 pessoas,56379,10612,17506,17214,11047,56379,8,252,8381,47738,56379,33722,12213,9814,630,
      Com 7 pessoas,15173,1844,3839,4774,4716,15173,0,26,1251,13896,15173,9148,3277,2354,394,
      Com 8 pessoas,5256,444,995,1606,2211,5256,1,2,211,5042,5256,3332,1095,675,154,
      Com 9 ou mais pessoas,3658,209,402,757,2290,3658,3,4,46,3605,3658,2400,768,394,96,
      Total de Pessoas nas Familias,10436516,6224518,2503656,1395347,312995,10436516,1218457,1407646,4043457,3766956,10436516,7432159,1677093,1272887,54377,
    Continente,3869188,2814166,692412,311648,50962,3869188,783346,829925,1352991,902926,3869188,2547020,803343,504742,14083,
        Com 1 pessoa,834680,834646,34,0,0,834680,393624,441056,0,0,834680,441090,393590,0,0,
        Com 2 pessoas,1232982,1171690,61288,4,0,1232982,379094,271867,582021,0,1232982,642529,212147,378306,0,
        Com 3 pessoas,923812,522406,379241,22164,1,923812,9941,104589,456094,353188,923812,746792,91393,76751,8876,
        Com 4 pessoas,637236,227576,176354,229922,3384,637236,615,10598,263538,362485,637236,555281,55714,23301,2940,
        Com 5 pessoas,168748,46176,55280,37729,29563,168748,61,1558,42247,124882,168748,118378,35223,14072,1075,
        Com 6 pessoas,51222,9532,15794,15773,10123,51222,7,231,7720,43264,51222,30393,10973,9265,591,
        Com 7 pessoas,13291,1583,3316,4161,4231,13291,0,21,1141,12129,13291,7963,2822,2134,372,
        Com 8 pessoas,4421,379,807,1340,1895,4421,1,1,188,4231,4421,2772,910,597,142,
        Com 9 ou mais pessoas,2796,178,298,555,1765,2796,3,4,42,2747,2796,1822,571,316,87,
        Total de Pessoas nas Familias,9927982,5959498,2369398,1314606,284480,9927982,1184487,1350331,3853905,3539259,9927982,7057786,1589500,1228788,51908,
      Norte,1330892,927940,269661,116938,16353,1330892,226426,247136,482716,374614,1330892,897620,262148,165624,5500,
          Com 1 pessoa,228923,228915,8,0,0,228923,109892,119031,0,0,228923,119039,109884,0,0,
          Com 2 pessoas,390608,372685,17923,0,0,390608,112868,86443,191297,0,390608,208995,68970,112643,0,
          Com 3 pessoas,349821,200557,142558,6706,0,349821,3370,37235,171608,137608,349821,284308,33862,28597,3054,
          Com 4 pessoas,256375,97365,73073,84919,1018,256375,257,3764,99971,152383,256375,220838,24246,10045,1246,
          Com 5 pessoas,72880,22240,25867,15119,9654,72880,32,574,16273,56001,72880,47685,17481,7200,514,
          Com 6 pessoas,23355,4983,7938,7319,3115,23355,5,81,3125,20144,23355,12150,5563,5324,318,
          Com 7 pessoas,5935,883,1726,1981,1345,5935,0,6,379,5550,5935,3004,1426,1279,226,
          Com 8 pessoas,1898,227,410,647,614,1898,1,1,51,1845,1898,998,450,359,91,
          Com 9 ou mais pessoas,1097,85,158,247,607,1097,1,1,12,1083,1097,603,266,177,51,
          Total de Pessoas nas Familias,3657065,2115323,949636,500691,91415,3657065,346974,422102,1400587,1487402,3657065,2619517,583363,432751,21434,
      Centro,904770,676123,150473,68603,9571,904770,218349,177449,302277,206695,904770,558746,203298,138952,3774,
          Com 1 pessoa,195368,195359,9,0,0,195368,106470,88898,0,0,195368,88907,106461,0,0,
          Com 2 pessoas,301017,289710,11305,2,0,301017,108975,61810,130232,0,301017,141373,50837,108807,0,
