"4.11 - FAMÍLIAS CLÁSSICAS, SEGUNDO A CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA E O SEXO DO REPRESENTANTE DA FAMILIA, POR TIPO DE FAMILIA",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Total,Com actividade económica,,,,Sem actividade económica,,,,,,,,,
,,Empregados,,Desempregados,,Estudantes,,Domésticos,,Reformados,,Incapacitados permanentes p/o trabalho,,Outros,
Tipo de família com base no número de núcleos familiares,,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
  Portugal,4043726,2129926,1576341,235579,158861,14187,6840,64726,5590,1413365,894153,50554,35278,135389,86166
      Famílias sem núcleos,940457,344639,174499,47404,28023,8488,4204,19917,925,471917,116350,13326,7230,34766,18159
      Famílias sem núcleos com uma só pessoa,866827,315448,159919,42510,25167,6820,3396,17954,812,440870,109644,11972,6528,31253,16390
      Famílias sem núcleos só pessoas aparentadas,52162,17159,7943,3262,1905,1090,532,1629,88,25473,4996,1102,582,2447,1213
      Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,21468,12032,6637,1632,951,578,276,334,25,5574,1710,252,120,1066,556
      Famílias com um núcleo,2984598,1734744,1363191,180315,125308,5517,2566,41755,4404,892487,737904,34640,26144,95140,64453
      Casal de direito sem filhos,892560,268097,240460,27492,24602,540,388,7703,1800,556018,526621,10641,9617,22069,19305
      Casal de direito sem filhos sem outras pessoas,829835,248272,223165,25100,22527,489,354,6630,1627,519906,496248,9516,8674,19922,17554
      Casal de direito sem filhos com outras pessoas,62725,19825,17295,2392,2075,51,34,1073,173,36112,30373,1125,943,2147,1751
      Casal de direito com pelo menos um filho com menos de 25 anos,1081980,904403,827239,72106,62829,1520,927,8657,1323,55417,43796,10336,9287,29541,24710
      Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,1006818,856716,785696,67207,58762,1393,853,6908,1202,38593,37237,9228,8442,26773,22750
      Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,75162,47687,41543,4899,4067,127,74,1749,121,16824,6559,1108,845,2768,1960
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,259233,99223,91370,11541,10631,135,104,2576,622,133327,127196,4298,3968,8133,7311
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,237731,90506,83430,10572,9748,121,93,2224,551,123038,118593,3899,3610,7371,6644
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21502,8717,7940,969,883,14,11,352,71,10289,8603,399,358,762,667
      Casal de facto sem filhos,144405,103523,69607,10904,7174,708,358,1604,148,20947,13515,1479,865,5240,3440
      Casal de facto sem filhos sem outras pessoas,133922,97989,66617,9954,6613,623,316,1302,132,18118,12463,1270,766,4666,3133
      Casal de facto sem filhos com outras pessoas,10483,5534,2990,950,561,85,42,302,16,2829,1052,209,99,574,307
      Casal de facto com pelo menos um filho com menos de 25 anos,183186,138896,96204,22194,14222,795,365,3051,211,6006,3539,1818,1137,10426,6415
      Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,169489,131193,91502,20577,13255,732,341,2585,191,3400,2781,1579,1027,9423,5932
      Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,13697,7703,4702,1617,967,63,24,466,20,2606,758,239,110,1003,483
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,8915,4247,2296,687,402,10,5,320,21,2918,1830,212,119,521,333
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,8024,3842,2082,630,368,10,5,283,20,2611,1676,192,107,456,296
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,891,405,214,57,34,0,0,37,1,307,154,20,12,65,37
      Pai com pelo menos um filho com menos de 25 anos,30441,21397,20951,2952,2866,113,86,194,94,3869,2423,501,479,1415,1332
      Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,25985,19431,19320,2606,2578,99,74,88,86,2131,2125,434,433,1196,1183
      Pai com pelo menos um filho com menos de 25 anos com outras pessoas,4456,1966,1631,346,288,14,12,106,8,1738,298,67,46,219,149
      Pai com filho(s) tendo o mais novo 25 ou mais anos,24959,6247,5152,887,779,27,20,225,91,16563,15852,304,265,706,603
      Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,23228,5801,4796,817,720,24,18,193,88,15466,15087,285,247,642,551
      Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1731,446,356,70,59,3,2,32,3,1097,765,19,18,64,52
      Mãe com pelo menos um filho com menos de 25 anos,216160,149303,2221,26096,469,1486,234,9222,11,15100,1582,2896,61,12057,229
      Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,184409,134036,880,23121,196,1290,192,7490,0,5827,10,2386,5,10259,100
      Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,31751,15267,1341,2975,273,196,42,1732,11,9273,1572,510,56,1798,129
      Mãe com filho(s) tendo o mais novo 25 ou mais anos,142759,39408,7691,5456,1334,183,79,8203,83,82322,1550,2155,346,5032,775
      Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,130624,35881,7055,4965,1247,162,66,7350,81,75777,1138,1952,321,4537,701
      Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,12135,3527,636,491,87,21,13,853,2,6545,412,203,25,495,74
      Famílias com dois núcleos,114488,48932,37451,7562,5330,179,69,2864,249,47323,38643,2463,1818,5165,3349
      Famílias sem filhos nos dois núcleos,13783,6422,5621,789,676,17,12,203,36,5500,5174,311,272,541,461
      Famílias sem filhos nos dois núcleos sem outras pessoas,12142,5670,4987,696,606,14,9,163,30,4871,4650,271,240,457,399
      Famílias sem filhos nos dois núcleos com outras pessoas,1641,752,634,93,70,3,3,40,6,629,524,40,32,84,62
      Famílias com filhos só num dos núcleos,62772,25246,20484,3492,2688,65,28,1131,149,29245,26686,1198,1018,2395,1816
      Famílias com filhos só num dos núcleos sem outras pessoas,56897,22803,18606,3149,2444,60,25,973,128,26726,24784,1056,901,2130,1631
      Famílias com filhos só num dos núcleos com outras pessoas,5875,2443,1878,343,244,5,3,158,21,2519,1902,142,117,265,185
      Famílias com filhos nos dois núcleos,37933,17264,11346,3281,1966,97,29,1530,64,12578,6783,954,528,2229,1072
      Famílias com filhos nos dois núcleos sem outras pessoas,33029,15209,10164,2869,1720,85,25,1296,53,10838,6111,805,455,1927,955
      Famílias com filhos nos dois núcleos com outras pessoas,4904,2055,1182,412,246,12,4,234,11,1740,672,149,73,302,117
      Famílias com três ou mais núcleos,4183,1611,1200,298,200,3,1,190,12,1638,1256,125,86,318,205
      Famílias com três ou mais núcleos sem outras pessoas,3540,1369,1040,246,170,3,1,148,9,1411,1112,107,73,256,168
      Famílias com três ou mais núcleos com outras pessoas,643,242,160,52,30,0,0,42,3,227,144,18,13,62,37
