"4.13 - FAMÍLIAS CLÁSSICAS, SEGUNDO A SUA DIMENSÃO E PESSOAS NAS FAMÍLIAS POR GRUPO SÓCIO-ECONÓMICO E SEXO DO REPRESENTANTE DA FAMILIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo a dimensão (pessoas),,,,,,,,,,Pessoas nas famílias,,,
Grupo sócio-económico e sexo do representante da família,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9 ou mais,,,,
1,2,3,4,5,6,7,8,9,10,11,13,,,
  Portugal  HM,4043726,866827,1277558,965781,671066,182028,56379,15173,5256,3658,10436516,,,
             H,2763229,321856,927916,750719,559566,142870,42984,11090,3782,2446,7772521,,,
"      Empresários com profissões intelectuais, científicas e técnicas  HM",22283,5064,5890,5351,4465,1170,264,49,17,13,58792,,,
                                                                       H,15620,2515,3900,4043,3845,1012,238,44,13,10,44818,,,
      Empresários da indústria comércio e serviços  HM,50868,5455,11456,14095,14542,4001,974,240,65,40,157277,,,
                                                    H,43658,3625,9358,12262,13544,3683,881,213,60,32,139300,,,
      Empresários do sector primário  HM,1248,115,260,316,363,133,38,13,5,5,4110,,,
                                      H,1161,90,238,301,348,126,37,11,5,5,3881,,,
      Pequenos patrões com profissões intelectuais e científicas  HM,20723,4007,5303,4995,4841,1229,262,59,17,10,57329,,,
                                                                  H,15212,2222,3664,3815,4154,1047,232,54,15,9,44826,,,
      Pequenos patrões com profissões técnicas intermédias  HM,18299,2427,4551,5300,4752,982,226,39,14,8,53162,,,
                                                            H,14923,1524,3550,4433,4319,856,190,35,12,4,44997,,,
      Pequenos patrões da indústria  HM,85457,5387,15971,26279,28420,7051,1742,405,134,68,280136,,,
                                     H,80658,4458,14617,24941,27625,6771,1667,386,127,66,267247,,,
      Pequenos patrões do comércio e serviços  HM,71256,6673,17692,21257,19039,4824,1276,304,116,75,217545,,,
                                               H,56626,3530,13216,17497,16804,4139,1040,249,92,59,179652,,,
      Pequenos patrões do sector primário  HM,13130,622,3156,3638,3632,1295,534,165,54,34,43981,,,
                                           H,12352,517,2920,3450,3481,1239,507,156,53,29,41673,,,
      Profissionais intelectuais e científicos independentes  HM,17773,4372,5007,4243,3266,671,161,39,9,5,44893,,,
                                                              H,12626,2495,3438,3225,2732,555,132,37,9,3,33902,,,
      Profissionais técnicos intermédios independentes  HM,17521,2777,4369,5012,4218,904,182,44,11,4,49474,,,
                                                        H,14773,1936,3554,4378,3874,817,164,36,10,4,43118,,,
      Trabalhadores industriais e artesanais independentes  HM,58946,4651,12484,18393,17745,4258,1042,259,79,35,186123,,,
                                                            H,56745,4023,11825,17889,17464,4163,1018,252,76,35,180849,,,
      Prestadores de serviços e comerciantes independentes  HM,65791,11046,17463,17985,13868,3770,1148,314,129,68,185035,,,
                                                            H,38280,3942,9198,11326,10174,2554,775,185,78,48,116826,,,
      Trabalhadores independentes do sector primário  HM,25091,3022,6696,6553,5829,1968,725,199,62,37,75836,,,
                                                      H,22971,2309,6085,6177,5580,1867,678,184,56,35,70817,,,
      Directores e quadros dirigentes do Estado e empresas  HM,65880,10062,14445,18915,17927,3678,661,146,33,13,191170,,,
                                                            H,52249,5642,10326,15725,16436,3351,591,134,31,13,160823,,,
      Dirigentes de pequenas empresas e organizações  HM,14141,2192,3386,4041,3524,772,176,31,14,5,40484,,,
                                                      H,10636,1214,2298,3165,3086,676,152,28,13,4,32288,,,
      Quadros intelectuais e científicos  HM,264130,69958,69890,63096,49159,9813,1743,335,86,50,658703,,,
                                          H,148119,27044,35309,39244,37359,7460,1338,251,70,44,412905,,,
      Quadros técnicos intermédios  HM,203407,33250,48267,62575,48339,8726,1733,368,97,52,568749,,,
                                    H,155214,17970,32890,51465,43168,7757,1519,322,78,45,462029,,,
      Quadros administrativos intermédios  HM,31573,5833,8198,9741,6319,1187,233,45,11,6,84521,,,
                                           H,17256,1554,3487,6282,4831,892,168,33,7,2,52472,,,
      Empregados administrativos do comércio e serviços  HM,476048,85968,124550,145721,92831,19998,5105,1258,382,235,1288345,,,
                                                         H,271388,34701,57798,93863,67883,13027,3073,691,217,135,794880,,,
      Operários qualificados e semi-qualificados  HM,547099,46161,103880,188969,155452,37959,10514,2717,907,540,1727100,,,
                                                  H,515916,40713,94454,179708,150456,36515,10063,2611,877,519,1643926,,,
      Assalariados do sector primário  HM,34841,5040,7944,9793,7833,2711,994,308,126,92,105252,,,
                                       H,30800,4109,6720,8836,7261,2493,911,275,111,84,94701,,,
      Trabalhadores administrativos do comércio e serviços não qualificados  HM,138509,25753,37276,37728,24573,8448,3051,977,393,310,385345,,,
                                                                             H,51140,6138,11092,16466,12217,3541,1128,311,147,100,155396,,,
      Operários não qualificados  HM,76272,10242,16779,23862,17970,5091,1563,505,155,105,227921,,,
                                  H,61999,7659,12350,19781,15714,4448,1365,447,141,94,190173,,,
      Trabalhadores não qualificados do sector primário  HM,10831,1913,2527,2912,2349,709,260,100,33,28,31450,,,
                                                         H,8967,1450,2004,2485,2056,613,221,84,30,24,26599,,,
      Pessoal das forças armadas  HM,16907,2223,3572,5372,4853,741,117,22,5,2,49514,,,
                                  H,15849,1804,3205,5175,4793,728,116,21,5,2,47452,,,
      Outras pessoas activas n.e.  HM,17481,3745,4276,4593,3120,1132,412,110,49,44,48278,,,
                                   H,10064,1902,2255,2704,2101,733,251,65,29,24,29027,,,
      Inactivos  HM,1678221,508869,722270,255046,111837,48807,21243,6122,2253,1774,3615991,,,
                 H,1028027,136770,568165,192083,78261,31807,14529,3975,1420,1017,2457944,,,
