"4.18 - FAMÍLIAS CLÁSSICAS SEGUNDO O NÚMERO DE DESEMPREGADOS (SENTIDO RESTRITO) E A SITUAÇÃO PERANTE O DESEMPREGO, POR DIMENSÃO DO TIPO DE FAMILIA NA BASE DA ESTRUTURA ETÁRIA DOS SEUS MEMBROS E NÚMERO DE CRIANÇAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total famílias clássicas,Famílias clássicas sem desempregados,Famílias clássicas segundo o número de desempregados,,,,,,Número de desempregados,Desempregados à procura de     1º emprego,,,,
Tipo de família na base da estrutura etária,,,Só com desempregados à procura de 1º emprego,,Só com desempregados à procura de novo emprego,,Com desempregados à procura de primeiro emprego e desempregados à procura de novo emprego,,,,,,,
,,,1 desempregado,2 ou mais desempregados,1 desempregado,2 ou mais desempregados,2 desempregados,3 ou mais desempregados,,,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,
  Portugal,4043726,3465446,89132,5874,415101,48845,15841,3487,660907,121974,,,,
      Uma pessoa do sexo masculino com idade entre 15 e 24 anos,10174,9127,449,0,598,0,0,0,1047,449,,,,
      Uma pessoa do sexo masculino com idade entre 25 e 64 anos,218011,193905,1331,0,22775,0,0,0,24106,1331,,,,
      Uma pessoa do sexo masculino com 65 ou mais anos,93648,93634,5,0,9,0,0,0,14,5,,,,
      Uma pessoa do sexo feminino com idade entre 15 e 24 anos,10335,9232,496,0,607,0,0,0,1103,496,,,,
      Uma pessoa do sexo feminino com idade entre 25 e 64 anos,221331,205116,1285,0,14930,0,0,0,16215,1285,,,,
      Uma pessoa do sexo feminino com 65 ou mais anos,313294,313269,3,0,22,0,0,0,25,3,,,,
"      Uma pessoa do sexo masculino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",9410,8496,69,0,845,0,0,0,914,69,,,,
"      Uma pessoa do sexo feminino com 15 ou mais anos, com 1 ou mais pessoas de idade inferior a 15 anos",81382,70381,956,0,10045,0,0,0,11001,956,,,,
"      Duas pessoas, ambas com idade entre 15 e 24 anos",9717,7604,607,78,1231,129,68,0,2388,831,,,,
"      Duas pessoas, ambas com idade entre 25 e 64 anos",512802,435713,6011,279,63474,6744,581,0,84693,7150,,,,
"      Duas pessoas, uma com idade entre 15 e 24 e outra de 25 a 64 anos",83068,65933,5091,107,10465,792,680,0,18714,5985,,,,
"      Duas pessoas, ambas ou pelo menos uma com 65 ou mais anos",608321,590929,1543,3,15835,10,1,0,17406,1550,,,,
"      Duas pessoas, ambas com 15 ou mais anos, com outras de idade inferior a 15 anos",675499,565016,10874,710,88833,8630,1436,0,121259,13730,,,,
      Uma pessoa de idade inferior a 15 anos,397451,331787,6720,338,52985,4841,780,0,71623,8176,,,,
      Duas pessoas de idade inferior a 15 anos,241713,204737,3312,239,30057,2889,479,0,40583,4269,,,,
      Três pessoas de idade inferior a 15 anos,31263,24776,683,101,4873,707,123,0,7418,1008,,,,
      Quatro ou mais pessoas de idade inferior a 15 anos,5072,3716,159,32,918,193,54,0,1635,277,,,,
      Três ou mais pessoas com 15 ou mais anos,1196695,897052,60412,4697,185432,32540,13075,3487,362022,88134,,,,
      Sem outras pessoas de idade inferior a 15 anos,848832,642721,43527,3039,128470,20773,8452,1850,244808,60777,,,,
      Uma pessoa de idade inferior a 15 anos,267905,199740,12918,1045,42119,7959,3188,936,83519,19601,,,,
      Duas pessoas ou mais de idade inferior a 15 anos,79958,54591,3967,613,14843,3808,1435,701,33695,7756,,,,
      Outros casos,39,39,0,0,0,0,0,0,0,0,,,,
