"4.19 - FAMÍLIAS INSTITUCIONAIS, SEGUNDO A CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) DOS SEUS MEMBROS, A DIMENSÃO DA FAMÍLIA INSTITUCIONAL E PESSOAS RESIDENTES, POR TIPO DE ALOJAMENTO COLECTIVO  ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Principalmente com actividade económica,,,,Principalmente sem actividade económica ,,,,Pessoas residentes,,,,
Tipo de alojamento colectivo,,Total,Menos de 20 pessoas,De 20 a 49 pessoas,De 50 ou mais pessoas,Total,Menos de 20 pessoas,De 20 a 49 pessoas,De 50 ou mais pessoas,HM,H,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,4833,531,487,22,22,4302,2158,1425,719,124966,48651,,,
      Estabelecimentos hoteleiros ou similares,245,42,42,0,0,203,118,58,27,4871,1709,,,
      Convivências,4588,489,445,22,22,4099,2040,1367,692,120095,46942,,,
      Apoio social,3219,85,78,6,1,3134,1442,1160,532,90637,30117,,,
      Educação,141,36,35,1,0,105,68,29,8,2317,1167,,,
      Militar,27,24,19,2,3,3,2,1,0,467,405,,,
      Prisional,132,24,5,2,17,108,13,18,77,9474,8967,,,
      Religiosa,623,257,248,9,0,366,303,53,10,6306,1533,,,
      Saúde,248,9,9,0,0,239,117,73,49,7539,3295,,,
      Trabalho,36,21,19,1,1,15,8,5,2,577,281,,,
      Outras,162,33,32,1,0,129,87,28,14,2778,1177,,,
    Continente,4579,475,434,20,21,4104,2043,1382,679,118976,46198,,,
        Estabelecimentos hoteleiros ou similares,232,41,41,0,0,191,108,56,27,4737,1666,,,
        Convivências,4347,434,393,20,21,3913,1935,1326,652,114239,44532,,,
        Apoio social,3090,72,65,6,1,3018,1377,1130,511,87439,29186,,,
        Educação,128,29,28,1,0,99,65,28,6,2036,1058,,,
        Militar,22,20,17,1,2,2,1,1,0,329,295,,,
        Prisional,126,24,5,2,17,102,11,17,74,9142,8647,,,
        Religiosa,571,232,223,9,0,339,281,49,9,5862,1457,,,
        Saúde,227,9,9,0,0,218,111,68,39,6372,2679,,,
        Trabalho,31,18,17,0,1,13,6,5,2,533,241,,,
        Outras,152,30,29,1,0,122,83,28,11,2526,969,,,
      Norte,1235,140,126,2,12,1095,546,375,174,32399,12849,,,
