"4.20 - PESSOAS A VIVER EM FAMÍLIAS INSTITUCIONAIS, SEGUNDO O TIPO DE ALOJAMENTO COLECTIVO, POR GRUPO ETÁRIO E SEXO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total ,Tipo de alojamento colectivo ,,,,,,,,,,,,
Grupo etário      ,,Estabelecimentos hoteleiros e similares,Convivências ,,,,,,,,,,,
Sexo,,,Total,Apoio social,Educação,Militar,Prisional,Religiosa,Saúde,Trabalho,Outro tipo,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal                                                      HM,124966,4871,120095,90637,2317,467,9474,6306,7539,577,2778,,,
                                                              H,48651,1709,46942,30117,1167,405,8967,1533,3295,281,1177,,,
      0 - 4 anos                                             HM,1384,28,1356,1134,14,0,37,5,10,0,156,,,
                                                              H,680,16,664,559,4,0,23,0,6,0,72,,,
      5 - 9 anos                                             HM,1412,62,1350,1213,38,0,2,15,6,1,75,,,
                                                              H,790,22,768,691,25,0,2,1,2,1,46,,,
      10 - 14 anos                                           HM,3022,153,2869,2410,177,0,21,110,26,6,119,,,
                                                              H,1579,77,1502,1228,130,0,20,53,16,0,55,,,
      15 - 19 anos                                           HM,4217,231,3986,2701,533,5,189,204,134,34,186,,,
                                                              H,2148,139,2009,1163,337,3,176,126,86,17,101,,,
      20 - 24 anos                                           HM,2916,84,2832,886,416,102,991,159,180,21,77,,,
                                                              H,1956,37,1919,406,204,90,964,73,121,15,46,,,
      25 - 29 anos                                           HM,3205,77,3128,795,117,87,1527,266,215,24,97,,,
                                                              H,2409,37,2372,391,64,75,1459,160,152,20,51,,,
      30 - 34 anos                                           HM,3569,81,3488,1063,90,62,1622,219,297,32,103,,,
                                                              H,2669,41,2628,590,48,57,1557,88,198,27,63,,,
      35 - 39 anos                                           HM,3807,102,3705,1215,74,62,1577,218,362,35,162,,,
                                                              H,2777,53,2724,684,38,59,1502,85,220,32,104,,,
      40 - 44 anos                                           HM,3372,93,3279,1220,71,46,1212,231,354,29,116,,,
                                                              H,2370,43,2327,690,37,45,1135,78,237,25,80,,,
      45 - 49 anos                                           HM,3307,87,3220,1307,75,37,942,248,517,17,77,,,
                                                              H,2212,42,2170,756,40,37,885,71,316,12,53,,,
      50 - 54 anos                                           HM,3099,118,2981,1487,57,21,558,241,523,13,81,,,
                                                              H,1909,66,1843,846,27,20,522,71,295,7,55,,,
      55 - 59 anos                                           HM,3170,103,3067,1774,53,4,389,261,516,11,59,,,
                                                              H,1849,55,1794,996,32,4,365,66,294,5,32,,,
      60 - 64 anos                                           HM,3592,157,3435,2213,78,1,160,412,492,15,64,,,
                                                              H,1732,85,1647,1134,28,1,148,71,233,9,23,,,
      65 - 69 anos                                           HM,4675,166,4509,3085,88,1,90,677,482,11,75,,,
                                                              H,1998,67,1931,1455,24,0,83,133,206,3,27,,,
      70 - 74 anos                                           HM,7448,333,7115,5546,97,2,48,723,532,30,137,,,
                                                              H,2787,130,2657,2179,33,2,47,129,203,12,52,,,
      75 - 79 anos                                           HM,13493,554,12939,11027,84,11,37,808,694,53,225,,,
                                                              H,4240,171,4069,3555,22,2,28,130,234,25,73,,,
      80 - 84 anos                                           HM,20850,881,19969,17893,102,15,25,661,861,73,339,,,
                                                              H,5665,251,5414,4935,30,8,19,101,227,22,72,,,
      85 - 89 anos                                           HM,22656,949,21707,19793,84,7,22,540,777,104,380,,,
                                                              H,5498,240,5258,4847,24,1,13,68,160,37,108,,,
      90 ou mais anos                                        HM,15772,612,15160,13875,69,4,25,308,561,68,250,,,
                                                              H,3383,137,3246,3012,20,1,19,29,89,12,64,,,
