"5.03 - NÚCLEOS FAMILIARES, SEGUNDO O NÚMERO DE CRIANÇAS, TOTAIS DE FILHOS E DE CRIANÇAS NOS NÚCLEOS, POR TIPO DE NÚCLEO E CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) DOS MEMBROS DO NÚCLEO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Núcleos segundo o número de crianças,,,,,,,,,Filhos nos núcleos,Crianças nos núcleos,,,
Tipo de núcleo,Total ,Sem crianças,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7 ou mais,,,,,
Condição perante a actividade económica,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,3226371,2121305,730193,323746,43562,6157,1108,236,64,3160234,1540421,,,
      Casal de direito sem filhos,973343,973343,0,0,0,0,0,0,0,0,0,,,
        Ambos empregados,182537,182537,0,0,0,0,0,0,0,0,0,,,
        Um empregado e outro desempregado ou inactivo,198270,198270,0,0,0,0,0,0,0,0,0,,,
        Ambos desempregados ou inactivos,592536,592536,0,0,0,0,0,0,0,0,0,,,
      Casal de facto sem filhos,158296,158296,0,0,0,0,0,0,0,0,0,,,
        Ambos empregados,88712,88712,0,0,0,0,0,0,0,0,0,,,
        Um empregado e outro desempregado ou inactivo,40829,40829,0,0,0,0,0,0,0,0,0,,,
        Ambos desempregados ou inactivos,28755,28755,0,0,0,0,0,0,0,0,0,,,
      Casal de direito com filhos,1408694,653644,478984,243392,28614,3329,561,129,41,2183772,1068808,,,
        Ambos empregados,776281,253964,331257,172631,16816,1380,177,39,17,1227093,733728,,,
        Um empregado e outro desempregado ou inactivo,415882,216382,126787,61505,9515,1365,259,51,18,661151,285538,,,
        Ambos desempregados ou inactivos,216531,183298,20940,9256,2283,584,125,39,6,295528,49542,,,
      Casal de facto com filhos,205595,38371,112629,42932,9162,2016,388,78,19,319798,236586,,,
        Ambos empregados,109992,16695,67028,22527,3229,444,56,10,3,160899,123906,,,
        Um empregado e outro desempregado ou inactivo,67476,13724,34838,14539,3455,748,138,26,8,108427,78176,,,
        Ambos desempregados ou inactivos,28127,7952,10763,5866,2478,824,194,42,8,50472,34504,,,
      Pai com filhos,64100,45713,14689,3233,404,48,10,3,0,82512,22627,,,
        Empregado,31261,17235,11094,2590,306,29,6,1,0,42026,17344,,,
        Desempregado,5465,2945,2076,374,63,4,2,1,0,7217,3045,,,
        Sem atividade económica,27374,25533,1519,269,35,15,2,1,0,33269,2238,,,
      Mãe com filhos,416343,251938,123891,34189,5382,764,149,26,4,574152,212400,,,
        Empregada,210219,95092,88998,23000,2792,286,46,4,1,298567,144779,,,
        Desempregada,41042,14825,18779,6000,1209,183,37,8,1,61613,35378,,,
        Sem atividade económica,165082,142021,16114,5189,1381,295,66,14,2,213972,32243,,,
