"5.04 - NÚCLEOS FAMILIARES COM FILHOS, SEGUNDO O ESCALÃO ETÁRIO DO FILHO MAIS NOVO E TOTAL DE FILHOS, POR TIPO DE NÚCLEO E CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) DOS MEMBROS DO NÚCLEO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Escalão etário do filho mais novo,,,,,,,Filhos nos núcleos,,,,,,
Tipo de núcleo,Total ,De 0 a 4 anos,De 5 a 9 anos,De 10 a 14 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 ou mais anos,,,,,,,
Condição perante a actividade económica,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,2094732,432655,353616,318795,284439,241120,464107,3160234,,,,,,
      Casal de direito com filhos,1408694,284267,244808,225975,203635,177674,272335,2183772,,,,,,
        Ambos empregados,776281,205047,171526,145744,116337,84374,53253,1227093,,,,,,
        Um empregado e outro desempregado ou inactivo,415882,68603,63391,67506,69520,66523,80339,661151,,,,,,
        Ambos desempregados ou inactivos,216531,10617,9891,12725,17778,26777,138743,295528,,,,,,
      Casal de facto com filhos,205595,95200,44541,27483,18305,10596,9470,319798,,,,,,
        Ambos empregados,109992,52861,25345,15091,9375,4854,2466,160899,,,,,,
        Um empregado e outro desempregado ou inactivo,67476,30425,14266,9061,6404,3954,3366,108427,,,,,,
        Ambos desempregados ou inactivos,28127,11914,4930,3331,2526,1788,3638,50472,,,,,,
      Pai com filhos,64100,3485,6934,7968,9598,8806,27309,82512,,,,,,
        Empregado,31261,2636,5387,6003,6679,5531,5025,42026,,,,,,
        Desempregado,5465,528,947,1045,1228,892,825,7217,,,,,,
        Sem atividade económica,27374,321,600,920,1691,2383,21459,33269,,,,,,
      Mãe com filhos,416343,49703,57333,57369,52901,44044,154993,574152,,,,,,
        Empregada,210219,30946,41825,42356,37394,28700,28998,298567,,,,,,
        Desempregada,41042,9897,8762,7558,6252,4282,4291,61613,,,,,,
        Sem atividade económica,165082,8860,6746,7455,9255,11062,121704,213972,,,,,,
