"5.05 - NÚCLEOS FAMILIARES COM FILHOS  COM MENOS DE 6 ANOS, SEGUNDO O NÚMERO TOTAL DE FILHOS NOS NÚCLEOS POR TIPO DE NÚCLEO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Núcleos segundo o número de filhos ,,,,,,,,Filhos ,,,,,
Tipo de núcleo,Total,1,2,3,4,5,6,Com 7 ou mais,Total,Com menos de 6 anos,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,
  Portugal,509986,256018,196907,44353,9375,2347,689,297,838507,578798,,,,
      Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,337510,153467,147666,29426,5244,1171,372,164,567391,384656,,,,
      Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,106777,62334,31079,9434,2823,794,215,98,170080,122428,,,,
      Pai com 1 ou mais filhos com menos de 6 anos de idade,4749,3243,1160,258,64,17,5,2,6724,5119,,,,
      Mãe com 1 ou mais filhos com menos de 6 anos de idade,60950,36974,17002,5235,1244,365,97,33,94312,66595,,,,
    Continente,482354,242818,186778,41238,8551,2101,611,257,790407,547244,,,,
        Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,317486,144676,139556,27093,4684,1019,319,139,531871,361760,,,,
        Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,102483,59905,29902,8971,2671,745,201,88,162896,117455,,,,
        Pai com 1 ou mais filhos com menos de 6 anos de idade,4541,3106,1109,246,60,16,2,2,6410,4891,,,,
        Mãe com 1 ou mais filhos com menos de 6 anos de idade,57844,35131,16211,4928,1136,321,89,28,89230,63138,,,,
      Norte,175937,89060,69793,13970,2448,471,139,56,283964,196762,,,,
          Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,131799,61921,57547,10391,1555,268,85,32,216499,147542,,,,
          Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,24947,15342,6809,2037,570,129,40,20,38391,28390,,,,
          Pai com 1 ou mais filhos com menos de 6 anos de idade,1093,760,256,56,18,3,0,0,1527,1163,,,,
          Mãe com 1 ou mais filhos com menos de 6 anos de idade,18098,11037,5181,1486,305,71,14,4,27547,19667,,,,
      Centro,101687,51048,40453,8188,1483,382,99,34,165201,114655,,,,
          Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,72061,33060,32039,5799,888,202,55,18,119559,81580,,,,
          Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,19238,11659,5374,1601,437,126,30,11,29847,21834,,,,
          Pai com 1 ou mais filhos com menos de 6 anos de idade,729,497,176,42,12,2,0,0,1033,788,,,,
          Mãe com 1 ou mais filhos com menos de 6 anos de idade,9659,5832,2864,746,146,52,14,5,14762,10453,,,,
      Lisboa,148403,74567,55023,13967,3475,964,280,127,247895,171727,,,,
          Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,81107,35513,35355,7913,1688,423,140,75,140253,95459,,,,
          Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,41721,23457,12778,3804,1192,365,90,35,67825,48159,,,,
          Pai com 1 ou mais filhos com menos de 6 anos de idade,2094,1406,531,122,24,9,1,1,2989,2261,,,,
          Mãe com 1 ou mais filhos com menos de 6 anos de idade,23481,14191,6359,2128,571,167,49,16,36828,25848,,,,
      Alentejo,33305,16363,12835,3131,701,189,58,28,55723,38010,,,,
          Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,20328,8873,9102,1904,342,76,21,10,34734,23213,,,,
          Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,9175,5152,2688,909,288,93,30,15,15159,10655,,,,
          Pai com 1 ou mais filhos com menos de 6 anos de idade,340,239,77,20,2,1,0,1,474,375,,,,
          Mãe com 1 ou mais filhos com menos de 6 anos de idade,3462,2099,968,298,69,19,7,2,5356,3767,,,,
      Algarve,23022,11780,8674,1982,444,95,35,12,37624,26090,,,,
          Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,12191,5309,5513,1086,211,50,18,4,20826,13966,,,,
          Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,7402,4295,2253,620,184,32,11,7,11674,8417,,,,
          Pai com 1 ou mais filhos com menos de 6 anos de idade,285,204,69,6,4,1,1,0,387,304,,,,
          Mãe com 1 ou mais filhos com menos de 6 anos de idade,3144,1972,839,270,45,12,5,1,4737,3403,,,,
    Região Autónoma dos Açores,13892,6354,5146,1688,477,157,45,25,24862,16035,,,,
        Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,10471,4509,4200,1271,340,101,33,17,18915,12045,,,,
        Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,1981,1045,548,263,83,28,8,6,3495,2359,,,,
        Pai com 1 ou mais filhos com menos de 6 anos de idade,96,53,32,8,1,1,1,0,156,109,,,,
        Mãe com 1 ou mais filhos com menos de 6 anos de idade,1344,747,366,146,53,27,3,2,2296,1522,,,,
      Região Autónoma dos Açores,13892,6354,5146,1688,477,157,45,25,24862,16035,,,,
          Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,10471,4509,4200,1271,340,101,33,17,18915,12045,,,,
          Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,1981,1045,548,263,83,28,8,6,3495,2359,,,,
          Pai com 1 ou mais filhos com menos de 6 anos de idade,96,53,32,8,1,1,1,0,156,109,,,,
          Mãe com 1 ou mais filhos com menos de 6 anos de idade,1344,747,366,146,53,27,3,2,2296,1522,,,,
    Região Autónoma da Madeira,13740,6846,4983,1427,347,89,33,15,23238,15519,,,,
        Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,9553,4282,3910,1062,220,51,20,8,16605,10851,,,,
        Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,2313,1384,629,200,69,21,6,4,3689,2614,,,,
        Pai com 1 ou mais filhos com menos de 6 anos de idade,112,84,19,4,3,0,2,0,158,119,,,,
        Mãe com 1 ou mais filhos com menos de 6 anos de idade,1762,1096,425,161,55,17,5,3,2786,1935,,,,
      Região Autónoma da Madeira,13740,6846,4983,1427,347,89,33,15,23238,15519,,,,
          Casal de direito com 1 ou mais filhos com menos de 6 anos de idade,9553,4282,3910,1062,220,51,20,8,16605,10851,,,,
          Casal de facto com 1 ou mais filhos com menos de 6 anos de idade,2313,1384,629,200,69,21,6,4,3689,2614,,,,
          Pai com 1 ou mais filhos com menos de 6 anos de idade,112,84,19,4,3,0,2,0,158,119,,,,
          Mãe com 1 ou mais filhos com menos de 6 anos de idade,1762,1096,425,161,55,17,5,3,2786,1935,,,,
