"5.06 - NÚCLEOS FAMILIARES MONOPARENTAIS, SEGUNDO O NÍVEL DE ESCOLARIDADE ATINGIDO DO PAI OU MÃE POR TIPO DE NÚCLEO E ESCALÃO ETÁRIO DO PAI OU MÃE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Nível de escolaridade do pai ou mãe,,,,,,,,,,,,,
Tipo de núcleo ,Total,Sem nível de escolaridade,Básico - 1º ciclo,Básico - 2º ciclo,Básico - 3º ciclo,Secundário,Pós-secundário,Ensino superior,,,,,,
Escalão etário do pai ou mãe,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,480443,43057,146078,46899,81141,87234,2893,73141,,,,,,
    Pai com filhos,64100,5066,23792,6817,10027,9904,216,8278,,,,,,
      Menos de 20 anos,37,0,2,9,18,7,0,1,,,,,,
      20 - 24 anos,377,9,29,68,165,88,8,10,,,,,,
      25 - 29 anos,1370,22,81,212,532,397,26,100,,,,,,
      30 - 34 anos,2887,27,218,467,886,844,67,378,,,,,,
      35 - 39 anos,5077,72,542,885,1215,1273,102,988,,,,,,
      40 - 44 anos,6632,125,1115,1235,1473,1539,13,1132,,,,,,
      45 - 49 anos,8339,176,1952,1268,1701,1872,0,1370,,,,,,
      50 - 54 anos,7877,179,2298,1028,1420,1582,0,1370,,,,,,
      55 - 59 anos,6582,193,2931,516,824,939,0,1179,,,,,,
      60 - 64 anos,5086,201,2721,355,634,487,0,688,,,,,,
      65 ou mais anos,19836,4062,11903,774,1159,876,0,1062,,,,,,
    Mãe com filhos,416343,37991,122286,40082,71114,77330,2677,64863,,,,,,
      Menos de 20 anos,2014,15,59,299,951,636,22,32,,,,,,
      20 - 24 anos,9688,96,288,1104,4012,3391,207,590,,,,,,
      25 - 29 anos,18825,232,637,1800,6524,6971,471,2190,,,,,,
      30 - 34 anos,32705,394,1762,3745,8249,11026,838,6691,,,,,,
      35 - 39 anos,48077,626,4242,6519,10606,13239,962,11883,,,,,,
      40 - 44 anos,52790,833,7604,7849,11475,13485,177,11367,,,,,,
      45 - 49 anos,53611,963,11345,6905,10646,12303,0,11449,,,,,,
      50 - 54 anos,43317,1064,12561,5134,7554,8220,0,8784,,,,,,
      55 - 59 anos,31574,1262,14328,2420,4340,3662,0,5562,,,,,,
      60 - 64 anos,23539,1270,13839,1451,2617,1752,0,2610,,,,,,
      65 ou mais anos,100203,31236,55621,2856,4140,2645,0,3705,,,,,,
