"6.01 - POPULAÇÃO RESIDENTE, SEGUNDO A DIMENSÃO DOS LUGARES, POPULAÇÃO ISOLADA, EMBARCADA, CORPO DIPLOMÁTICO E SEXO,  POR IDADE (ANO A ANO)",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Em lugares até 1999 habitantes,,Em lugares de 2000 a 4999 habitantes,,Em lugares de 5000 a 9999 habitantes,,Em lugares de 10000 a 19999 habitantes,,Em lugares de 20000 a 49999 habitantes,,Em lugares de 50000 a 99999 habitantes,,Em lugares de 100000 a 199999 habitantes,,Em lugares de 200000 a 499999 habitantes,,Em lugares de 500000 a 999999 habitantes,,Em lugares com 1000000 habitantes ou mais,,"População isolada, embarcada e corpo diplomático",
Zona Geográfica,,,,,,,,,,,,,,,,,,,,,,,,
Idade ano a ano,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
  Portugal,10562178,5046600,3945623,1908061,983197,473773,947768,454631,1252729,597036,1227208,578979,526461,248320,715906,336251,237591,108104,547011,250501,0,0,178684,90944
      Menos de 1 ano,96761,49046,31150,15878,9647,5025,10068,5153,13019,6401,12289,6230,5545,2781,6879,3474,1803,881,4975,2534,0,0,1386,689
      1 ano,94151,47939,30316,15488,9620,4876,9866,4987,12827,6569,11830,6044,5334,2679,6584,3333,1648,840,4717,2432,0,0,1409,691
      2 anos,96527,49442,31728,16181,9687,4959,10079,5266,12907,6614,12251,6156,5346,2756,6710,3516,1669,861,4707,2384,0,0,1443,749
      3 anos,96674,49777,32514,16835,9830,5023,9870,5047,12784,6555,11925,6129,5432,2743,6520,3380,1621,808,4656,2467,0,0,1522,790
      4 anos,98534,50192,33606,16975,10118,5160,9915,5131,12969,6676,12198,6239,5203,2636,6677,3398,1722,866,4572,2334,0,0,1554,777
      5 anos,103616,53208,36014,18484,10427,5318,10384,5382,13611,7045,12546,6454,5542,2886,6810,3441,1798,930,4833,2448,0,0,1651,820
      6 anos,102517,52458,36102,18548,10371,5292,10270,5276,13156,6683,12476,6381,5302,2730,6717,3423,1796,908,4614,2389,0,0,1713,828
      7 anos,104771,53540,37274,18961,10587,5370,10538,5432,13445,6950,12425,6416,5479,2824,6943,3506,1826,940,4617,2286,0,0,1637,855
      8 anos,108312,55538,38911,19924,11053,5693,10763,5521,13470,6933,12658,6441,5633,2937,7347,3776,1972,1000,4725,2384,0,0,1780,929
      9 anos,105871,54221,38630,19813,10716,5500,10240,5290,13180,6710,12369,6244,5593,2847,7010,3617,1875,990,4531,2309,0,0,1727,901
      10 anos,116057,59590,42633,21843,11528,5984,11339,5864,14479,7379,13429,6943,6134,3120,7643,3862,2114,1122,4851,2488,0,0,1907,985
      11 anos,115378,58846,42561,21599,11288,5790,11079,5722,14399,7343,13266,6742,6026,3048,7862,4023,2172,1141,4831,2437,0,0,1894,1001
      12 anos,111425,56838,41498,21212,11157,5728,10558,5403,13558,6863,12802,6520,5781,2905,7473,3740,2050,1060,4663,2426,0,0,1885,981
      13 anos,110868,56523,41855,21241,10703,5493,10396,5299,13367,6772,12962,6718,5679,2894,7326,3762,2139,1047,4563,2315,0,0,1878,982
      14 anos,110867,56841,41862,21589,10979,5599,10503,5415,13335,6819,12676,6530,5579,2828,7400,3756,2174,1072,4500,2291,0,0,1859,942
      15 anos,109927,56575,41515,21443,10720,5533,10369,5332,13129,6656,12650,6447,5568,2883,7275,3791,2340,1224,4491,2294,0,0,1870,972
      16 anos,109576,56218,41536,21396,10585,5489,10198,5233,13073,6672,12544,6396,5542,2759,7547,3926,2182,1104,4522,2278,0,0,1847,965
      17 anos,113106,57686,43025,21946,10711,5486,10477,5343,13322,6696,13040,6644,5707,2926,7790,3967,2302,1193,4798,2455,0,0,1934,1030
      18 anos,115571,58510,43623,22167,10886,5533,10539,5361,13777,6917,13363,6688,5791,2931,7985,3965,2478,1264,5159,2622,0,0,1970,1062
      19 anos,117070,59536,43691,22308,11001,5681,10750,5423,14001,7061,13510,6893,5994,3034,8132,4080,2593,1304,5447,2744,0,0,1951,1008
      20 anos,116632,58956,43554,22253,11091,5691,10697,5451,13700,6850,13408,6623,5969,2934,7971,3957,2617,1313,5636,2854,0,0,1989,1030
      21 anos,115758,58527,43026,21803,10823,5465,10869,5565,13665,6947,13536,6787,5783,2827,8168,4083,2547,1278,5447,2733,0,0,1894,1039
      22 anos,116039,58377,42690,21624,10816,5380,10446,5285,13892,6935,13649,6839,5833,2894,8340,4137,2634,1314,5751,2886,0,0,1988,1083
      23 anos,115768,58252,42450,21711,10971,5435,10485,5261,13806,6861,13691,6773,5702,2826,8292,4028,2663,1319,5857,3019,0,0,1851,1019
      24 anos,117868,58911,42357,21494,11174,5671,10727,5326,14248,7087,13775,6834,6105,2930,8608,4200,2661,1313,6328,3057,0,0,1885,999
      25 anos,120191,60134,41834,21312,11449,5697,11076,5475,14643,7233,14648,7171,6043,2921,8991,4461,2835,1443,6805,3414,0,0,1867,1007
      26 anos,127300,63345,43587,22287,12051,6038,11957,5842,15743,7757,15668,7526,6510,3138,9512,4621,3050,1495,7353,3610,0,0,1869,1031
