"6.10 - POPULAÇÃO RESIDENTE, SEGUNDO AS MIGRAÇÕES (RELATIVAMENTE A 31/12/2005), POR MUNICIPIO DE RESIDÊNCIA HABITUAL EM 21/03/2011",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,População residente em 2011,,População que ainda não tinha nascido (em 31/12/2005),,População que mantém a mesma residência (relativamente a 31/12/2005),,População que mudou de residência (relativamente a 31/12/2005),,,,,,,,,,,,,,,,,,,,,
Municipios de residência habitual em 21/03/2011,,,,,,,Na mesma freguesia,,Noutra freguesia do mesmo municipio,,Noutro municipio,,No estrangeiro,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,,,,,,,,,,,,
    Portugal,10562178,5046600,504483,257598,7621633,3619898,928507,443154,614036,293735,678389,325524,215130,106691,,,,,,,,,,,,,,
      Continente,10047621,4798798,476990,243496,7248481,3441461,884972,421964,581147,278007,649531,311675,206500,102195,,,,,,,,,,,,,,
        Norte,3689682,1766260,170883,87191,2755780,1310629,297454,141501,225733,108360,184293,89296,55539,29283,,,,,,,,,,,,,,
          Minho-Lima,244836,114369,10016,5137,186123,85609,17101,8091,15187,7250,9013,4298,7396,3984,,,,,,,,,,,,,,
            Arcos de Valdevez,22847,10429,782,402,17446,7852,1209,544,1453,639,817,381,1140,611,,,,,,,,,,,,,,
            Caminha,16684,7737,621,342,12480,5702,1334,617,866,409,882,403,501,264,,,,,,,,,,,,,,
            Melgaço,9213,4076,263,134,7365,3154,378,180,376,178,263,120,568,310,,,,,,,,,,,,,,
            Monção,19230,8728,670,329,14881,6631,1028,470,1089,509,569,260,993,529,,,,,,,,,,,,,,
            Paredes de Coura,9198,4373,376,191,7236,3380,559,276,401,199,319,159,307,168,,,,,,,,,,,,,,
            Ponte da Barca,12061,5596,425,204,9393,4282,786,371,552,261,474,234,431,244,,,,,,,,,,,,,,
            Ponte de Lima,43498,20503,2015,1006,33561,15626,3193,1526,2520,1207,1359,659,850,479,,,,,,,,,,,,,,
            Valença,14127,6619,575,291,10830,5019,824,386,776,369,610,283,512,271,,,,,,,,,,,,,,
            Viana do Castelo,88725,41889,3875,2017,66086,30727,7214,3439,6661,3234,3102,1511,1787,961,,,,,,,,,,,,,,
            Vila Nova de Cerveira,9253,4419,414,221,6845,3236,576,282,493,245,618,288,307,147,,,,,,,,,,,,,,
          Cávado,410169,196823,20628,10573,304799,145059,28313,13465,33535,16203,16400,8091,6494,3432,,,,,,,,,,,,,,
            Amares,18889,9131,947,482,14597,7018,1005,469,958,465,958,469,424,228,,,,,,,,,,,,,,
            Barcelos,120391,58284,5846,3032,93675,44953,8511,4125,8121,3955,2942,1498,1296,721,,,,,,,,,,,,,,
            Braga,181494,86707,9418,4802,127292,60348,12593,5940,20692,10011,8384,4061,3115,1545,,,,,,,,,,,,,,
            Esposende,34254,16278,1729,897,26252,12310,2572,1221,1294,614,1791,906,616,330,,,,,,,,,,,,,,
            Terras de Bouro,7253,3478,267,134,6116,2923,369,171,139,50,205,116,157,84,,,,,,,,,,,,,,
            Vila Verde,47888,22945,2421,1226,36867,17507,3263,1539,2331,1108,2120,1041,886,524,,,,,,,,,,,,,,
          Ave,511737,247027,23313,11930,385491,185154,43734,20922,33870,16307,18754,9185,6575,3529,,,,,,,,,,,,,,
            Fafe,50633,23946,2254,1180,38290,17963,4968,2326,2998,1401,1281,605,842,471,,,,,,,,,,,,,,
            Guimarães,158124,76767,7306,3750,119002,57526,12153,5837,13645,6583,4239,2100,1779,971,,,,,,,,,,,,,,
            Póvoa de Lanhoso,21886,10413,1010,531,16673,7838,1647,766,1039,498,863,424,654,356,,,,,,,,,,,,,,
            Vieira do Minho,12997,6252,483,252,10838,5178,726,364,321,140,323,145,306,173,,,,,,,,,,,,,,
            Vila Nova de Famalicão,133832,64849,6500,3384,99835,48080,10649,5112,9565,4650,5592,2743,1691,880,,,,,,,,,,,,,,
            Vizela,23736,11653,1149,573,17567,8639,2433,1168,1159,561,1254,621,174,91,,,,,,,,,,,,,,
            Santo Tirso,71530,34334,2785,1380,54391,26019,7429,3539,3306,1594,2866,1407,753,395,,,,,,,,,,,,,,
            Trofa,38999,18813,1826,880,28895,13911,3729,1810,1837,880,2336,1140,376,192,,,,,,,,,,,,,,
          Grande Porto,1287282,610455,61758,31480,925351,435647,107976,50744,86419,41273,90603,43768,15175,7543,,,,,,,,,,,,,,
            Espinho,31786,15112,1134,590,24430,11543,2443,1170,1262,597,2154,1024,363,188,,,,,,,,,,,,,,
            Gondomar,168027,81007,7997,4126,125949,60588,13810,6582,9108,4374,9945,4691,1218,646,,,,,,,,,,,,,,
            Maia,135306,64855,7670,3923,94740,45216,8780,4110,9012,4323,13686,6565,1418,718,,,,,,,,,,,,,,
            Matosinhos,175478,83444,8401,4264,125216,59013,15337,7244,10894,5219,13754,6818,1876,886,,,,,,,,,,,,,,
            Porto,237591,108104,8851,4441,169927,76035,18918,8614,18888,8853,17104,8262,3903,1899,,,,,,,,,,,,,,
            Póvoa de Varzim,63408,29958,3282,1649,45750,21374,6531,3047,2965,1439,3664,1825,1216,624,,,,,,,,,,,,,,
            Valongo,93858,45016,5148,2618,66656,31858,9342,4428,3356,1635,8465,4025,891,452,,,,,,,,,,,,,,
            Vila do Conde,79533,38469,4196,2147,57439,27548,7381,3581,4080,1956,5447,2719,990,518,,,,,,,,,,,,,,
            Vila Nova de Gaia,302295,144490,15079,7722,215244,102472,25434,11968,26854,12877,16384,7839,3300,1612,,,,,,,,,,,,,,
          Tâmega,550516,268097,28094,14190,420677,203752,47998,23434,27879,13539,19956,9860,5912,3322,,,,,,,,,,,,,,
            Castelo de Paiva,16733,8184,788,379,13381,6545,1404,699,637,305,430,202,93,54,,,,,,,,,,,,,,
            Cabeceiras de Basto,16710,8115,795,395,13005,6274,1365,662,746,377,464,212,335,195,,,,,,,,,,,,,,
            Celorico de Basto,20098,9749,924,463,15493,7407,1691,852,688,337,617,299,685,391,,,,,,,,,,,,,,
            Amarante,56264,26968,2545,1271,42912,20456,4543,2228,3602,1697,1614,751,1048,565,,,,,,,,,,,,,,
            Baião,20522,9811,885,447,16167,7668,1890,895,792,381,658,346,130,74,,,,,,,,,,,,,,
            Felgueiras,58065,28103,2810,1406,44052,21215,5093,2513,3927,1881,1664,800,519,288,,,,,,,,,,,,,,
            Lousada,47387,23077,2627,1373,35605,17233,3881,1862,2667,1294,2303,1146,304,169,,,,,,,,,,,,,,
            Marco de Canaveses,53450,26039,2898,1482,40328,19571,4957,2401,2891,1389,1701,828,675,368,,,,,,,,,,,,,,
            Paços de Ferreira,56340,28081,3157,1616,42042,20734,5251,2588,2974,1462,2510,1423,406,258,,,,,,,,,,,,,,
            Paredes,86854,42530,5012,2479,65446,32000,7431,3634,4374,2168,4006,1930,585,319,,,,,,,,,,,,,,
            Penafiel,72265,35191,3803,1924,55256,26786,6519,3157,3489,1737,2711,1310,487,277,,,,,,,,,,,,,,
            Mondim de Basto,7493,3598,290,138,6065,2894,556,271,167,75,274,140,141,80,,,,,,,,,,,,,,
            Ribeira de Pena,6544,3196,237,129,5320,2577,473,234,88,42,217,100,209,114,,,,,,,,,,,,,,
            Cinfães,20427,9932,845,432,16390,7902,2100,1039,462,233,451,220,179,106,,,,,,,,,,,,,,
            Resende,11364,5523,478,256,9215,4490,844,399,375,161,336,153,116,64,,,,,,,,,,,,,,
          Entre Douro e Vouga,274859,132784,12438,6388,212342,102103,21019,10126,12330,5931,13537,6559,3193,1677,,,,,,,,,,,,,,
            Arouca,22359,10799,1085,558,17607,8441,1839,929,975,447,615,290,238,134,,,,,,,,,,,,,,
            Santa Maria da Feira,139312,67402,6683,3456,107516,51669,9421,4554,6974,3365,7136,3520,1582,838,,,,,,,,,,,,,,
            Oliveira de Azeméis,68611,33282,2836,1434,53373,25891,5544,2657,3219,1568,2900,1351,739,381,,,,,,,,,,,,,,
            São João da Madeira,21713,10222,960,485,15660,7322,2651,1230,0,0,2158,1046,284,139,,,,,,,,,,,,,,
            Vale de Cambra,22864,11079,874,455,18186,8780,1564,756,1162,551,728,352,350,185,,,,,,,,,,,,,,
          Douro,205902,98444,7892,4054,160713,76409,15416,7253,8739,4173,8644,4087,4498,2468,,,,,,,,,,,,,,
            Carrazeda de Ansiães,6373,3066,188,84,5167,2464,437,206,179,92,165,81,237,139,,,,,,,,,,,,,,
            Freixo de Espada à Cinta,3780,1820,137,76,2918,1402,442,210,45,15,153,74,85,43,,,,,,,,,,,,,,
            Torre de Moncorvo,8572,4106,225,116,6963,3312,567,269,171,70,308,145,338,194,,,,,,,,,,,,,,
            Vila Flor,6697,3212,192,102,5253,2512,622,300,203,99,254,108,173,91,,,,,,,,,,,,,,
            Vila Nova de Foz Côa,7312,3458,220,96,5649,2676,693,311,160,72,284,138,306,165,,,,,,,,,,,,,,
            Alijó,11942,5772,404,188,9835,4757,861,417,230,103,390,184,222,123,,,,,,,,,,,,,,
            Mesão Frio,4433,2121,166,91,3606,1714,267,128,161,73,203,99,30,16,,,,,,,,,,,,,,
