"6.15 -  POPULAÇÃO RESIDENTE COM 12 OU MAIS ANOS, SEGUNDO O ESTADO CIVIL LEGAL E O SEXO, POR GRUPO ETÁRIO E IDADE ANO A ANO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
"Grupo etário e  
idade ano a ano",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,
  Portugal,9323009,4412803,3033808,1569811,4924870,2454630,593667,245265,770664,143097,,,,,,,,,,,,,,,,,,
      12-14 anos,333160,170202,333160,170202,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        12 anos,111425,56838,111425,56838,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        13 anos,110868,56523,110868,56523,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        14 anos,110867,56841,110867,56841,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
      15-19 anos,565250,288525,562827,287939,2266,544,65,22,92,20,,,,,,,,,,,,,,,,,,
        15 anos,109927,56575,109927,56575,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
        16 anos,109576,56218,109491,56193,78,23,3,2,4,0,,,,,,,,,,,,,,,,,,
        17 anos,113106,57686,112913,57653,184,32,5,0,4,1,,,,,,,,,,,,,,,,,,
        18 anos,115571,58510,115113,58414,441,88,7,4,10,4,,,,,,,,,,,,,,,,,,
        19 anos,117070,59536,115383,59104,1563,401,50,16,74,15,,,,,,,,,,,,,,,,,,
      20-24 anos,582065,293023,543267,281636,36371,10761,2121,563,306,63,,,,,,,,,,,,,,,,,,
        20 anos,116632,58956,113920,58294,2526,613,126,33,60,16,,,,,,,,,,,,,,,,,,
        21 anos,115758,58527,111093,57292,4373,1158,232,64,60,13,,,,,,,,,,,,,,,,,,
        22 anos,116039,58377,109079,56488,6510,1772,386,103,64,14,,,,,,,,,,,,,,,,,,
        23 anos,115768,58252,105644,55143,9514,2941,555,157,55,11,,,,,,,,,,,,,,,,,,
        24 anos,117868,58911,103531,54419,13448,4277,822,206,67,9,,,,,,,,,,,,,,,,,,
      25-29 anos,656076,324848,470780,254755,170697,65795,13878,4191,721,107,,,,,,,,,,,,,,,,,,
        25 anos,120191,60134,100333,53490,18496,6290,1295,342,67,12,,,,,,,,,,,,,,,,,,
        26 anos,127300,63345,99982,53676,25317,9132,1892,521,109,16,,,,,,,,,,,,,,,,,,
        27 anos,131808,65562,95812,52134,33313,12610,2538,792,145,26,,,,,,,,,,,,,,,,,,
        28 anos,137211,67448,91059,49420,42444,16888,3522,1110,186,30,,,,,,,,,,,,,,,,,,
        29 anos,139566,68359,83594,46035,51127,20875,4631,1426,214,23,,,,,,,,,,,,,,,,,,
      30-34 anos,773567,378734,338567,188124,387099,173114,45948,17191,1953,305,,,,,,,,,,,,,,,,,,
        30 anos,144439,70752,78174,43339,59817,25242,6180,2129,268,42,,,,,,,,,,,,,,,,,,
        31 anos,147281,72276,71736,39969,67992,29670,7240,2585,313,52,,,,,,,,,,,,,,,,,,
        32 anos,151198,73869,65680,36480,76426,34035,8727,3301,365,53,,,,,,,,,,,,,,,,,,
        33 anos,162139,79266,63580,35429,87172,39590,10933,4184,454,63,,,,,,,,,,,,,,,,,,
        34 anos,168510,82571,59397,32907,95692,44577,12868,4992,553,95,,,,,,,,,,,,,,,,,,
      35-39 anos,824683,402307,226156,125468,515240,244225,78722,31846,4565,768,,,,,,,,,,,,,,,,,,
        35 anos,170282,83517,55102,30582,100171,47055,14330,5765,679,115,,,,,,,,,,,,,,,,,,
        36 anos,167193,81550,48712,26871,102355,48370,15304,6150,822,159,,,,,,,,,,,,,,,,,,
