"6.17 - POPULAÇÃO RESIDENTE, SEGUNDO O ESTADO CIVIL LEGAL E SEXO, POR GRUPO SÓCIO-ECONÓMICO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,,,,,,,,,,,,,,,
Grupo sócio-económico,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,,,,,,,,,,,,,,,
  Portugal,10562178,5046600,4272977,2203608,4924870,2454630,593667,245265,770664,143097,,,,,,,,,,,,,,,,,,
"      Empresários com profissões intelectuais, científicas e técnicas",40417,21536,15073,6772,20780,12543,4202,2068,362,153,,,,,,,,,,,,,,,,,,
      Empresários da indústria comércio e serviços,82683,56558,18569,12002,55250,39459,7527,4552,1337,545,,,,,,,,,,,,,,,,,,
      Empresários do sector primário,1909,1492,362,294,1380,1082,118,92,49,24,,,,,,,,,,,,,,,,,,
      Pequenos patrões com profissões intelectuais e científicas,37220,20488,12351,6121,20921,12335,3566,1874,382,158,,,,,,,,,,,,,,,,,,
      Pequenos patrões com profissões técnicas intermédias,30561,19380,6921,4339,19814,12981,3386,1894,440,166,,,,,,,,,,,,,,,,,,
      Pequenos patrões da indústria,120475,99752,17877,15324,92241,76827,8800,6750,1557,851,,,,,,,,,,,,,,,,,,
      Pequenos patrões do comércio e serviços,131678,69677,22206,11408,95697,52712,10902,4828,2873,729,,,,,,,,,,,,,,,,,,
      Pequenos patrões do sector primário,21064,15654,3116,2638,16760,12197,773,626,415,193,,,,,,,,,,,,,,,,,,
      Profissionais intelectuais e científicos independentes,34450,18732,13022,6669,17197,9793,3868,2087,363,183,,,,,,,,,,,,,,,,,,
      Profissionais técnicos intermédios independentes,28395,20026,6969,4908,17291,12525,3649,2364,486,229,,,,,,,,,,,,,,,,,,
      Trabalhadores industriais e artesanais independentes,79675,71168,11948,10860,59945,53965,6464,5498,1318,845,,,,,,,,,,,,,,,,,,
      Prestadores de serviços e comerciantes independentes,146523,49250,25826,10088,97642,33704,16281,4556,6774,902,,,,,,,,,,,,,,,,,,
      Trabalhadores independentes do sector primário,39693,30111,8307,7101,28068,20956,1835,1469,1483,585,,,,,,,,,,,,,,,,,,
      Directores e quadros dirigentes do Estado e empresas,104285,65579,27768,14725,65002,44639,10748,5872,767,343,,,,,,,,,,,,,,,,,,
      Dirigentes de pequenas empresas e organizações,26270,14493,7384,3797,15758,9215,2826,1386,302,95,,,,,,,,,,,,,,,,,,
      Quadros intelectuais e científicos,584265,217736,231317,89622,298920,112666,49580,14598,4448,850,,,,,,,,,,,,,,,,,,
      Quadros técnicos intermédios,384611,220570,129228,71862,217486,131062,34528,16585,3369,1061,,,,,,,,,,,,,,,,,,
      Quadros administrativos intermédios,69722,22975,18945,5899,41389,15256,8434,1688,954,132,,,,,,,,,,,,,,,,,,
      Empregados administrativos do comércio e serviços,1245269,444704,454739,184293,646243,225000,122107,33155,22180,2256,,,,,,,,,,,,,,,,,,
      Operários qualificados e semi-qualificados,955992,769132,258085,225863,623495,488071,63695,49683,10717,5515,,,,,,,,,,,,,,,,,,
      Assalariados do sector primário,67531,48831,21564,17845,40013,27471,4401,2975,1553,540,,,,,,,,,,,,,,,,,,
      Trabalhadores administrativos do comércio e serviços não qualificados,414297,87319,105559,37024,250024,43841,40065,5724,18649,730,,,,,,,,,,,,,,,,,,
      Operários não qualificados,193843,116844,72271,54361,105967,55317,12726,6409,2879,757,,,,,,,,,,,,,,,,,,
      Trabalhadores não qualificados do sector primário,23229,13757,7294,5551,13913,7313,1342,748,680,145,,,,,,,,,,,,,,,,,,
      Pessoal das forças armadas,34482,29765,19142,15510,13704,12825,1560,1362,76,68,,,,,,,,,,,,,,,,,,
      Outras pessoas activas n.e.,124828,58045,94113,48802,25535,7583,4284,1531,896,129,,,,,,,,,,,,,,,,,,
      Inactivos,5538811,2443026,2663021,1329930,2024435,923292,166000,64891,685355,124913,,,,,,,,,,,,,,,,,,
    Continente,10047621,4798798,4045843,2085243,4700011,2342476,567438,233575,734329,137504,,,,,,,,,,,,,,,,,,
"        Empresários com profissões intelectuais, científicas e técnicas",39078,20850,14620,6584,20047,12118,4067,1999,344,149,,,,,,,,,,,,,,,,,,
        Empresários da indústria comércio e serviços,78835,53902,17734,11460,52645,37581,7193,4344,1263,517,,,,,,,,,,,,,,,,,,
        Empresários do sector primário,1738,1341,334,271,1246,960,110,86,48,24,,,,,,,,,,,,,,,,,,
        Pequenos patrões com profissões intelectuais e científicas,36217,19878,12036,5942,20356,11978,3455,1804,370,154,,,,,,,,,,,,,,,,,,
        Pequenos patrões com profissões técnicas intermédias,29598,18715,6719,4204,19161,12511,3288,1836,430,164,,,,,,,,,,,,,,,,,,
        Pequenos patrões da indústria,115542,95486,17090,14609,88540,73622,8425,6439,1487,816,,,,,,,,,,,,,,,,,,
        Pequenos patrões do comércio e serviços,126529,66828,21245,10858,92106,50662,10437,4610,2741,698,,,,,,,,,,,,,,,,,,
        Pequenos patrões do sector primário,19178,14116,2765,2335,15350,11058,696,554,367,169,,,,,,,,,,,,,,,,,,
        Profissionais intelectuais e científicos independentes,33673,18225,12711,6486,16822,9535,3782,2025,358,179,,,,,,,,,,,,,,,,,,
        Profissionais técnicos intermédios independentes,27545,19386,6751,4740,16782,12143,3539,2281,473,222,,,,,,,,,,,,,,,,,,
        Trabalhadores industriais e artesanais independentes,75918,67723,11301,10254,57244,51474,6122,5186,1251,809,,,,,,,,,,,,,,,,,,
        Prestadores de serviços e comerciantes independentes,141605,47588,24979,9785,94335,32534,15752,4402,6539,867,,,,,,,,,,,,,,,,,,
        Trabalhadores independentes do sector primário,34553,26114,7193,6125,24428,18171,1625,1290,1307,528,,,,,,,,,,,,,,,,,,
        Directores e quadros dirigentes do Estado e empresas,100688,63329,26879,14240,62670,43086,10403,5676,736,327,,,,,,,,,,,,,,,,,,
        Dirigentes de pequenas empresas e organizações,25288,13932,7087,3631,15177,8867,2734,1343,290,91,,,,,,,,,,,,,,,,,,
        Quadros intelectuais e científicos,556839,208692,220559,86037,284562,107810,47441,14016,4277,829,,,,,,,,,,,,,,,,,,
        Quadros técnicos intermédios,368103,210661,123805,68717,207904,125055,33172,15861,3222,1028,,,,,,,,,,,,,,,,,,
        Quadros administrativos intermédios,66674,21980,18156,5681,39501,14560,8108,1614,909,125,,,,,,,,,,,,,,,,,,
        Empregados administrativos do comércio e serviços,1179915,421091,433484,175401,609555,212020,116034,31527,20842,2143,,,,,,,,,,,,,,,,,,
        Operários qualificados e semi-qualificados,917674,734185,248041,216402,598404,465274,60943,47236,10286,5273,,,,,,,,,,,,,,,,,,
        Assalariados do sector primário,61490,43291,19622,16016,36358,24126,4051,2668,1459,481,,,,,,,,,,,,,,,,,,
        Trabalhadores administrativos do comércio e serviços não qualificados,386011,79933,99270,34400,231960,39636,37476,5227,17305,670,,,,,,,,,,,,,,,,,,
        Operários não qualificados,185963,109861,68819,51095,102096,52033,12264,6023,2784,710,,,,,,,,,,,,,,,,,,
        Trabalhadores não qualificados do sector primário,22375,12987,7011,5283,13410,6867,1288,700,666,137,,,,,,,,,,,,,,,,,,
        Pessoal das forças armadas,32524,28055,17935,14488,13046,12217,1472,1287,71,63,,,,,,,,,,,,,,,,,,
        Outras pessoas activas n.e.,117410,54486,88739,45825,23788,7102,4042,1437,841,122,,,,,,,,,,,,,,,,,,
        Inactivos,5266658,2326163,2510958,1254374,1942518,889476,159519,62104,653663,120209,,,,,,,,,,,,,,,,,,
      Norte,3689682,1766260,1449903,741176,1827335,909507,167110,68639,245334,46938,,,,,,,,,,,,,,,,,,
"          Empresários com profissões intelectuais, científicas e técnicas",10890,5949,4014,1756,5869,3670,924,485,83,38,,,,,,,,,,,,,,,,,,
          Empresários da indústria comércio e serviços,30448,21210,5262,3460,22402,16103,2316,1436,468,211,,,,,,,,,,,,,,,,,,
          Empresários do sector primário,389,319,57,49,306,253,23,16,3,1,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões intelectuais e científicas,12182,6653,3884,1835,7254,4288,952,493,92,37,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões técnicas intermédias,9687,6391,1912,1216,6757,4585,898,536,120,54,,,,,,,,,,,,,,,,,,
          Pequenos patrões da indústria,44967,36498,5381,4373,36511,29975,2557,1877,518,273,,,,,,,,,,,,,,,,,,
          Pequenos patrões do comércio e serviços,43556,24335,6416,3458,33309,19267,3023,1396,808,214,,,,,,,,,,,,,,,,,,
          Pequenos patrões do sector primário,7554,5372,853,683,6429,4532,137,102,135,55,,,,,,,,,,,,,,,,,,
          Profissionais intelectuais e científicos independentes,10571,5778,3961,1993,5596,3215,936,531,78,39,,,,,,,,,,,,,,,,,,
          Profissionais técnicos intermédios independentes,9499,6868,2054,1449,6282,4666,1019,683,144,70,,,,,,,,,,,,,,,,,,
          Trabalhadores industriais e artesanais independentes,27856,23803,3098,2641,22635,19578,1703,1333,420,251,,,,,,,,,,,,,,,,,,
          Prestadores de serviços e comerciantes independentes,53673,18904,8151,3239,38358,13920,5044,1466,2120,279,,,,,,,,,,,,,,,,,,
          Trabalhadores independentes do sector primário,15028,10961,2996,2414,10939,7968,492,362,601,217,,,,,,,,,,,,,,,,,,
          Directores e quadros dirigentes do Estado e empresas,30244,19566,7591,4130,19882,13906,2581,1442,190,88,,,,,,,,,,,,,,,,,,
          Dirigentes de pequenas empresas e organizações,8519,4775,2278,1194,5360,3148,807,404,74,29,,,,,,,,,,,,,,,,,,
          Quadros intelectuais e científicos,182952,67034,71282,27102,97476,36040,12920,3654,1274,238,,,,,,,,,,,,,,,,,,
          Quadros técnicos intermédios,118721,70533,37005,20853,72221,45160,8523,4173,972,347,,,,,,,,,,,,,,,,,,
          Quadros administrativos intermédios,19779,7646,4920,1577,12883,5577,1759,445,217,47,,,,,,,,,,,,,,,,,,
          Empregados administrativos do comércio e serviços,383047,141919,131991,53288,214194,79184,31075,8763,5787,684,,,,,,,,,,,,,,,,,,
          Operários qualificados e semi-qualificados,445456,324044,103626,84098,313931,222480,22853,15327,5046,2139,,,,,,,,,,,,,,,,,,
          Assalariados do sector primário,19749,14533,5227,4306,13046,9321,1054,742,422,164,,,,,,,,,,,,,,,,,,
          Trabalhadores administrativos do comércio e serviços não qualificados,128483,27495,26730,9789,85650,15930,10864,1530,5239,246,,,,,,,,,,,,,,,,,,
          Operários não qualificados,81391,42820,25169,16850,50713,23780,4310,1903,1199,287,,,,,,,,,,,,,,,,,,
          Trabalhadores não qualificados do sector primário,6652,4250,1644,1280,4526,2745,283,172,199,53,,,,,,,,,,,,,,,,,,
          Pessoal das forças armadas,7190,5986,5467,4419,1599,1462,122,103,2,2,,,,,,,,,,,,,,,,,,
          Outras pessoas activas n.e.,47582,20666,34023,16927,11528,3165,1636,525,395,49,,,,,,,,,,,,,,,,,,
          Inactivos,1933617,841952,944911,466797,721679,315589,48299,18740,218728,40826,,,,,,,,,,,,,,,,,,
      Centro,2327755,1111263,857326,446605,1157494,577093,117604,50039,195331,37526,,,,,,,,,,,,,,,,,,
"          Empresários com profissões intelectuais, científicas e técnicas",5964,3199,2223,992,3193,1923,492,262,56,22,,,,,,,,,,,,,,,,,,
          Empresários da indústria comércio e serviços,16914,11884,2945,1950,12204,8878,1473,942,292,114,,,,,,,,,,,,,,,,,,
          Empresários do sector primário,546,420,77,68,419,322,33,24,17,6,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões intelectuais e científicas,6676,3560,2209,1048,3855,2202,547,289,65,21,,,,,,,,,,,,,,,,,,
          Pequenos patrões com profissões técnicas intermédias,6278,4084,1249,791,4346,2918,601,342,82,33,,,,,,,,,,,,,,,,,,
          Pequenos patrões da indústria,30246,25955,3891,3478,24042,20720,1944,1533,369,224,,,,,,,,,,,,,,,,,,
          Pequenos patrões do comércio e serviços,30537,16305,4171,2215,23487,12866,2164,1043,715,181,,,,,,,,,,,,,,,,,,
          Pequenos patrões do sector primário,5908,4286,766,646,4843,3436,198,150,101,54,,,,,,,,,,,,,,,,,,
          Profissionais intelectuais e científicos independentes,6542,3501,2353,1169,3514,1978,622,324,53,30,,,,,,,,,,,,,,,,,,
          Profissionais técnicos intermédios independentes,5833,4232,1321,955,3715,2765,701,464,96,48,,,,,,,,,,,,,,,,,,
          Trabalhadores industriais e artesanais independentes,22121,20444,2987,2803,17152,15967,1643,1438,339,236,,,,,,,,,,,,,,,,,,
          Prestadores de serviços e comerciantes independentes,33474,11128,4823,2034,23338,7848,3604,1021,1709,225,,,,,,,,,,,,,,,,,,
          Trabalhadores independentes do sector primário,11118,7966,1917,1616,8228,5785,510,391,463,174,,,,,,,,,,,,,,,,,,
          Directores e quadros dirigentes do Estado e empresas,16924,10950,4297,2338,10986,7693,1521,864,120,55,,,,,,,,,,,,,,,,,,
          Dirigentes de pequenas empresas e organizações,4939,2726,1336,681,3079,1786,467,240,57,19,,,,,,,,,,,,,,,,,,
          Quadros intelectuais e científicos,118410,41924,43763,16519,64530,22754,9204,2505,913,146,,,,,,,,,,,,,,,,,,
          Quadros técnicos intermédios,72577,41654,23037,12578,43337,26107,5622,2791,581,178,,,,,,,,,,,,,,,,,,
          Quadros administrativos intermédios,12797,5096,3314,1245,8096,3466,1245,355,142,30,,,,,,,,,,,,,,,,,,
