"6.19 - POPULAÇÃO RESIDENTE, SEGUNDO O GRUPO ETÁRIO, POR GRUPO SÓCIO-ECONÓMICO E SEXO",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total,Menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,,,,,,,,,,,,,
 Grupo sócio-económico e sexo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,,,,,,,,,,,,
  Portugal  HM,10562178,1572329,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,961925,,,,,,,,,,,,,
             H,5046600,803999,288525,293023,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,368859,,,,,,,,,,,,,
"      Empresários com profissões intelectuais, científicas e técnicas  HM",40417,0,75,2220,6038,6961,6642,4774,4099,3344,2781,1979,895,375,234,,,,,,,,,,,,,
                                                                       H,21536,0,39,815,2335,3229,3384,2624,2371,2077,1887,1497,750,323,205,,,,,,,,,,,,,
      Empresários da indústria comércio e serviços  HM,82683,0,616,3726,6353,9210,11594,11827,11659,10357,8212,5403,2114,973,639,,,,,,,,,,,,,
                                                    H,56558,0,328,2107,3888,5898,7780,7958,8165,7283,6052,4070,1685,810,534,,,,,,,,,,,,,
      Empresários do sector primário  HM,1909,0,8,66,121,177,233,253,284,275,216,144,67,36,29,,,,,,,,,,,,,
                                      H,1492,0,4,50,99,125,178,206,223,219,162,116,55,32,23,,,,,,,,,,,,,
      Pequenos patrões com profissões intelectuais e científicas  HM,37220,0,32,950,4343,6793,6688,5086,4235,3157,2451,1821,899,412,353,,,,,,,,,,,,,
                                                                  H,20488,0,22,385,1796,3263,3470,2753,2407,2043,1704,1334,716,334,261,,,,,,,,,,,,,
      Pequenos patrões com profissões técnicas intermédias  HM,30561,0,71,797,2180,3786,5092,4624,4163,3696,2761,1930,848,349,264,,,,,,,,,,,,,
                                                            H,19380,0,39,450,1264,2326,3073,2785,2577,2403,1860,1386,699,292,226,,,,,,,,,,,,,
      Pequenos patrões da indústria  HM,120475,0,244,2059,5682,11704,17308,19493,20236,17466,13893,8590,2405,890,505,,,,,,,,,,,,,
                                     H,99752,0,213,1740,4828,9700,14198,15974,16580,14418,11626,7206,2062,770,437,,,,,,,,,,,,,
      Pequenos patrões do comércio e serviços  HM,131678,0,636,4036,7674,12268,16287,18145,19533,18429,15910,11495,4263,1852,1150,,,,,,,,,,,,,
                                               H,69677,0,220,1589,3357,5840,8046,9025,10126,10185,9284,6921,2912,1311,861,,,,,,,,,,,,,
      Pequenos patrões do sector primário  HM,21064,0,70,400,701,1255,1796,2437,3267,3387,3347,2694,939,452,319,,,,,,,,,,,,,
                                           H,15654,0,57,344,574,971,1367,1767,2400,2430,2430,1989,700,365,260,,,,,,,,,,,,,
      Profissionais intelectuais e científicos independentes  HM,34450,0,33,910,3815,6224,6220,4800,3910,2768,2260,1708,900,502,400,,,,,,,,,,,,,
                                                              H,18732,0,15,418,1683,2833,3027,2419,2148,1717,1620,1332,746,425,349,,,,,,,,,,,,,
      Profissionais técnicos intermédios independentes  HM,28395,0,71,722,1891,3458,4384,4157,3884,3562,2680,2054,881,373,278,,,,,,,,,,,,,
                                                        H,20026,0,49,463,1289,2301,2870,2795,2771,2570,2011,1582,749,331,245,,,,,,,,,,,,,
      Trabalhadores industriais e artesanais independentes  HM,79675,0,110,921,2852,6092,9625,11914,13636,12640,11164,7317,2197,779,428,,,,,,,,,,,,,
                                                            H,71168,0,96,835,2598,5494,8549,10597,12143,11320,9964,6510,1979,700,383,,,,,,,,,,,,,
      Prestadores de serviços e comerciantes independentes  HM,146523,0,423,3223,8182,13181,17935,20510,22315,20878,17965,13735,4649,1984,1543,,,,,,,,,,,,,
                                                            H,49250,0,137,1018,2651,4281,5864,6297,6885,6975,6143,4910,2183,1012,894,,,,,,,,,,,,,
      Trabalhadores independentes do sector primário  HM,39693,0,203,630,1150,1905,3078,4388,5848,6423,6689,6162,1620,875,722,,,,,,,,,,,,,
                                                      H,30111,0,183,566,988,1606,2512,3437,4479,4769,4790,4370,1190,666,555,,,,,,,,,,,,,
      Directores e quadros dirigentes do Estado e empresas  HM,104285,0,114,2359,9409,18519,22359,16474,13335,10212,6941,3339,832,245,147,,,,,,,,,,,,,
                                                            H,65579,0,59,1214,4801,10252,13313,10616,9160,7322,5220,2614,693,202,113,,,,,,,,,,,,,
      Dirigentes de pequenas empresas e organizações  HM,26270,0,68,1017,2810,4267,4762,3687,3249,2546,1959,1273,394,158,80,,,,,,,,,,,,,
                                                      H,14493,0,40,458,1335,2159,2480,2065,1920,1544,1240,795,281,117,59,,,,,,,,,,,,,
      Quadros intelectuais e científicos  HM,584265,0,437,24481,98307,115003,98365,73535,64459,54741,37382,13035,2941,942,637,,,,,,,,,,,,,
                                          H,217736,0,265,8652,36553,43502,35759,25510,21041,19409,16981,6933,1901,726,504,,,,,,,,,,,,,
      Quadros técnicos intermédios  HM,384611,0,1745,22068,50923,67044,67255,52457,44225,40004,26316,10086,1678,527,283,,,,,,,,,,,,,
                                    H,220570,0,1133,12209,26512,35505,36656,30569,26724,24930,17507,7004,1233,379,209,,,,,,,,,,,,,
      Quadros administrativos intermédios  HM,69722,0,225,2621,6389,10459,12115,10851,9745,8537,6008,2269,369,87,47,,,,,,,,,,,,,
                                           H,22975,0,55,791,2124,3461,3944,3320,3136,2915,2200,803,163,41,22,,,,,,,,,,,,,
      Empregados administrativos do comércio e serviços  HM,1245269,0,19352,121760,175285,192971,184607,154941,143453,123930,83521,37030,6255,1411,753,,,,,,,,,,,,,
                                                         H,444704,0,7269,44404,64482,70389,65535,52570,48469,44506,30110,13140,2673,789,368,,,,,,,,,,,,,
      Operários qualificados e semi-qualificados  HM,955992,0,11413,59724,93992,124748,147972,145986,137913,114301,81031,34084,3735,782,311,,,,,,,,,,,,,
                                                  H,769132,0,9427,49053,77333,100338,114763,113467,109463,92650,68347,29948,3402,687,254,,,,,,,,,,,,,
      Assalariados do sector primário  HM,67531,0,1195,4433,5658,6809,7921,9389,10365,9069,7140,4253,808,303,188,,,,,,,,,,,,,
                                       H,48831,0,1023,3568,4403,5036,5726,6602,7284,6433,4959,2864,571,217,145,,,,,,,,,,,,,
      Trabalhadores administrativos do comércio e serviços não qualificados  HM,414297,0,3787,21371,30883,40606,49843,58257,66328,61497,47759,28201,4760,700,305,,,,,,,,,,,,,
                                                                             H,87319,0,1771,9359,11030,11263,10344,9960,10859,10159,7863,3781,748,132,50,,,,,,,,,,,,,
      Operários não qualificados  HM,193843,0,5023,21867,24491,25691,26916,25820,24445,20072,13551,5406,456,70,35,,,,,,,,,,,,,
                                  H,116844,0,3899,15506,15771,14577,14401,13761,13987,11888,8700,3938,333,54,29,,,,,,,,,,,,,
      Trabalhadores não qualificados do sector primário  HM,23229,0,386,1687,1980,2218,2618,3087,3447,3131,2723,1621,244,64,23,,,,,,,,,,,,,
                                                         H,13757,0,293,1213,1349,1417,1550,1779,1943,1731,1436,851,144,37,14,,,,,,,,,,,,,
      Pessoal das forças armadas  HM,34482,0,1445,9467,7492,3538,2252,3072,4260,2160,606,144,28,9,9,,,,,,,,,,,,,
                                  H,29765,0,1229,7692,5851,2926,2000,3013,4217,2105,568,123,24,8,9,,,,,,,,,,,,,
      Outras pessoas activas n.e.  HM,124828,0,25970,44455,17981,8142,6726,5784,5421,4565,3735,1886,128,21,14,,,,,,,,,,,,,
                                   H,58045,0,13752,21536,8929,3325,2458,1908,1883,1647,1607,890,83,19,8,,,,,,,,,,,,,
      Inactivos  HM,5538811,1572329,491498,224095,79494,70538,84090,97350,122580,161213,268650,427082,506396,481267,952229,,,,,,,,,,,,,
                 H,2443026,803999,246908,106588,37025,26717,29060,31185,37628,50600,95824,181639,224329,209682,361842,,,,,,,,,,,,,
