6.25 - POPULAÇÃO RESIDENTE C/ PELO MENOS UMA DIFICULDADE COM 15 OU MAIS ANOS SEGUNDO O TIPO E GRAU DE DIFICULDADE SENTIDO POR PRINCIPAL MEIO DE VIDA E SEXO,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona geográfica,Total de pessoas c/ pelo menos uma dificuldade,Dificuldade em ver,,Dificuldade em ouvir,,Dificuldade em andar ou subir degraus,,Dificuldade de memória ou concentração,,Dificuldade em tomar banho ou vestir-se sozinho,,Dificuldade em compreender os outros ou fazer-se compreender,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Principal meio de vida e sexo,,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,Tem muita dificuldade em efectuar a acção,Não consegue efectuar a acção,,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,13,,,,,,,,,,,,,,,
  Portugal                                                   HM,1740505,874561,27015,501745,26168,871354,103103,532328,97467,316231,142568,320736,65504,,,,,,,,,,,,,,,
                                                              H,674799,309592,11623,216041,11080,294258,36674,192814,35874,111159,52060,133032,25597,,,,,,,,,,,,,,,
      Trabalho                                               HM,302743,167514,3823,55670,4982,73455,3296,63790,10469,10546,3022,27531,4800,,,,,,,,,,,,,,,
                                                              H,143687,73987,2287,32918,2869,31084,1908,28073,4855,5305,1690,16042,2732,,,,,,,,,,,,,,,
      Reforma/ Pensão                                        HM,1146012,556138,19800,392959,16984,686783,90411,382989,70515,276107,127239,247667,50886,,,,,,,,,,,,,,,
                                                              H,435442,192047,7929,164416,6414,233749,31092,136138,24534,95925,45501,97756,18429,,,,,,,,,,,,,,,
      Subsidio de desemprego                                 HM,40417,22800,304,7835,585,12104,325,10087,1641,1778,313,4705,681,,,,,,,,,,,,,,,
                                                              H,19478,10492,163,4794,334,5411,183,4428,719,940,179,2746,363,,,,,,,,,,,,,,,
      Subsidio por acidente de trabalho ou doença profissionalH,7618,2928,86,1206,82,4394,540,2004,340,1454,456,1163,219,,,,,,,,,,,,,,,
                                                              H,4824,1645,60,808,57,2805,419,1143,216,964,355,762,152,,,,,,,,,,,,,,,
      Rendimento social de inserção                          HM,26304,14532,292,4662,332,10096,382,8322,1396,2255,460,4208,651,,,,,,,,,,,,,,,
                                                              H,9865,4884,130,2000,146,3514,169,2986,490,945,199,1839,303,,,,,,,,,,,,,,,
"      Outro subsídio temporário (doença, maternidade, etc.)  HM",13199,5359,136,1903,139,7073,516,4140,728,2021,631,2054,362,,,,,,,,,,,,,,,
                                                              H,5433,2005,64,918,60,2982,297,1571,319,912,363,1033,190,,,,,,,,,,,,,,,
      Rendimento da propriedade ou da empresa                HM,7754,3350,103,2013,85,3692,324,2204,415,1205,483,1040,169,,,,,,,,,,,,,,,
                                                              H,3014,1239,46,870,38,1208,103,826,150,380,175,446,70,,,,,,,,,,,,,,,
      Apoio social                                           HM,13298,5905,335,2913,378,5326,1370,5349,1833,2683,2019,4125,1598,,,,,,,,,,,,,,,
                                                              H,4932,1778,146,993,162,1594,596,2114,831,1066,895,1852,761,,,,,,,,,,,,,,,
      A cargo da família                                     HM,145793,76051,1636,25207,2018,54157,4726,42967,8190,14356,6400,22615,4949,,,,,,,,,,,,,,,
                                                              H,35462,15439,561,5579,758,8000,1456,12025,3007,3473,2107,8194,2060,,,,,,,,,,,,,,,
      Outro                                                  HM,37367,19984,500,7377,583,14274,1213,10476,1940,3826,1545,5628,1189,,,,,,,,,,,,,,,
                                                              H,12662,6076,237,2745,242,3911,451,3510,753,1249,596,2362,537,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
