"6.28 - POPULAÇÃO RESIDENTE, COM 15 OU MAIS ANOS, SEGUNDO O GRUPO ETÁRIO, POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA (SENTIDO RESTRITO) E SEXO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica                                                            Condição perante a actividade económica e sexo,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
  Portugal                                                         HM,8989849,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,961925,
                                                                      H,4242601,288525,293023,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,368859,
      População ativa                                                         HM,5023367,73752,357970,576582,703029,740593,675748,647714,561147,409001,207659,45305,15171,9696,
                                                                                H,2603574,41617,186435,287823,352017,373247,343777,333361,295648,226271,116907,28675,10779,7017,
      Empregados                                                         HM,4361187,40362,270784,495678,625096,662007,601495,573435,490857,351913,179671,45022,15171,9696,
                                                                           H,2275974,23786,143248,248753,316210,337279,308637,296813,259810,194519,100555,28568,10779,7017,
      Desempregados                                                         HM,662180,33390,87186,80904,77933,78586,74253,74279,70290,57088,27988,283,0,0,
                                                                              H,327600,17831,43187,39070,35807,35968,35140,36548,35838,31752,16352,107,0,0,
      População inativa                                                         HM,3966482,491498,224095,79494,70538,84090,97350,122580,161213,268650,427082,506396,481267,952229,
                                                                                  H,1639027,246908,106588,37025,26717,29060,31185,37628,50600,95824,181639,224329,209682,361842,
      Estudantes                                                         HM,660496,450545,169423,25665,6218,3136,1913,1255,1039,644,315,168,96,79,
                                                                           H,326183,225154,80695,14504,2894,1103,604,367,336,240,135,74,51,26,
      Domésticos                                                         HM,419726,3674,6424,9851,16462,25700,35511,48203,59193,67913,71314,29997,20490,24994,
                                                                           H,9632,682,465,373,438,668,784,1003,1042,1284,1354,560,450,529,
"      Reformados, aposentados ou na reserva                                                         HM",2339094,1050,1925,2653,4271,6801,9361,16907,38995,131025,291749,462911,454456,916990,
                                                                                                      H,1040110,472,956,1346,2277,3558,4890,8625,19819,61832,150451,218847,207580,359457,
      Incapacitados permanentes para o trabalho                                                         HM,141256,2003,5096,6768,9024,11814,14481,17835,21353,24228,22784,3693,613,1564,
                                                                                                          H,72423,1215,2720,3576,4797,6395,7819,9421,10982,12259,11211,1611,152,265,
      Outros casos                                                         HM,405910,34226,41227,34557,34563,36639,36084,38380,40633,44840,40920,9627,5612,8602,
                                                                             H,190679,19385,21752,17226,16311,17336,17088,18212,18421,20209,18488,3237,1449,1565,
    Continente                                                       HM,8563501,531657,547836,619797,732356,783074,733919,730766,687826,648317,610165,531061,478530,928197,
                                                                      H,4039957,271397,275607,306674,358115,381550,355422,351628,329556,307821,287233,244128,213380,357446,
        População ativa                                                       HM,4780963,69360,337374,545932,666808,704712,643238,616464,536460,392925,200011,43607,14730,9342,
                                                                                H,2472635,39029,175159,272163,333226,354375,326358,316490,281849,216851,112335,27605,10452,6743,
        Empregados                                                       HM,4150252,38230,255907,470082,593029,629876,572260,545255,468462,337196,172552,43331,14730,9342,
                                                                           H,2163290,22441,134949,235866,299819,320595,293189,281826,247515,186036,96356,27503,10452,6743,
        Desempregados                                                       HM,630711,31130,81467,75850,73779,74836,70978,71209,67998,55729,27459,276,0,0,
                                                                              H,309345,16588,40210,36297,33407,33780,33169,34664,34334,30815,15979,102,0,0,
        População inativa                                                       HM,3782538,462297,210462,73865,65548,78362,90681,114302,151366,255392,410154,487454,463800,918855,
                                                                                  H,1567322,232368,100448,34511,24889,27175,29064,35138,47707,90970,174898,216523,202928,350703,
        Estudantes                                                       HM,623613,425287,160159,24103,5838,2969,1821,1224,1019,619,291,142,78,63,
                                                                           H,308362,212750,76482,13655,2711,1040,574,354,326,225,126,57,43,19,
        Domésticos                                                       HM,391055,3027,5534,8757,14841,23405,32605,44543,55029,63850,67987,28321,19406,23750,
                                                                           H,8891,558,397,322,404,610,726,935,973,1213,1301,529,421,502,
"        Reformados, aposentados ou na reserva                                                       HM",2257145,988,1833,2546,4096,6541,8991,16196,37275,125905,281870,446741,438654,885509,
                                                                                                      H,1005951,445,906,1288,2181,3420,4705,8281,19012,59088,145511,211510,201080,348524,
        Incapacitados permanentes para o trabalho                                                       HM,130074,1827,4644,6215,8303,10987,13385,16393,19664,22344,20928,3358,567,1459,
                                                                                                          H,66690,1099,2473,3278,4404,5942,7228,8630,10081,11328,10372,1472,138,245,
        Outros casos                                                       HM,380651,31168,38292,32244,32470,34460,33879,35946,38379,42674,39078,8892,5095,8074,
                                                                             H,177428,17516,20190,15968,15189,16163,15831,16938,17315,19116,17588,2955,1246,1413,
      Norte                                                     HM,3132449,212077,213799,233044,266844,291005,281655,285360,262486,240304,214436,178282,157970,295187,
                                                                      H,1481407,108207,107325,115431,130234,141177,135684,137455,125955,114324,101705,81715,69704,112491,
          População ativa                                                     HM,1756065,30759,135536,205755,241593,257867,240719,232760,196236,135498,60997,11562,4031,2752,
                                                                                H,924308,17933,70896,102954,121253,130480,123599,122338,106666,78868,36667,7649,2954,2051,
          Empregados                                                     HM,1501883,18399,104277,176641,213784,228241,211570,201928,166081,111718,50958,11503,4031,2752,
                                                                           H,804289,11404,56326,89499,109265,117966,110781,108186,92050,65648,30533,7626,2954,2051,
