"6.29 - POPULAÇÃO RESIDENTE, COM 15 OU MAIS ANOS, SEGUNDO O GRUPO ETÁRIO, POR PRINCIPAL MEIO DE VIDA E SEXO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica                                                      Principal meio de vida e sexo                                    ,Total,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 ou 74 anos,De 75 ou mais anos,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,
  Portugal  HM,8989849,565250,582065,656076,773567,824683,773098,770294,722360,677651,634741,551701,496438,961925,
             H,4242601,288525,293023,324848,378734,402307,374962,370989,346248,322095,298546,253004,220461,368859,
      Trabalho  HM,4335856,34767,259323,494573,627892,664788,604098,574319,489922,352303,177814,39490,10387,6180,
                H,2281243,21001,140045,250829,321291,342069,312559,299862,261959,196115,100061,24199,7057,4196,
      Reforma/ Pensão  HM,2459338,1192,3250,5309,9118,13726,18661,29421,55007,149665,316073,474760,462159,920997,
                       H,1089177,577,1748,2894,4955,7295,9599,14298,25701,68512,159069,223931,210737,359861,
      Subsidio de desemprego  HM,299147,907,12681,25295,34645,37836,36515,39293,42231,43291,26273,180,0,0,
                              H,146829,488,5905,11270,14637,16363,17039,19499,21683,24227,15642,76,0,0,
      Subsidio por acidente de trabalho ou doença profissional  HM,18986,78,442,759,1217,1793,2279,2866,3330,3405,2236,360,100,121,
                                                                H,11814,51,303,490,832,1089,1408,1795,2029,2175,1342,193,47,60,
      Rendimento social de inserção  HM,105911,3371,8703,10228,12161,14308,14160,13479,11787,9515,6057,1004,506,632,
                                     H,40930,1413,3075,3407,4109,4990,5437,5796,5340,4339,2579,275,71,99,
"      Outro subsídio temporário (doença, maternidade, etc.)  HM",51207,870,3576,6278,7937,6400,4551,4936,5856,6009,3982,564,113,135,
                                                             H,14626,222,485,638,881,1274,1541,1999,2537,2920,1879,195,26,29,
      Rendimento da propriedade ou da empresa  HM,40733,179,530,941,1480,2191,2972,3995,5125,5801,6138,3143,2500,5738,
                                               H,19727,98,282,553,817,1175,1522,2012,2623,2840,3075,1451,1127,2152,
      Apoio social  HM,39622,6439,5666,2900,2783,3280,3271,3223,2952,2565,1872,1303,1206,2162,
                    H,15190,2928,2374,1229,1149,1312,1312,1404,1204,1070,649,156,126,277,
      A cargo da família  HM,1382836,486666,264918,89338,55693,58490,64312,74148,79528,78907,71809,24222,15256,19549,
                          H,517363,245797,127527,43688,20691,17238,15485,14621,12959,10337,6722,975,457,866,
      Outro  HM,256213,30781,22976,20455,20641,21871,22279,24614,26622,26190,22487,6675,4211,6411,
             H,105702,15950,11279,9850,9372,9502,9060,9703,10213,9560,7528,1553,813,1319,
    Continente    HM,8563501,531657,547836,619797,732356,783074,733919,730766,687826,648317,610165,531061,478530,928197,
                 H,4039957,271397,275607,306674,358115,381550,355422,351628,329556,307821,287233,244128,213380,357446,
        Trabalho    HM,4125949,32883,244918,468934,595662,632415,574658,546098,467752,337831,170913,37892,10050,5943,
                    H,2167993,19784,131873,237745,304613,325073,296886,284731,249655,187643,95935,23223,6823,4009,
        Reforma/ Pensão    HM,2366476,1111,3039,5000,8548,12953,17520,27574,51829,142704,304089,457606,445654,888849,
                           H,1050999,533,1608,2723,4650,6880,9030,13466,24316,65111,153439,216350,204057,348836,
        Subsidio de desemprego    HM,286036,813,11666,23565,32796,36008,34844,37590,40759,42168,25654,173,0,0,
                                  H,138967,436,5400,10341,13612,15298,16009,18419,20697,23441,15241,73,0,0,
        Subsidio por acidente de trabalho ou doença profissional    HM,17732,76,403,716,1151,1701,2120,2706,3120,3180,2044,313,88,114,
                                                                    H,11036,49,276,459,789,1029,1295,1691,1900,2038,1244,168,41,57,
        Rendimento social de inserção    HM,100389,3109,8189,9614,11436,13523,13441,12818,11217,9140,5836,956,494,616,
                                         H,39022,1295,2938,3245,3871,4754,5167,5528,5105,4191,2498,265,68,97,
"        Outro subsídio temporário (doença, maternidade, etc.)    HM",47823,824,3324,5913,7540,6082,4323,4588,5405,5525,3609,469,102,119,
                                                                 H,13518,215,451,587,824,1203,1456,1843,2320,2709,1705,158,22,25,
        Rendimento da propriedade ou da empresa    HM,39039,157,495,886,1392,2087,2825,3793,4898,5548,5929,3017,2415,5597,
                                                   H,18807,90,264,524,758,1113,1440,1895,2503,2712,2945,1387,1082,2094,
        Apoio social    HM,36453,5817,5268,2643,2569,3037,2986,2918,2724,2364,1724,1239,1139,2025,
                        H,13911,2639,2214,1116,1063,1216,1206,1261,1104,986,595,144,115,252,
        A cargo da família    HM,1300656,457876,249102,83213,51659,54492,60074,69288,74781,74870,68815,23080,14607,18799,
                              H,485989,231307,120037,40665,19128,16027,14445,13640,12248,9866,6452,928,423,823,
        Outro    HM,242948,28991,21432,19313,19603,20776,21128,23393,25341,24987,21552,6316,3981,6135,
                 H,99715,15049,10546,9269,8807,8957,8488,9154,9708,9124,7179,1432,749,1253,
      Norte      HM,3132449,212077,213799,233044,266844,291005,281655,285360,262486,240304,214436,178282,157970,295187,
                     H,1481407,108207,107325,115431,130234,141177,135684,137455,125955,114324,101705,81715,69704,112491,
          Trabalho      HM,1482564,15893,99741,175024,213462,227867,210761,200721,164428,110901,50032,9603,2554,1577,
                        H,800933,10072,54883,89616,110242,118944,111333,108588,92044,65690,30402,6219,1812,1088,
          Reforma/ Pensão      HM,813281,372,1159,2131,3494,5646,7839,12251,21188,56275,111718,157601,148954,284653,
