"6.33 - POPULAÇÃO RESIDENTE  EMPREGADA, SEGUNDO A SITUAÇÃO NA PROFISSÃO E SEXO, POR PROFISSÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Patrão/Empregador,,Trabalhador por conta própria ou isolado,,Trabalhador familiar não remunerado,,Trabalhador por conta de outrém,,Membro activo de cooperativa de produção,,Outra situação,
,,,,,,,,,,,,,,
Profissões ,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
  Portugal,4361187,2275974,459123,297068,286090,167314,24130,9275,3540336,1779158,2157,1323,49351,21836
      Oficiais das Forças Armadas,5821,5222,0,0,0,0,0,0,5821,5222,0,0,0,0
      Sargentos das Forças Armadas,5414,4961,0,0,0,0,0,0,5414,4961,0,0,0,0
      Outro pessoal das Forças Armadas,21255,18057,0,0,0,0,0,0,21255,18057,0,0,0,0
"      Representantes do poder legislativo e de órgãos executivos, dirigentes superiores da Administração Pública e de organizações especializadas",2723,1961,0,0,0,0,0,0,2686,1932,0,0,37,29
"      Director geral e gestor executivo, de empresas",70831,50412,52159,37499,22,20,0,0,18026,12437,0,0,624,456
      Directores de serviços de negócios e de administração,21305,10667,2198,1145,214,128,0,0,18771,9332,0,0,122,62
"      Directores de vendas, marketing e de desenvolvimento de negócios",19702,12515,1936,1232,221,131,0,0,17419,11075,0,0,126,77
"      Directores de produção na agricultura, produção animal, floresta e pesca",15034,11351,14538,10990,0,0,0,0,477,349,0,0,19,12
"      Directores das indústrias transformadoras, extractivas, da construção, transportes e distribuição",56238,42722,39846,30361,18,11,0,0,16172,12197,0,0,202,153
      Directores dos serviços das tecnologias da informação e comunicação (TIC),2877,2315,303,216,21,17,0,0,2544,2073,0,0,9,9
      Directores de serviços especializados,17173,8778,2941,1174,21,12,0,0,14047,7524,0,0,164,68
"      Directores e gerentes, de hotelaria e restauração",32879,20578,26210,16734,24,4,225,112,6258,3630,0,0,162,98
"      Directores e gerentes, do comércio a retalho e por grosso",65473,40457,48714,31424,42,15,355,185,16045,8629,0,0,317,204
      Directores e gerentes de outros serviços,16652,10241,9686,5825,19,16,0,0,6755,4270,0,0,192,130
"      Físicos, químicos e especialistas relacionados",1583,921,0,0,20,18,0,0,1457,845,0,0,106,58
"      Matemáticos, actuários, estaticistas e demógrafos",724,212,0,0,3,3,0,0,712,205,0,0,9,4
      Especialistas em ciências da vida,8423,3855,427,308,209,135,0,0,7082,3188,10,8,695,216
      Especialistas em engenharia (excepto electrotecnologia),42469,30296,4501,3773,1569,1286,0,0,35879,24911,0,0,520,326
      Engenheiros de electrotecnologia,13277,12154,1081,1013,315,305,0,0,11739,10708,0,0,142,128
"      Arquitectos, urbanistas, agrimensores e designers",28817,16882,5245,3497,4105,2702,0,0,18368,10171,0,0,1099,512
      Médicos,36832,16193,4804,2899,1224,863,0,0,29863,11901,0,0,941,530
      Profissionais de enfermagem,47619,8765,2144,405,156,35,0,0,44778,8223,0,0,541,102
      Especialista em medicina tradicional e alternativa,519,265,185,101,227,112,0,0,98,48,0,0,9,4
      Profissional paramédico,88,38,14,6,17,13,0,0,56,19,0,0,1,0
      Veterinário,3255,1349,750,339,261,121,0,0,2120,847,7,3,117,39
      Outros profissionais de saúde,28006,7222,8671,3126,1231,453,0,0,17296,3433,0,0,808,210
      Professor dos ensinos universitário e superior,29194,14687,0,0,134,52,0,0,24580,12806,0,0,4480,1829
"      Professor dos ensinos, tecnológico, artístico e profissional",732,372,35,23,9,3,0,0,658,328,0,0,30,18
