"6.48 - MULHERES RESIDENTES COM FILHOS SEM ACTIVIDADE ECONÓMICA, SEGUNDO O GRUPO ETÁRIO POR CONDIÇÃO PERANTE A ACTIVIDADE ECONÓMICA E ESTADO CIVIL",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica      ,Total,Com menos de 15 anos,De 15 a 19 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 ou 74 anos,De 75 ou mais anos
"Condição perante a actividade económica, estado civil e nº de filhos sem actividade económica                                              ",,,,,,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
  Portugal,1533512,10,5041,37337,111396,244455,325742,304911,240681,127786,52349,22185,13949,12924,34746
    Empregado,1049987,0,964,18586,75735,187407,251565,227477,171846,84246,25635,5458,814,155,99
      Solteiro,131368,0,779,11142,25297,33970,28815,16915,9150,3718,1241,282,49,7,3
        Com 1 filho inactivo,96115,0,741,9841,20200,24683,18985,10985,6431,2925,1026,248,40,7,3
        Com 2 filhos inactivos,28821,0,38,1208,4447,7633,7853,4630,2124,674,179,30,5,0,0
        Com 3 e mais filhos inactivos,6432,0,0,93,650,1654,1977,1300,595,119,36,4,4,0,0
      Casado,784413,0,182,6992,46193,137241,192109,177605,134923,65528,19195,3847,484,80,34
        Com 1 filho inactivo,436555,0,171,5974,35278,83713,84757,79631,78075,48368,16524,3505,455,74,30
        Com 2 filhos inactivos,305000,0,10,964,9873,48126,94186,84603,49305,15165,2419,311,28,6,4
        Com 3 e mais filhos inactivos,42858,0,1,54,1042,5402,13166,13371,7543,1995,252,31,1,0,0
      Viúvo,17425,0,0,12,160,753,1998,3528,4547,3657,1802,685,180,50,53
        Com 1 filho inactivo,12299,0,0,9,110,446,1062,2039,3187,2963,1578,637,172,49,47
        Com 2 filhos inactivos,4300,0,0,3,34,237,750,1224,1175,617,200,46,8,1,5
        Com 3 e mais filhos inactivos,826,0,0,0,16,70,186,265,185,77,24,2,0,0,1
      Divorciado,116781,0,3,440,4085,15443,28643,29429,23226,11343,3397,644,101,18,9
        Com 1 filho inactivo,75958,0,2,375,2969,10054,17074,17508,15458,8834,2962,599,99,15,9
        Com 2 filhos inactivos,34590,0,1,58,957,4480,9605,10081,6738,2227,398,40,2,3,0
        Com 3 e mais filhos inactivos,6233,0,0,7,159,909,1964,1840,1030,282,37,5,0,0,0
    Desempregado,154986,0,1321,8691,17765,27984,33292,29413,21683,10681,3424,725,7,0,0
      Solteiro,34436,0,1158,6005,7923,7312,5880,3441,1734,734,214,35,0,0,0
        Com 1 filho inactivo,22605,0,1094,4764,5291,4287,3260,1968,1170,563,177,31,0,0,0
        Com 2 filhos inactivos,8627,0,60,1083,1988,2110,1770,1040,412,131,29,4,0,0,0
        Com 3 e mais filhos inactivos,3204,0,4,158,644,915,850,433,152,40,8,0,0,0,0
      Casado,98263,0,161,2480,8634,17499,22413,20739,15776,7693,2383,480,5,0,0
        Com 1 filho inactivo,55325,0,149,1916,5479,9040,9455,10176,10338,6206,2124,437,5,0,0
        Com 2 filhos inactivos,35312,0,12,501,2605,6830,10423,8718,4628,1308,248,39,0,0,0
        Com 3 e mais filhos inactivos,7626,0,0,63,550,1629,2535,1845,810,179,11,4,0,0,0
      Viúvo,2944,0,1,5,56,147,398,620,740,586,291,99,1,0,0
        Com 1 filho inactivo,1983,0,1,4,32,69,178,337,530,480,259,92,1,0,0
        Com 2 filhos inactivos,725,0,0,0,17,50,153,207,172,92,28,6,0,0,0
        Com 3 e mais filhos inactivos,236,0,0,1,7,28,67,76,38,14,4,1,0,0,0
      Divorciado,19343,0,1,201,1152,3026,4601,4613,3433,1668,536,111,1,0,0
        Com 1 filho inactivo,11711,0,0,150,661,1554,2349,2694,2356,1365,482,99,1,0,0
        Com 2 filhos inactivos,5775,0,1,48,375,1044,1611,1486,889,264,49,8,0,0,0
        Com 3 e mais filhos inactivos,1857,0,0,3,116,428,641,433,188,39,5,4,0,0,0
    Inactivo,328539,10,2756,10060,17896,29064,40885,48021,47152,32859,23290,16002,13128,12769,34647
      Solteiro,40722,10,2435,6583,7223,6706,5846,4188,2801,1610,959,549,422,341,1049
        Com 1 filho inactivo,24627,10,2240,4779,3921,3153,2600,2195,1679,1129,774,467,379,308,993
        Com 2 filhos inactivos,10233,0,188,1458,2110,1971,1855,1229,772,330,141,66,33,28,52
        Com 3 e mais filhos inactivos,5862,0,7,346,1192,1582,1391,764,350,151,44,16,10,5,4
      Casado,222873,0,316,3317,9824,20047,31193,39015,39417,26891,18318,11605,8137,6492,8301
        Com 1 filho inactivo,136777,0,281,2329,5340,8086,10575,16995,24338,20762,15972,10652,7623,6054,7770
        Com 2 filhos inactivos,67167,0,33,834,3443,8824,15318,17040,12233,5221,2028,859,463,388,483
        Com 3 e mais filhos inactivos,18929,0,2,154,1041,3137,5300,4980,2846,908,318,94,51,50,48
      Viúvo,44331,0,1,15,54,203,545,1055,1758,2008,2292,2671,3841,5396,24492
        Com 1 filho inactivo,39184,0,1,10,26,72,219,553,1175,1599,1946,2398,3481,4901,22803
        Com 2 filhos inactivos,4183,0,0,5,15,74,187,352,441,339,297,239,317,424,1493
        Com 3 e mais filhos inactivos,964,0,0,0,13,57,139,150,142,70,49,34,43,71,196
      Divorciado,20613,0,4,145,795,2108,3301,3763,3176,2350,1721,1177,728,540,805
        Com 1 filho inactivo,13519,0,3,92,395,946,1454,2093,2146,1821,1505,1096,690,508,770
        Com 2 filhos inactivos,5092,0,1,41,290,754,1252,1163,817,425,185,70,32,29,33
        Com 3 e mais filhos inactivos,2002,0,0,12,110,408,595,507,213,104,31,11,6,3,2
