"1.02 - POPULAÇÃO RESIDENTE EM 2001 E 2011, SEGUNDO OS GRUPOS ETÁRIOS E SUA EVOLUÇÃO ENTRE 2001 E 2011",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Zona Geográfica,População residente,,,,,,,,,,,,População residente -Variação entre 2001 e 2011 (%),,,,
,Em 2001,,,,,,Em 2011,,,,,,,,,,
,Total,,Grupos etários,,,,Total,,Grupos etários,,,, Var. Total,Grupos etários,,,
,HM,H,0-14,15-24,25-64,65 ou mais,HM,H,0-14,15-24,25-64,65 ou mais,,0-14,15-24,25-64,65 ou mais
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
    Portugal,10356117,5000141,1656602,1479587,5526435,1693493,10562178,5046600,1572329,1147315,5832470,2010064,1.99,-5.09,-22.46,5.54,18.69
        Continente,9869343,4765444,1557934,1399635,5283178,1628596,10047621,4798798,1484120,1079493,5546220,1937788,1.81,-4.74,-22.87,4.98,18.99
            Norte,3687293,1782931,644948,558278,1969309,514758,3689682,1766260,557233,425876,2075134,631439,0.06,-13.60,-23.72,5.37,22.67
            Centro,2348397,1131819,352388,322118,1217213,456678,2327755,1111263,319258,239248,1247499,521750,-0.88,-9.40,-25.73,2.49,14.25
            Lisboa,2661850,1275659,396221,366806,1488777,410046,2821876,1334605,437881,295043,1575110,513842,6.01,10.51,-19.56,5.80,25.31
            Alentejo,776585,379310,106645,100507,395932,173501,757302,366739,102774,73753,397787,182988,-2.48,-3.63,-26.62,0.47,5.47
            Algarve,395218,195725,57732,51926,211947,73613,451006,219931,66974,45573,250690,87769,14.12,16.01,-12.23,18.28,19.23
        Região Autónoma dos Açores,241763,119486,51767,41092,117585,31319,246772,121534,44197,34731,135466,32378,2.07,-14.62,-15.48,15.21,3.38
            Região Autónoma dos Açores,241763,119486,51767,41092,117585,31319,246772,121534,44197,34731,135466,32378,2.07,-14.62,-15.48,15.21,3.38
        Região Autónoma da Madeira,245011,115211,46901,38860,125672,33578,267785,126268,44012,33091,150784,39898,9.30,-6.16,-14.85,19.98,18.82
            Região Autónoma da Madeira,245011,115211,46901,38860,125672,33578,267785,126268,44012,33091,150784,39898,9.30,-6.16,-14.85,19.98,18.82
