1.03 - POPULAÇÃO RESIDENTE SEGUNDO O NÍVEL DE ESCOLARIDADE E SEXO E TAXA DE ANALFABETISMO (EM 2001 E 2011),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Zona Geográfica,População Residente,,População residente segundo o nível de escolaridade,,,,,,,,,,,,,,Analfabetos com 10 ou mais anos,,Taxa de analfabetismo
,,,Nenhum nível de escolaridade,,Ensino básico,,,,,,Ensino secundário,,Ensino pós-secundário,,Ensino superior ,,,,
,,,,,1º Ciclo,,2º Ciclo,,3º Ciclo,,,,,,,,,,
,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
    Portugal,10562178,5046600,895140,358413,3152778,1466001,1098656,592331,1660964,880828,1770324,876305,92611,49613,1629900,688583,499936,159705,5.23
        Continente,10047621,4798798,852608,339390,2989494,1388605,1031355,555702,1579333,836746,1691252,839007,87432,47131,1569739,665699,472919,147866,5.20
            Norte,3689682,1766260,298201,117703,1183901,554529,453161,241976,583622,308375,556011,275437,27976,14943,498859,208096,167451,51434,5.01
            Centro,2327755,1111263,208837,77861,764092,357479,231784,126526,350665,190667,370067,185813,20295,10881,326021,133509,135751,40620,6.39
            Lisboa,2821876,1334605,210460,87334,679545,301010,233119,123368,452687,234033,550109,272430,28594,15723,593917,262845,81807,22899,3.23
            Alentejo,757302,366739,92570,37114,237339,114945,73207,41532,117275,63728,123105,60777,5781,3149,90071,36292,66103,23822,9.57
            Algarve,451006,219931,42540,19378,124617,60642,40084,22300,75084,39943,91960,44550,4786,2435,60871,24957,21807,9091,5.36
        Região Autónoma dos Açores,246772,121534,17930,8919,79184,38554,36050,19610,41382,22277,36275,17184,2185,1147,26573,10143,10250,5444,4.68
            Região Autónoma dos Açores,246772,121534,17930,8919,79184,38554,36050,19610,41382,22277,36275,17184,2185,1147,26573,10143,10250,5444,4.68
        Região Autónoma da Madeira,267785,126268,24602,10104,84100,38842,31251,17019,40249,21805,42797,20114,2994,1335,33588,12741,16767,6395,6.99
            Região Autónoma da Madeira,267785,126268,24602,10104,84100,38842,31251,17019,40249,21805,42797,20114,2994,1335,33588,12741,16767,6395,6.99
