"1.04 - POPULAÇÃO RESIDENTE  ECONOMICAMENTE ACTIVA (SENTIDO RESTRITO) E EMPREGADA, SEGUNDO O SEXO  E O RAMO DE ACTIVIDADE E TAXAS DE ACTIVIDADE EM 2001 E 2011",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,População economicamente activa,,,,,,,,,Taxa de actividade (%),,,,
,Total,,Empregada,,,,,,,,,,,
,,,Total ,,Primário,Secundário,Terciário,,,Em 2011 ,,,,
,HM,H,HM,H,,,Total,De natureza social,Relacionados com a actividade económica,HM,H,M,,
1,2,3,4,5,6,7,8,9,10,11,12,13,,
  Portugal,5023367,2603574,4361187,2275974,133386,1154709,3073092,1254273,1818819,47.56,51.59,43.87,,
    Continente,4780963,2472635,4150252,2163290,121055,1115357,2913840,1179316,1734524,47.58,51.53,43.98,,
      Norte,1756065,924308,1501883,804289,43023,533848,925012,379768,545244,47.59,52.33,43.24,,
      Centro,1056225,553200,940211,497941,35018,282800,622393,272878,349515,45.38,49.78,41.35,,
      Lisboa,1405058,698989,1223276,604856,8810,203141,1011325,377982,633343,49.79,52.37,47.47,,
      Alentejo,342654,181596,298691,159956,28062,65576,205053,96445,108608,45.25,49.52,41.24,,
      Algarve,220961,114542,186191,96248,6142,29992,150057,52243,97814,48.99,52.08,46.05,,
    Região Autónoma dos Açores,114920,64658,102127,57464,8636,21050,72441,36355,36086,46.57,53.20,40.13,,
      Região Autónoma dos Açores,114920,64658,102127,57464,8636,21050,72441,36355,36086,46.57,53.20,40.13,,
    Região Autónoma da Madeira,127484,66281,108808,55220,3695,18302,86811,38602,48209,47.61,52.49,43.25,,
      Região Autónoma da Madeira,127484,66281,108808,55220,3695,18302,86811,38602,48209,47.61,52.49,43.25,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
