"2.02 - EDIFÍCIOS, SEGUNDO O NÚMERO DE PISOS, POR TIPO DE EDIFÍCIO E NÚMERO DE ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Edifícios segundo o número de pisos,,,,,,,,,,,,,
Tipo de edificios e número de alojamentos,Total,1 piso,2 pisos,3 pisos,4 pisos,5 pisos,6 pisos,7 ou mais pisos,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,3544389,1395703,1611913,336787,95973,46283,22750,34980,,,,,,
    Total de edifícios principalmente residenciais,3518152,1387857,1600869,332871,94157,45508,22410,34480,,,,,,
      1 alojamento,3067807,1353334,1449266,245429,17581,1846,143,208,,,,,,
      2 alojamentos,171010,27000,116948,23639,2882,415,67,59,,,,,,
      3 alojamentos,41766,4188,13615,17868,5134,788,112,61,,,,,,
      4 alojamentos,37238,1677,15357,9750,8017,2040,288,109,,,,,,
      5 - 9 alojamentos,121052,1372,4938,32945,49591,21330,7656,3220,,,,,,
      10 - 15 alojamentos,50994,197,481,2536,8527,16031,10646,12576,,,,,,
      16 ou mais alojamentos,28285,89,264,704,2425,3058,3498,18247,,,,,,
          Edifícios exclusivamente residenciais (100%),3305062,1358821,1511176,298704,72495,31165,13992,18709,,,,,,
            1 alojamento,2944630,1325576,1370941,230363,16045,1541,62,102,,,,,,
            2 alojamentos,155071,26082,109404,17410,1814,276,48,37,,,,,,
            3 alojamentos,34366,4048,12011,15428,2482,331,31,35,,,,,,
            4 alojamentos,27769,1599,13915,5479,5762,872,95,47,,,,,,
            5 - 9 alojamentos,89389,1279,4273,27347,37736,13239,4067,1448,,,,,,
            10 - 15 alojamentos,36217,173,419,2097,6676,12622,7353,6877,,,,,,
            16 ou mais alojamentos,17620,64,213,580,1980,2284,2336,10163,,,,,,
          Edifícios principalmente residenciais (de 50% a 99%),213090,29036,89693,34167,21662,14343,8418,15771,,,,,,
            1 alojamento,123177,27758,78325,15066,1536,305,81,106,,,,,,
            2 alojamentos,15939,918,7544,6229,1068,139,19,22,,,,,,
            3 alojamentos,7400,140,1604,2440,2652,457,81,26,,,,,,
            4 alojamentos,9469,78,1442,4271,2255,1168,193,62,,,,,,
            5 - 9 alojamentos,31663,93,665,5598,11855,8091,3589,1772,,,,,,
            10 - 15 alojamentos,14777,24,62,439,1851,3409,3293,5699,,,,,,
            16 ou mais alojamentos,10665,25,51,124,445,774,1162,8084,,,,,,
    Edifícios principalmente não residenciais (até 49%),26237,7846,11044,3916,1816,775,340,500,,,,,,
      1 alojamento,22128,7550,9742,2933,1089,402,158,254,,,,,,
      2 alojamentos,2528,251,1027,606,390,151,51,52,,,,,,
      3 alojamentos,495,24,139,143,89,55,27,18,,,,,,
      4 alojamentos,385,11,84,92,84,58,29,27,,,,,,
      5 - 9 alojamentos,533,10,45,121,134,79,49,95,,,,,,
      10 - 15 alojamentos,119,0,7,18,23,23,17,31,,,,,,
      16 ou mais alojamentos,49,0,0,3,7,7,9,23,,,,,,
    Continente,3353610,1323027,1514134,320570,93994,45362,22326,34197,,,,,,
      Total de edifícios principalmente residenciais,3328750,1315526,1503681,316908,92284,44633,22004,33714,,,,,,
        1 alojamento,2888529,1281965,1356110,231625,16867,1673,124,165,,,,,,
        2 alojamentos,166314,26219,113857,22905,2814,395,65,59,,,,,,
        3 alojamentos,40795,4084,13215,17506,5042,777,112,59,,,,,,
        4 alojamentos,36555,1634,15006,9565,7934,2022,285,109,,,,,,
        5 - 9 alojamentos,118990,1342,4774,32160,48929,21061,7565,3159,,,,,,
        10 - 15 alojamentos,50002,196,465,2459,8350,15755,10484,12293,,,,,,
        16 ou mais alojamentos,27565,86,254,688,2348,2950,3369,17870,,,,,,
            Edifícios exclusivamente residenciais (100%),3121458,1287173,1416835,283925,70995,30525,13708,18297,,,,,,
              1 alojamento,2769600,1254866,1280386,217387,15430,1407,52,72,,,,,,
              2 alojamentos,150743,25317,106473,16833,1769,268,46,37,,,,,,
              3 alojamentos,33535,3946,11659,15123,2418,325,31,33,,,,,,
              4 alojamentos,27202,1559,13584,5348,5705,866,93,47,,,,,,
              5 - 9 alojamentos,87705,1250,4123,26637,37212,13060,4004,1419,,,,,,
              10 - 15 alojamentos,35505,172,406,2031,6540,12391,7237,6728,,,,,,
              16 ou mais alojamentos,17168,63,204,566,1921,2208,2245,9961,,,,,,
            Edifícios principalmente residenciais (de 50% a 99%),207292,28353,86846,32983,21289,14108,8296,15417,,,,,,
              1 alojamento,118929,27099,75724,14238,1437,266,72,93,,,,,,
              2 alojamentos,15571,902,7384,6072,1045,127,19,22,,,,,,
              3 alojamentos,7260,138,1556,2383,2624,452,81,26,,,,,,
              4 alojamentos,9353,75,1422,4217,2229,1156,192,62,,,,,,
              5 - 9 alojamentos,31285,92,651,5523,11717,8001,3561,1740,,,,,,
              10 - 15 alojamentos,14497,24,59,428,1810,3364,3247,5565,,,,,,
              16 ou mais alojamentos,10397,23,50,122,427,742,1124,7909,,,,,,
      Edifícios principalmente não residenciais (até 49%),24860,7501,10453,3662,1710,729,322,483,,,,,,
        1 alojamento,20911,7210,9207,2727,1006,375,146,240,,,,,,
        2 alojamentos,2427,247,979,579,376,146,48,52,,,,,,
        3 alojamentos,470,24,133,131,88,50,26,18,,,,,,
        4 alojamentos,372,10,84,85,82,56,28,27,,,,,,
        5 - 9 alojamentos,521,10,43,119,130,77,49,93,,,,,,
        10 - 15 alojamentos,113,0,7,18,22,19,17,30,,,,,,
        16 ou mais alojamentos,46,0,0,3,6,6,8,23,,,,,,
      Norte,1209911,346987,678957,126733,29427,12989,6126,8692,,,,,,
        Total de edifícios principalmente residenciais,1201753,345455,675038,125192,28739,12740,6022,8567,,,,,,
          1 alojamento,1050705,333984,612751,96158,6965,757,44,46,,,,,,
          2 alojamentos,71864,8878,51342,10087,1275,227,35,20,,,,,,
          3 alojamentos,14997,1438,5105,5764,2284,332,46,28,,,,,,
          4 alojamentos,12236,568,4423,3629,2628,822,124,42,,,,,,
          5 - 9 alojamentos,31897,503,1262,8559,12516,5887,2124,1046,,,,,,
          10 - 15 alojamentos,12741,62,97,797,2290,3619,2524,3352,,,,,,
          16 ou mais alojamentos,7313,22,58,198,781,1096,1125,4033,,,,,,
              Edifícios exclusivamente residenciais (100%),1116665,337912,631163,111044,21146,7914,3329,4157,,,,,,
                1 alojamento,995973,326770,573195,89148,6196,625,18,21,,,,,,
                2 alojamentos,65356,8629,48276,7429,807,174,28,13,,,,,,
                3 alojamentos,12065,1411,4571,4882,1054,122,8,17,,,,,,
                4 alojamentos,8461,549,3950,1843,1693,375,38,13,,,,,,
                5 - 9 alojamentos,21753,478,1049,6915,8973,3128,786,424,,,,,,
                10 - 15 alojamentos,8508,56,81,662,1785,2673,1694,1557,,,,,,
                16 ou mais alojamentos,4549,19,41,165,638,817,757,2112,,,,,,
              Edifícios principalmente residenciais (de 50% a 99%),85088,7543,43875,14148,7593,4826,2693,4410,,,,,,
                1 alojamento,54732,7214,39556,7010,769,132,26,25,,,,,,
                2 alojamentos,6508,249,3066,2658,468,53,7,7,,,,,,
                3 alojamentos,2932,27,534,882,1230,210,38,11,,,,,,
                4 alojamentos,3775,19,473,1786,935,447,86,29,,,,,,
                5 - 9 alojamentos,10144,25,213,1644,3543,2759,1338,622,,,,,,
                10 - 15 alojamentos,4233,6,16,135,505,946,830,1795,,,,,,
                16 ou mais alojamentos,2764,3,17,33,143,279,368,1921,,,,,,
        Edifícios principalmente não residenciais (até 49%),8158,1532,3919,1541,688,249,104,125,,,,,,
          1 alojamento,6903,1488,3583,1192,414,132,43,51,,,,,,
          2 alojamentos,791,39,274,250,147,55,13,13,,,,,,
          3 alojamentos,129,1,29,37,32,14,14,2,,,,,,
          4 alojamentos,117,4,23,31,27,15,8,9,,,,,,
          5 - 9 alojamentos,173,0,9,28,57,27,18,34,,,,,,
          10 - 15 alojamentos,33,0,1,2,11,5,6,8,,,,,,
          16 ou mais alojamentos,12,0,0,1,0,1,2,8,,,,,,
      Centro,1111952,441104,521850,114069,19526,7674,3863,3866,,,,,,
        Total de edifícios principalmente residenciais,1104778,439135,518509,112936,19092,7519,3791,3796,,,,,,
          1 alojamento,1023342,433377,488997,94136,6168,578,42,44,,,,,,
          2 alojamentos,35221,4867,23124,6242,883,79,13,13,,,,,,
          3 alojamentos,7907,548,2263,3785,1125,156,19,11,,,,,,
          4 alojamentos,7441,189,3073,2259,1439,407,60,14,,,,,,
          5 - 9 alojamentos,21219,126,948,5998,7730,4132,1788,497,,,,,,
          10 - 15 alojamentos,6835,16,74,420,1352,1827,1434,1712,,,,,,
          16 ou mais alojamentos,2813,12,30,96,395,340,435,1505,,,,,,
              Edifícios exclusivamente residenciais (100%),1046903,428832,492011,103013,14462,4722,2151,1712,,,,,,
                1 alojamento,983521,423314,465082,88908,5683,502,17,15,,,,,,
                2 alojamentos,31206,4677,21376,4541,557,39,6,10,,,,,,
                3 alojamentos,6381,528,1935,3242,590,71,9,6,,,,,,
                4 alojamentos,5193,175,2737,1228,871,156,21,5,,,,,,
                5 - 9 alojamentos,14684,119,790,4706,5477,2474,948,170,,,,,,
                10 - 15 alojamentos,4306,12,67,317,977,1238,889,806,,,,,,
                16 ou mais alojamentos,1612,7,24,71,307,242,261,700,,,,,,
              Edifícios principalmente residenciais (de 50% a 99%),57875,10303,26498,9923,4630,2797,1640,2084,,,,,,
                1 alojamento,39821,10063,23915,5228,485,76,25,29,,,,,,
                2 alojamentos,4015,190,1748,1701,326,40,7,3,,,,,,
                3 alojamentos,1526,20,328,543,535,85,10,5,,,,,,
                4 alojamentos,2248,14,336,1031,568,251,39,9,,,,,,
                5 - 9 alojamentos,6535,7,158,1292,2253,1658,840,327,,,,,,
                10 - 15 alojamentos,2529,4,7,103,375,589,545,906,,,,,,
                16 ou mais alojamentos,1201,5,6,25,88,98,174,805,,,,,,
        Edifícios principalmente não residenciais (até 49%),7174,1969,3341,1133,434,155,72,70,,,,,,
          1 alojamento,6200,1909,3001,859,275,87,34,35,,,,,,
          2 alojamentos,614,53,267,168,89,22,13,2,,,,,,
          3 alojamentos,119,4,43,38,20,11,1,2,,,,,,
          4 alojamentos,99,0,21,27,20,18,10,3,,,,,,
          5 - 9 alojamentos,106,3,9,34,27,13,7,13,,,,,,
          10 - 15 alojamentos,26,0,0,6,2,3,5,10,,,,,,
          16 ou mais alojamentos,10,0,0,1,1,1,2,5,,,,,,
      Lisboa,448957,159072,150078,52804,36331,20659,10668,19345,,,,,,
        Total de edifícios principalmente residenciais,444975,157952,148773,52280,35921,20399,10551,19099,,,,,,
          1 alojamento,298177,150736,117356,26760,3032,230,22,41,,,,,,
          2 alojamentos,30592,5160,21074,3840,418,67,13,20,,,,,,
          3 alojamentos,11865,1015,3657,5686,1208,241,39,19,,,,,,
          4 alojamentos,11723,482,4913,2360,3173,653,92,50,,,,,,
          5 - 9 alojamentos,52280,428,1564,12786,23669,9218,3159,1456,,,,,,
          10 - 15 alojamentos,25946,91,142,671,3729,8946,5771,6596,,,,,,
          16 ou mais alojamentos,14392,40,67,177,692,1044,1455,10917,,,,,,
              Edifícios exclusivamente residenciais (100%),407078,155278,142249,46874,28947,15185,7172,11373,,,,,,
                1 alojamento,290496,148335,113119,25877,2938,195,12,20,,,,,,
                2 alojamentos,28050,5008,19820,2915,251,39,8,9,,,,,,
                3 alojamentos,9976,983,3244,5045,572,111,11,10,,,,,,
                4 alojamentos,9491,457,4512,1531,2650,285,30,26,,,,,,
                5 - 9 alojamentos,40422,387,1377,10795,18901,6280,1945,737,,,,,,
                10 - 15 alojamentos,19520,82,129,572,3035,7462,4158,4082,,,,,,
                16 ou mais alojamentos,9123,26,48,139,600,813,1008,6489,,,,,,
              Edifícios principalmente residenciais (de 50% a 99%),37897,2674,6524,5406,6974,5214,3379,7726,,,,,,
                1 alojamento,7681,2401,4237,883,94,35,10,21,,,,,,
                2 alojamentos,2542,152,1254,925,167,28,5,11,,,,,,
                3 alojamentos,1889,32,413,641,636,130,28,9,,,,,,
                4 alojamentos,2232,25,401,829,523,368,62,24,,,,,,
                5 - 9 alojamentos,11858,41,187,1991,4768,2938,1214,719,,,,,,
                10 - 15 alojamentos,6426,9,13,99,694,1484,1613,2514,,,,,,
