"2.03 - EDIFÍCIOS, SEGUNDO A ÉPOCA DE CONSTRUÇÃO, POR PRINCIPAIS MATERIAIS UTILIZADOS NA CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Época de construção,,,,,,,,,,,,,
Principais materiais utilizados na construção,Total,antes de 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-1995,1996 - 2000,2001-2005,2006-2011,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
 Portugal,,,,,,,,,,,,,,
    Tipo de estrutura da construção,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
      Betão armado,1721109,0,52107,119125,181475,318909,353238,168808,188001,199872,139574,,,
      Paredes de alvenaria com placa,1123774,0,83489,133803,154270,221631,200207,88712,91188,89849,60625,,,
"      Paredes de alvenaria, sem placa",481115,144099,108312,95933,55414,35802,17804,6880,6521,5738,4612,,,
      Paredes de alvenaria de pedra solta ou de adobe,189072,57353,57104,34865,15109,8305,5038,2482,3120,3131,2565,,,
      Outros,29319,4891,4684,3614,2563,4211,2558,1297,1462,2045,1994,,,
    Revestimento exterior,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
      Reboco tradicional ou marmorite,2977132,124456,216842,308839,344224,518197,525611,240699,256600,262485,179179,,,
      Pedra,411206,74464,78480,64531,44722,37788,29378,16071,20068,24478,21226,,,
      Ladrilho cerâmico ou mosaico,133014,5984,8601,12196,18159,28970,21006,9861,11632,10928,5677,,,
      Outros,23037,1439,1773,1774,1726,3903,2850,1548,1992,2744,3288,,,
    Cobertura,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
      Em terraço,105563,549,4447,7317,7998,13076,15135,8671,12560,16792,19018,,,
      Inclinada,3365068,204832,297157,374309,394052,563689,550529,252624,269504,274989,183383,,,
      Revestida a telhas cerâmicas ou de betão,3299939,200476,291180,367974,387104,550181,539877,248377,265298,270910,178562,,,
      Revestida a outros materiais,65129,4356,5977,6335,6948,13508,10652,4247,4206,4079,4821,,,
      Mista (inclinada e terraço),73758,962,4092,5714,6781,12093,13181,6884,8228,8854,6969,,,
  Continente,,,,,,,,,,,,,,
      Tipo de estrutura da construção,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
        Betão armado,1599434,0,45764,108207,170382,302798,329143,157369,173858,183873,128040,,,
        Paredes de alvenaria com placa,1098244,0,80792,130263,151428,218156,195725,86836,89058,87371,58615,,,
"        Paredes de alvenaria, sem placa",449413,136017,102849,90843,52250,32702,14785,5986,5384,4681,3916,,,
        Paredes de alvenaria de pedra solta ou de adobe,178421,54454,54203,32841,14140,7711,4557,2289,2882,2945,2399,,,
        Outros,28098,4698,4524,3458,2433,4001,2422,1250,1396,1985,1931,,,
      Revestimento exterior,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
        Reboco tradicional ou marmorite,2806739,117126,203623,290308,327986,496318,494904,226904,239888,243878,165804,,,
        Pedra,392748,70720,74292,61535,42960,36508,28108,15527,19234,23514,20350,,,
        Ladrilho cerâmico ou mosaico,132217,5938,8512,12096,18057,28868,20918,9819,11566,10842,5601,,,
        Outros,21906,1385,1705,1673,1630,3674,2702,1480,1890,2621,3146,,,
      Cobertura,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
        Em terraço,95875,505,4023,6608,6965,11296,13147,7854,11832,15953,17692,,,
        Inclinada,3193803,193863,280934,354647,378212,543517,521962,239633,253305,256830,170900,,,
        Revestida a telhas cerâmicas ou de betão,3132143,189863,275367,348788,371647,530630,511780,235551,249282,252974,166261,,,
        Revestida a outros materiais,61660,4000,5567,5859,6565,12887,10182,4082,4023,3856,4639,,,
        Mista (inclinada e terraço),63932,801,3175,4357,5456,10555,11523,6243,7441,8072,6309,,,
   Norte,,,,,,,,,,,,,,
        Tipo de estrutura da construção,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
          Betão armado,597409,0,16183,34731,57794,109070,130479,63226,68655,69177,48094,,,
          Paredes de alvenaria com placa,399887,0,26891,40376,51555,81146,78294,34481,32854,31983,22307,,,
"          Paredes de alvenaria, sem placa",162483,56612,33581,29407,19075,12697,5408,1811,1441,1336,1115,,,
          Paredes de alvenaria de pedra solta ou de adobe,40729,13286,9939,6740,4026,2470,1355,594,744,851,724,,,
          Outros,9403,1919,1402,1143,974,1254,840,418,389,616,448,,,
        Revestimento exterior,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
          Reboco tradicional ou marmorite,881581,27105,43943,69944,95792,165057,182479,82484,81532,79299,53946,,,
          Pedra,245967,41267,39504,36259,28178,25886,20236,10864,13429,16191,14153,,,
          Ladrilho cerâmico ou mosaico,74571,3002,4083,5694,8894,14561,12626,6615,8400,7431,3265,,,
          Outros,7792,443,466,500,560,1133,1035,567,722,1042,1324,,,
        Cobertura,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
          Em terraço,37394,32,369,647,988,2178,4592,3843,6900,8769,9076,,,
          Inclinada,1162405,71729,87314,111241,131657,203097,209907,95566,95631,93734,62529,,,
          Revestida a telhas cerâmicas ou de betão,1137133,70136,85565,109377,129522,198425,204550,93620,93682,91855,60401,,,
          Revestida a outros materiais,25272,1593,1749,1864,2135,4672,5357,1946,1949,1879,2128,,,
          Mista (inclinada e terraço),10112,56,313,509,779,1362,1877,1121,1552,1460,1083,,,
   Centro,,,,,,,,,,,,,,
        Tipo de estrutura da construção,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
          Betão armado,472353,0,12600,30447,50534,92478,96414,45970,50555,55130,38225,,,
          Paredes de alvenaria com placa,396783,0,22269,44119,56557,83449,72288,31183,32685,32773,21460,,,
"          Paredes de alvenaria, sem placa",155741,34962,38966,37893,20333,11505,4959,2014,1908,1716,1485,,,
          Paredes de alvenaria de pedra solta ou de adobe,75101,20538,24341,15558,6032,3032,1572,794,1068,1206,960,,,
