"2.05 - EDIFÍCIOS, SEGUNDO A ÉPOCA DE CONSTRUÇÃO, POR NECESSIDADES DE REPARAÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Época de construção,,,,,,,,,,,,,
Necessidades de reparação,Total,antes de 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-1995,1996 - 2000,2001-2005,2006-2011,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
    Na cobertura,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
      Nenhumas,2374798,70878,113942,177894,225564,392709,439443,220690,254538,279268,199872,,,
      Pequenas,677270,45958,80143,108942,112490,135910,104903,37278,28408,16744,6494,,,
      Médias,299608,37982,57880,63360,49990,45001,26823,7800,5532,3370,1870,,,
      Grandes,122384,26103,32992,25844,15410,11507,5774,1826,1297,886,745,,,
      Muito grandes,70329,25422,20739,11300,5377,3731,1902,585,517,367,389,,,
    Na estrutura,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
      Nenhumas,2456540,75289,120243,188381,238679,412572,455956,226173,258359,280783,200105,,,
      Pequenas,636585,45354,78357,105710,106170,124911,94252,33405,25988,15964,6474,,,
      Médias,270364,36013,55046,58074,44899,38302,22335,6583,4543,2809,1760,,,
      Grandes,114839,25301,32225,24518,14108,9918,4761,1551,1003,771,683,,,
      Muito grandes,66061,24386,19825,10657,4975,3155,1541,467,399,308,348,,,
    Nas paredes e caixilharia exteriores,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
      Nenhumas,2288295,66731,107104,167074,214411,379087,424608,213362,246958,272672,196288,,,
      Pequenas,721313,45695,79146,111523,116903,144035,115503,42736,34416,22199,9157,,,
      Médias,324843,39394,60701,67489,54334,49365,30281,9487,6912,4302,2578,,,
      Grandes,133864,27751,35945,28727,17204,12424,6439,1967,1468,1045,894,,,
      Muito grandes,76074,26772,22800,12527,5979,3947,2014,627,538,417,453,,,
    Continente,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
      Na cobertura,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
        Nenhumas,2241286,65554,105652,166043,214998,377576,415766,209026,239110,261200,186361,,,
        Pequenas,643765,43596,75867,103626,107937,130543,98912,35223,26703,15519,5839,,,
        Médias,284864,36276,55130,60466,47998,42960,24943,7256,5119,3025,1691,,,
        Grandes,116461,25100,31629,24698,14668,10808,5270,1691,1171,772,654,,,
        Muito grandes,67234,24643,19854,10779,5032,3481,1741,534,475,339,356,,,
      Na estrutura,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
        Nenhumas,2320682,69711,111595,176007,227684,397043,431943,214461,242898,262764,186576,,,
        Pequenas,603365,43014,74211,100553,101756,119621,88291,31308,24232,14579,5800,,,
        Médias,256973,34444,52414,55476,43080,36460,20663,6110,4184,2535,1607,,,
        Grandes,109379,24359,30915,23400,13453,9294,4330,1427,908,693,600,,,
        Muito grandes,63211,23641,18997,10176,4660,2950,1405,424,356,284,318,,,
      Nas paredes e caixilharia exteriores,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
        Nenhumas,2162245,61704,99238,155886,204544,364807,402592,202446,232352,255474,183202,,,
