"2.06 - EDIFÍCIOS, SEGUNDO A ÉPOCA DE CONSTRUÇÃO, POR ESTADO DE CONSERVAÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Época de construção,,,,,,,,,,,,,
Estado de conservação,Total,antes de 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-1995,1996 - 2000,2001-2005,2006-2011,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,3544389,206343,305696,387340,408831,588858,578845,268179,290292,300635,209370,,,
    Sem necessidade de reparação,2519452,77346,125924,196813,248427,425232,467456,231003,262516,283839,200896,,,
    Com necessidade de reparação,965782,106616,162017,181111,156093,160883,110091,36791,27459,16540,8181,,,
      Pequenas reparações,624322,49023,81697,107390,104723,120211,88017,30341,23068,13690,6162,,,
      Reparações médias,244303,34993,52281,53134,39840,32811,18540,5314,3628,2289,1473,,,
      Grandes reparações,97157,22600,28039,20587,11530,7861,3534,1136,763,561,546,,,
    Muito degradado,59155,22381,17755,9416,4311,2743,1298,385,317,256,293,,,
    Continente,3353610,195169,288132,365612,390633,565368,546632,253730,272578,280855,194901,,,
      Sem necessidade de reparação,2379328,71628,116891,183922,236893,409032,442531,218937,246715,265517,187262,,,
      Com necessidade de reparação,917553,101799,154205,172685,149705,153769,102913,34440,25571,15100,7366,,,
        Pequenas reparações,592485,46476,77404,102219,100483,115229,82549,28464,21561,12540,5560,,,
        Reparações médias,232439,33551,49876,50794,38243,31192,17148,4927,3331,2053,1324,,,
        Grandes reparações,92629,21772,26925,19672,10979,7348,3216,1049,679,507,482,,,
      Muito degradado,56729,21742,17036,9005,4035,2567,1188,353,292,238,273,,,
      Norte,1209911,71817,87996,112397,133424,206637,216376,100530,104083,103963,72688,,,
        Sem necessidade de reparação,836737,25145,31706,51293,74530,141313,169108,84419,92573,97118,69532,,,
        Com necessidade de reparação,353416,39352,50702,57875,57174,64305,46782,15978,11412,6761,3075,,,
          Pequenas reparações,226588,17842,24538,32277,36617,47122,37148,13192,9810,5689,2353,,,
          Reparações médias,90836,13304,16790,18037,15684,13878,8123,2302,1334,851,533,,,
          Grandes reparações,35992,8206,9374,7561,4873,3305,1511,484,268,221,189,,,
        Muito degradado,19758,7320,5588,3229,1720,1019,486,133,98,84,81,,,
      Centro,1111952,57408,100388,129672,134526,192304,176125,80440,86772,91517,62800,,,
        Sem necessidade de reparação,794248,18618,36664,63583,84238,145582,146745,71304,79710,87324,60480,,,
        Com necessidade de reparação,298357,31378,57214,63018,49237,46059,29053,9034,7002,4130,2232,,,
          Pequenas reparações,189916,13732,27343,37443,33850,35270,23731,7598,5876,3422,1651,,,
          Reparações médias,77129,10534,19283,18651,12132,8886,4493,1191,955,589,415,,,
          Grandes reparações,31312,7112,10588,6924,3255,1903,829,245,171,119,166,,,
        Muito degradado,19347,7412,6510,3071,1051,663,327,102,60,63,88,,,
      Lisboa,448957,22297,28955,54006,59963,83916,71920,32031,35452,35446,24971,,,
        Sem necessidade de reparação,315466,8040,12355,27974,35471,58371,57055,27004,31362,33589,24245,,,
        Com necessidade de reparação,126866,11983,15086,24844,23858,24981,14662,4964,3998,1814,676,,,
          Pequenas reparações,85827,5759,8191,15737,16650,18748,11574,3955,3253,1456,504,,,
          Reparações médias,30402,3919,4643,6742,5717,4963,2573,838,592,291,124,,,
