"2.11 - EDIFICIOS SEGUNDO O TIPO DE EDIFICIO, POR EXISTENCIA DE SISTEMA DE RECOLHA DE RESÍDUOS URBANOS (RU)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Edifícios clássicos,,,,,,,,,,,,,
Recolha de RU,Total,Com 1 ou 2 alojamentos familiares,,,Com 3 ou mais alojamentos familiares,Outro tipo,,,,,,,,
,,Isolado,Geminado,Em banda,,,,,,,,,,
1,2,3,4,5,6,7,,,,,,,,
  Portugal,3544389,1946604,542393,730794,283879,40719,,,,,,,,
    Com recolha de resíduos urbanos,3297364,1785144,510854,696137,268564,36665,,,,,,,,
    Sem recolha de resíduos urbanos,247025,161460,31539,34657,15315,4054,,,,,,,,
    Continente,3353610,1820486,516785,698698,278222,39419,,,,,,,,
      Com recolha de resíduos urbanos,3114979,1665520,486119,664813,263024,35503,,,,,,,,
      Sem recolha de resíduos urbanos,238631,154966,30666,33885,15198,3916,,,,,,,,
      Norte,1209911,744666,200722,172626,80452,11445,,,,,,,,
        Com recolha de resíduos urbanos,1136784,690833,190409,167088,77666,10788,,,,,,,,
        Sem recolha de resíduos urbanos,73127,53833,10313,5538,2786,657,,,,,,,,
      Centro,1111952,682640,155803,214555,47372,11582,,,,,,,,
        Com recolha de resíduos urbanos,1045160,637484,148087,203877,45389,10323,,,,,,,,
        Sem recolha de resíduos urbanos,66792,45156,7716,10678,1983,1259,,,,,,,,
      Lisboa,448957,175462,71358,75783,117414,8940,,,,,,,,
        Com recolha de resíduos urbanos,416323,160753,66768,71453,109379,7970,,,,,,,,
        Sem recolha de resíduos urbanos,32634,14709,4590,4330,8035,970,,,,,,,,
      Alentejo,383866,133821,59928,172624,13554,3939,,,,,,,,
        Com recolha de resíduos urbanos,339642,106560,54619,162839,12320,3304,,,,,,,,
        Sem recolha de resíduos urbanos,44224,27261,5309,9785,1234,635,,,,,,,,
      Algarve,198924,83897,28974,63110,19430,3513,,,,,,,,
        Com recolha de resíduos urbanos,177070,69890,26236,59556,18270,3118,,,,,,,,
        Sem recolha de resíduos urbanos,21854,14007,2738,3554,1160,395,,,,,,,,
    Região Autónoma dos Açores,98818,50922,18907,26657,1792,540,,,,,,,,
      Com recolha de resíduos urbanos,94820,48312,18297,26042,1720,449,,,,,,,,
      Sem recolha de resíduos urbanos,3998,2610,610,615,72,91,,,,,,,,
      Região Autónoma dos Açores,98818,50922,18907,26657,1792,540,,,,,,,,
        Com recolha de resíduos urbanos,94820,48312,18297,26042,1720,449,,,,,,,,
        Sem recolha de resíduos urbanos,3998,2610,610,615,72,91,,,,,,,,
    Região Autónoma da Madeira,91961,75196,6701,5439,3865,760,,,,,,,,
      Com recolha de resíduos urbanos,87565,71312,6438,5282,3820,713,,,,,,,,
      Sem recolha de resíduos urbanos,4396,3884,263,157,45,47,,,,,,,,
      Região Autónoma da Madeira,91961,75196,6701,5439,3865,760,,,,,,,,
        Com recolha de resíduos urbanos,87565,71312,6438,5282,3820,713,,,,,,,,
        Sem recolha de resíduos urbanos,4396,3884,263,157,45,47,,,,,,,,
