"3.01 - ALOJAMENTOS, FAMÍLIAS, PESSOAS RESIDENTES E PESSOAS PRESENTES, SEGUNDO O TIPO DE ALOJAMENTO, A FORMA DE OCUPAÇÃO",,,,,,,,,,,,,,,
"DOS ALOJAMENTOS FAMILIARES CLÁSSICOS, O TIPO DE EDIFÍCIO ONDE SE SITUAM ESTES ÚLTIMOS, QUANDO RESIDÊNCIA HABITUAL E A POPULAÇÃO SEM ABRIGO",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,Alojamentos familiares segundo o tipo de alojamento,,,,,,,,,,,Alojamentos colectivos,,População sem abrigo
,,,Alojamentos clássicos segundo a forma de ocupação,,,,,,,,Não clássicos,,,,
,Total        ,,,Residência habitual,,,,,Residência secundária,Vagos,,,,,
Zona Geográfica,,Total,,Em edifícios principalmente residenciais,,,,"Em edifícios, principal-mente não residenciais",,,,,Estabeleci-mentos hoteleiros ou similares, ,
,,,Total,Com 1 alojamento familiar ,,Com 2 alojamentos familiares,Com 3 ou mais alojamentos familiares,,,,Barracas e casas rudimentares de madeira,Outros,,Alojamentos de convivência,
,,,,Exclusivamente residencial,Parcialmente residencial,,,,,,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
  Portugal,,,,,,,,,,,,,,,
   Alojamentos,5878756,5866152,5859540,1895883,80485,265033,1731597,18114,1133300,735128,2052,4560,6811,5793,
   Familias Clássicas,4043372,4039999,4033121,1912907,81585,267628,1752475,18526,0,0,2103,4775,2021,1352,
   Familias Institucionais,4833,,,,,,,,,,,,245,4588,
   Pessoas Residentes,10561456,10430548,10413100,5161004,219971,679452,4306392,46281,0,0,6690,10758,8033,122179,696
   Pessoas Presentes,10281797,10027323,10010573,4952567,211484,654139,4091566,44446,54417,1954,6561,10189,76398,177394,682
    Continente,,,,,,,,,,,,,,,
      Alojamentos,5639257,5627555,5621098,1769428,77712,257307,1696809,17318,1098470,704054,2040,4417,6233,5469,
      Familias Clássicas,3868834,3865725,3859004,1785414,78769,259775,1717333,17713,0,0,2090,4631,1905,1204,
      Familias Institucionais,4579,,,,,,,,,,,,232,4347,
      Pessoas Residentes,10046899,9922517,9905473,4774098,211779,658436,4216919,44241,0,0,6658,10386,7725,115994,663
      Pessoas Presentes,9769055,9539211,9522849,4581091,203620,633849,4006657,42487,53291,1854,6528,9834,62062,167133,649
      Norte,,,,,,,,,,,,,,,
         Alojamentos,1850890,1847784,1846589,682955,37070,119531,473842,6267,324493,202431,345,850,1629,1477,
         Familias Clássicas,1330892,1329491,1328268,687847,37431,120223,476423,6344,0,0,352,871,877,524,
         Familias Institucionais,1235,,,,,,,,,,,,50,1185,
         Pessoas Residentes,3689682,3655097,3651862,1962857,106497,322235,1242812,17461,0,0,1105,2130,2534,31833,218
         Pessoas Presentes,3583442,3526552,3523461,1888705,102625,311920,1185830,16836,17278,267,1090,2001,9062,47612,216
      Centro,,,,,,,,,,,,,,,
         Alojamentos,1448644,1445343,1443886,594901,25138,51596,217679,4543,353055,196974,474,983,1498,1803,
         Familias Clássicas,904770,904159,902643,600406,25525,52102,219947,4663,0,0,487,1029,350,261,
         Familias Institucionais,1477,,,,,,,,,,,,65,1412,
         Pessoas Residentes,2327755,2288984,2285256,1548813,65449,127214,532310,11470,0,0,1533,2195,2010,36695,66
         Pessoas Presentes,2258474,2201205,2197619,1478916,62676,121607,501180,10925,21915,400,1504,2082,7480,49729,60
      Lisboa,,,,,,,,,,,,,,,
         Alojamentos,1487858,1485795,1483717,205414,5369,47981,865317,3630,171097,184909,485,1593,758,1305,
         Familias Clássicas,1147421,1146644,1144466,208102,5513,48700,878396,3755,0,0,502,1676,400,377,
         Familias Institucionais,1172,,,,,,,,,,,,76,1096,
         Pessoas Residentes,2821154,2791100,2785824,551558,14045,116510,2095325,8386,0,0,1481,3795,1773,28040,241
         Pessoas Presentes,2730950,2667925,2662942,531730,13583,112014,1992656,8067,4710,182,1427,3556,18590,44199,236
      Alentejo,,,,,,,,,,,,,,,
         Alojamentos,471739,470284,469287,206144,6643,24748,59472,1760,100684,69836,493,504,787,668,
         Familias Clássicas,302975,302829,301790,207889,6743,25065,60295,1798,0,0,502,537,115,31,
         Familias Institucionais,543,,,,,,,,,,,,31,512,
         Pessoas Residentes,757302,741177,738193,510988,16833,59673,146473,4226,0,0,1779,1205,908,15192,25
         Pessoas Presentes,733327,710974,708062,489829,16077,56849,137744,4049,3307,207,1751,1161,3062,19266,25
      Algarve,,,,,,,,,,,,,,,
         Alojamentos,380126,378349,377619,80014,3492,13451,80499,1118,149141,49904,243,487,1561,216,
         Familias Clássicas,182776,182602,181837,81170,3557,13685,82272,1153,0,0,247,518,163,11,
         Familias Institucionais,152,,,,,,,,,,,,10,142,
         Pessoas Residentes,451006,446159,444338,199882,8955,32804,199999,2698,0,0,760,1061,500,4234,113
         Pessoas Presentes,462862,432555,430765,191911,8659,31459,189247,2610,6081,798,756,1034,23868,6327,112
    Região Autónoma dos Açores,,,,,,,,,,,,,,,
      Alojamentos,109856,109439,109337,67704,1519,3337,7508,357,15410,13502,4,98,251,166,
      Familias Clássicas,81715,81557,81453,68437,1554,3439,7651,372,0,0,5,99,45,113,
      Familias Institucionais,141,,,,,,,,,,,,11,130,
      Pessoas Residentes,246772,243543,243270,211838,4372,8567,17555,938,0,0,8,265,171,3047,11
      Pessoas Presentes,239795,233629,233370,202661,4128,8250,16556,904,797,74,8,251,1804,4351,11
      Região Autónoma dos Açores,,,,,,,,,,,,,,,
         Alojamentos,109856,109439,109337,67704,1519,3337,7508,357,15410,13502,4,98,251,166,
         Familias Clássicas,81715,81557,81453,68437,1554,3439,7651,372,0,0,5,99,45,113,
         Familias Institucionais,141,,,,,,,,,,,,11,130,
         Pessoas Residentes,246772,243543,243270,211838,4372,8567,17555,938,0,0,8,265,171,3047,11
         Pessoas Presentes,239795,233629,233370,202661,4128,8250,16556,904,797,74,8,251,1804,4351,11
    Região Autónoma da Madeira,,,,,,,,,,,,,,,
      Alojamentos,129643,129158,129105,58751,1254,4389,27280,439,19420,17572,8,45,327,158,
      Familias Clássicas,92823,92717,92664,59056,1262,4414,27491,441,0,0,8,45,71,35,
      Familias Institucionais,113,,,,,,,,,,,,2,111,
      Pessoas Residentes,267785,264488,264357,175068,3820,12449,71918,1102,0,0,24,107,137,3138,22
      Pessoas Presentes,272947,254483,254354,168815,3736,12040,68353,1055,329,26,25,104,12532,5910,22
      Região Autónoma da Madeira,,,,,,,,,,,,,,,
         Alojamentos,129643,129158,129105,58751,1254,4389,27280,439,19420,17572,8,45,327,158,
         Familias Clássicas,92823,92717,92664,59056,1262,4414,27491,441,0,0,8,45,71,35,
         Familias Institucionais,113,,,,,,,,,,,,2,111,
         Pessoas Residentes,267785,264488,264357,175068,3820,12449,71918,1102,0,0,24,107,137,3138,22
         Pessoas Presentes,272947,254483,254354,168815,3736,12040,68353,1055,329,26,25,104,12532,5910,22
