"3.06 - ALOJAMENTOS FAMILIARES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O AQUECIMENTO DISPONÍVEL",,,,,,,,,,,,,,
NO ALOJAMENTO E A PRINCIPAL FONTE DE ENERGIA UTILIZADA PARA AQUECIMENTO,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,Total de alojamentos familiares com aquecimento,Aquecimento central,Aquecimento não central,,,,Sem aquecimento disponível,,,,,,
,,,,Lareira aberta,Recuperador de calor,Aparelhos móveis,Aparelhos fixos,,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,3997724,3437678,427993,718025,343630,1640096,307934,560046,,,,,,
      Electricidade,1835384,1835384,99101,0,68646,1519331,148306,0,,,,,,
"      Madeira, carvão ou outros combustíveis sólidos",1171961,1171961,43587,718025,267400,551,142398,0,,,,,,
"      Petróleo, gasóleo ou outros combustíveis líquidos",127029,127029,111472,0,2121,8017,5419,0,,,,,,
"      Gás natural, propano, butano ou outros combustíveis gasosos",295984,295984,169785,0,4205,111000,10994,0,,,,,,
"      Outra (energia solar, geotérmica, ...)",7320,7320,4048,0,1258,1197,817,0,,,,,,
    Continente,3825031,3384835,424717,711897,339730,1604070,304421,440196,,,,,,
        Electricidade,1796330,1796330,96397,0,67778,1485652,146503,0,,,,,,
"        Madeira, carvão ou outros combustíveis sólidos",1161222,1161222,43422,711897,264503,551,140849,0,,,,,,
"        Petróleo, gasóleo ou outros combustíveis líquidos",126897,126897,111439,0,2106,7940,5412,0,,,,,,
"        Gás natural, propano, butano ou outros combustíveis gasosos",293438,293438,169501,0,4161,108875,10901,0,,,,,,
"        Outra (energia solar, geotérmica, ...)",6948,6948,3958,0,1182,1052,756,0,,,,,,
      Norte,1320860,1166656,201686,248199,124743,466649,125379,154204,,,,,,
          Electricidade,519004,519004,36307,0,20999,414206,47492,0,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",437320,437320,19643,248199,100205,97,69176,0,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",64917,64917,57756,0,1087,2945,3129,0,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",143323,143323,86723,0,2134,49124,5342,0,,,,,,
"          Outra (energia solar, geotérmica, ...)",2092,2092,1257,0,318,277,240,0,,,,,,
      Centro,895314,843745,119812,309209,112034,235697,66993,51569,,,,,,
          Electricidade,271572,271572,16801,0,13751,218587,22433,0,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",467783,467783,21700,309209,96294,184,40396,0,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",49415,49415,45675,0,745,1158,1837,0,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",53262,53262,34604,0,891,15607,2160,0,,,,,,
"          Outra (energia solar, geotérmica, ...)",1713,1713,1032,0,353,161,167,0,,,,,,
      Lisboa,1129789,956955,87598,61875,61504,679767,66211,172834,,,,,,
          Electricidade,750412,750412,34828,0,22214,639538,53832,0,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",109825,109825,1183,61875,37882,27,8858,0,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",8969,8969,5183,0,186,3301,299,0,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",85510,85510,45141,0,930,36448,2991,0,,,,,,
"          Outra (energia solar, geotérmica, ...)",2239,2239,1263,0,292,453,231,0,,,,,,
      Alentejo,299764,282861,9618,73546,28172,141299,30226,16903,,,,,,
