"3.08 - ALOJAMENTOS FAMILIARES, OCUPADOS COMO RESIDENCIA HABITUAL, SEGUNDO O TIPO DE EDIFICIO POR UTILIZAÇÃO  DA PRINCIPAL FONTE DE ENERGIA PARA AQUECIMENTO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos familiares clássicos,,,,,,Alojamentos familiares não clássicos,,,,,,,
Principal fonte de energia utilizada para aquecimento,Total,Com 1 ou 2 alojamentos familiares,,,Com 3 ou mais alojamentos familiares,Outro tipo,,,,,,,,
,,Isolado,Geminado,Em banda,,,,,,,,,,
1,2,3,4,5,6,7,8,,,,,,,
  Portugal,3434117,1202897,340226,401913,1467685,21396,3561,,,,,,,
      Electricidade,1833270,360040,159779,210654,1090408,12389,2114,,,,,,,
"      Madeira, carvão ou outros combustíveis sólidos",1170711,693475,141459,154704,173809,7264,1250,,,,,,,
"      Petróleo, gasóleo ou outros combustíveis líquidos",127005,94252,14190,11361,6681,521,24,,,,,,,
"      Gás natural, propano, butano ou outros combustíveis gasosos",295817,51190,24144,24563,194732,1188,167,,,,,,,
"      Outra (energia solar, geotérmica, ...)",7314,3940,654,631,2055,34,6,,,,,,,
    Continente,3381309,1173804,333365,393955,1458918,21267,3526,,,,,,,
        Electricidade,1794248,340866,154461,204303,1082320,12298,2082,,,,,,,
"        Madeira, carvão ou outros combustíveis sólidos",1159972,685362,140323,153493,173558,7236,1250,,,,,,,
"        Petróleo, gasóleo ou outros combustíveis líquidos",126873,94163,14175,11351,6663,521,24,,,,,,,
"        Gás natural, propano, butano ou outros combustíveis gasosos",293274,49728,23795,24214,194359,1178,164,,,,,,,
"        Outra (energia solar, geotérmica, ...)",6942,3685,611,594,2018,34,6,,,,,,,
      Norte,1165985,500013,137969,107019,414165,6819,671,,,,,,,
          Electricidade,518662,144447,62993,51464,256158,3600,342,,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",437041,279734,53423,37511,63865,2508,279,,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",64910,48611,7923,5866,2300,210,7,,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",143280,26033,13384,11991,91378,494,43,,,,,,,
"          Outra (energia solar, geotérmica, ...)",2092,1188,246,187,464,7,0,,,,,,,
      Centro,842887,436920,90422,106859,202746,5940,858,,,,,,,
          Electricidade,271243,82307,27745,36043,122876,2272,329,,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",467289,303174,52933,61206,46848,3128,494,,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",49409,38572,4975,4325,1297,240,6,,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",53235,11604,4652,5162,31531,286,27,,,,,,,
"          Outra (energia solar, geotérmica, ...)",1711,1263,117,123,194,14,2,,,,,,,
      Lisboa,955761,119607,52804,50318,727631,5401,1194,,,,,,,
          Electricidade,749413,68425,34591,37009,604922,4466,999,,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",109700,36635,12746,8583,51162,574,125,,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",8960,4645,879,575,2815,46,9,,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",85450,9207,4428,4032,67474,309,60,,,,,,,
"          Outra (energia solar, geotérmica, ...)",2238,695,160,119,1258,6,1,,,,,,,
      Alentejo,282314,80208,39437,105023,55600,2046,547,,,,,,,
          Electricidade,158079,28285,21029,62377,45182,1206,216,,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",112921,48015,16950,39552,7649,755,311,,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",2806,1850,332,497,109,18,1,,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",8115,1844,1076,2502,2628,65,18,,,,,,,
"          Outra (energia solar, geotérmica, ...)",393,214,50,95,32,2,1,,,,,,,
      Algarve,134362,37056,12733,24736,58776,1061,256,,,,,,,
          Electricidade,96851,17402,8103,17410,53182,754,196,,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",33021,17804,4271,6641,4034,271,41,,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",788,485,66,88,142,7,1,,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",3194,1040,255,527,1348,24,16,,,,,,,
"          Outra (energia solar, geotérmica, ...)",508,325,38,70,70,5,2,,,,,,,
    Região Autónoma dos Açores,32517,16506,5614,6840,3471,86,27,,,,,,,
        Electricidade,23324,10337,4302,5431,3200,54,24,,,,,,,
"        Madeira, carvão ou outros combustíveis sólidos",7266,5057,973,1065,146,25,0,,,,,,,
"        Petróleo, gasóleo ou outros combustíveis líquidos",77,52,14,8,3,0,0,,,,,,,
"        Gás natural, propano, butano ou outros combustíveis gasosos",1768,1018,308,317,118,7,3,,,,,,,
"        Outra (energia solar, geotérmica, ...)",82,42,17,19,4,0,0,,,,,,,
      Região Autónoma dos Açores,32517,16506,5614,6840,3471,86,27,,,,,,,
          Electricidade,23324,10337,4302,5431,3200,54,24,,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",7266,5057,973,1065,146,25,0,,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",77,52,14,8,3,0,0,,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",1768,1018,308,317,118,7,3,,,,,,,
"          Outra (energia solar, geotérmica, ...)",82,42,17,19,4,0,0,,,,,,,
    Região Autónoma da Madeira,20291,12587,1247,1118,5296,43,8,,,,,,,
        Electricidade,15698,8837,1016,920,4888,37,8,,,,,,,
"        Madeira, carvão ou outros combustíveis sólidos",3473,3056,163,146,105,3,0,,,,,,,
"        Petróleo, gasóleo ou outros combustíveis líquidos",55,37,1,2,15,0,0,,,,,,,
"        Gás natural, propano, butano ou outros combustíveis gasosos",775,444,41,32,255,3,0,,,,,,,
"        Outra (energia solar, geotérmica, ...)",290,213,26,18,33,0,0,,,,,,,
      Região Autónoma da Madeira,20291,12587,1247,1118,5296,43,8,,,,,,,
          Electricidade,15698,8837,1016,920,4888,37,8,,,,,,,
"          Madeira, carvão ou outros combustíveis sólidos",3473,3056,163,146,105,3,0,,,,,,,
"          Petróleo, gasóleo ou outros combustíveis líquidos",55,37,1,2,15,0,0,,,,,,,
"          Gás natural, propano, butano ou outros combustíveis gasosos",775,444,41,32,255,3,0,,,,,,,
"          Outra (energia solar, geotérmica, ...)",290,213,26,18,33,0,0,,,,,,,
