"3.09 - ALOJAMENTOS CLÁSSICOS, SEGUNDO A FORMA DE OCUPAÇÃO, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES, POR ÉPOCA DE CONSTRUÇÃO DO EDIFÍCIO ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Alojamentos clássicos, segundo a forma de ocupação",,,,,,,,,Famílias clássicas,Pessoas residentes,,,
Zona Geográfica,,Ocupados,,,Vagos,,,,,,,,,
Época de construção,Total         ,Total,Residência habitual,Residência secundária,Total,Para venda,Para arrendamento,Para demolição,Outros,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,5859540,5124412,3991112,1133300,735128,164745,110221,28388,431774,4033121,10413100,,,
      Até 1919,251619,178745,136945,41800,72874,6995,6617,8830,50432,139321,305120,,,
      1919 - 1945,373893,273045,202148,70897,100848,10689,9395,8625,72139,205394,450354,,,
      1946 - 1960,539060,438139,344630,93509,100921,11398,12781,5217,71525,349372,778104,,,
      1961 - 1970,648488,562402,452399,110003,86086,11233,14393,2500,57960,458004,1057993,,,
      1971 - 1980,983645,890033,712563,177470,93612,13871,19601,1641,58499,721469,1788358,,,
      1981 - 1990,1011960,933713,719566,214147,78247,15060,17675,741,44771,727682,1960134,,,
      1991 - 1995,503665,467220,355387,111833,36445,8725,8151,268,19301,358344,1011358,,,
      1996 - 2000,594664,552916,436641,116275,41748,12631,8734,248,20135,439605,1267969,,,
      2001 - 2005,581718,533104,412811,120293,48614,21980,7421,206,19007,414942,1188386,,,
      2006 - 2011,370828,295095,218022,77073,75733,52163,5453,112,18005,218988,605324,,,
    Continente,5621098,4917044,3818574,1098470,704054,158524,106117,27345,412068,3859004,9905473,,,
        Até 1919,240058,169608,129472,40136,70450,6735,6496,8644,48575,131745,285686,,,
        1919 - 1945,355535,258774,190494,68280,96761,10267,9153,8381,68960,193616,419088,,,
        1946 - 1960,516262,419573,329076,90497,96689,10977,12452,5004,68256,333627,734780,,,
        1961 - 1970,628706,545709,438522,107187,82997,10891,14088,2337,55681,443957,1019200,,,
        1971 - 1980,956491,866203,692551,173652,90288,13456,19088,1549,56195,701241,1729583,,,
        1981 - 1990,973486,898693,689658,209035,74793,14618,17032,679,42464,697487,1868033,,,
        1991 - 1995,484556,449643,340889,108754,34913,8536,7764,248,18365,343751,966051,,,
        1996 - 2000,568914,528958,416817,112141,39956,12300,8240,221,19195,419617,1206599,,,
