"3.10 - ALOJAMENTOS CLÁSSICOS, SEGUNDO A FORMA DE OCUPAÇÃO, FAMÍLIAS CLÁSSICAS  E PESSOAS RESIDENTES, POR TIPO DE EDIFÍCIO E NUMERO DE ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,"Alojamentos clássicos, segundo a forma de ocupação",,,,,,,,,Famílias clássicas,Pessoas residentes,,,
Zona Geográfica,,Ocupados,,,Vagos,,,,,,,,,
 Tipo de edificio e número de alojamentos,Total         ,Total,Residência habitual,Residência secundária,Total,Para venda,Para arrendamento,Para demolição,Outros,,,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
    Portugal,5859540,5124412,3991112,1133300,735128,164745,110221,28388,431774,4033121,10413100,,,
      Total de edifícios principalmente residenciais,5826965,5100654,3972998,1127656,726311,163881,108626,28121,425683,4014595,10366819,,,
        1 alojamento,3059072,2671778,1976368,695410,387294,65548,30136,25297,266313,1994492,5380975,,,
        2 alojamentos,340571,304608,265033,39575,35963,4759,11033,774,19397,267628,679452,,,
        3 alojamentos,124919,105027,88166,16861,19892,2549,6556,456,10331,89502,213869,,,
        4 alojamentos,148685,125171,103442,21729,23514,4322,7633,337,11222,104825,256920,,,
        5 - 9 alojamentos,847047,745289,618841,126448,101758,29748,23612,826,47572,626777,1560881,,,
        10 - 15 alojamentos,598690,527690,436965,90725,71000,25555,13348,213,31884,442032,1091787,,,
        16 ou mais alojamentos,707981,621091,484183,136908,86890,31400,16308,218,38964,489339,1182935,,,
      Edifícios exclusivamente residenciais (100%),4944118,4335647,3363026,972621,608471,131953,83136,26738,366644,3395833,8835338,,,
        1 alojamento,2937393,2568447,1895883,672564,368946,63082,28097,24407,253360,1912907,5161004,,,
        2 alojamentos,309039,278488,242881,35607,30551,4016,9193,706,16636,245071,623614,,,
        3 alojamentos,102817,87358,73519,13839,15459,1953,5189,359,7958,74510,178826,,,
        4 alojamentos,110869,93511,77740,15771,17358,2985,5605,298,8470,78682,191106,,,
        5 - 9 alojamentos,629544,555604,463985,91619,73940,22223,16591,671,34455,469471,1169887,,,
        10 - 15 alojamentos,421971,372776,310250,62526,49195,17966,8816,164,22249,313699,777109,,,
        16 ou mais alojamentos,432485,379463,298768,80695,53022,19728,9645,133,23516,301493,733792,,,
      Edifícios principalmente residenciais (de 50% a 99%),882847,765007,609972,155035,117840,31928,25490,1383,59039,618762,1531481,,,
        1 alojamento,121679,103331,80485,22846,18348,2466,2039,890,12953,81585,219971,,,
        2 alojamentos,31532,26120,22152,3968,5412,743,1840,68,2761,22557,55838,,,
        3 alojamentos,22102,17669,14647,3022,4433,596,1367,97,2373,14992,35043,,,
        4 alojamentos,37816,31660,25702,5958,6156,1337,2028,39,2752,26143,65814,,,
        5 - 9 alojamentos,217503,189685,154856,34829,27818,7525,7021,155,13117,157306,390994,,,
        10 - 15 alojamentos,176719,154914,126715,28199,21805,7589,4532,49,9635,128333,314678,,,
