"3.11- ALOJAMENTOS CLÁSSICOS OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES,  POR NÚMERO DE PESSOAS E FAMÍLIAS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Total de divisões,Famílias clássicas,Pessoas residentes
Número de pessoas e número de famílias nos alojamentos,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
  Portugal,,,,,,,,,,,,,,
     Alojamentos,3991112,18557,73763,354530,1176987,1301963,539853,264413,127128,68337,65581,19892808,4033121,10413100
        Com 1 pessoa,823365,11454,36469,145254,288199,206946,75675,31654,13859,7158,6697,3632833,823365,823365
        Com 2 pessoas,1264606,4483,22404,120383,412689,403129,159569,74863,33805,17499,15782,6159718,1272141,2529212
        Com 3 pessoas,959655,1509,9188,56731,289303,339551,134169,64741,31524,16878,16061,4884001,967557,2878965
        Com 4 pessoas,670390,659,3954,23716,141490,258402,117466,61679,30386,16472,16166,3643674,678070,2681560
        Com 5 pessoas,185845,230,1192,5920,32521,65944,35467,20498,11240,6363,6470,1055410,193069,929225
        Com 6 pessoas,59605,126,375,1713,9000,19627,11737,7534,4129,2605,2759,350393,64858,357630
        Com 7 pessoas,16980,56,119,489,2356,5248,3454,2162,1375,783,938,101860,19793,118860
        Com 8 pessoas,6156,21,34,191,852,1853,1271,767,469,341,357,37091,7721,49248
        Com 9 ou mais pessoas,4510,19,28,133,577,1263,1045,515,341,238,351,27828,6547,45035
      Alojamentos com 1 família,3957463,18351,73263,352198,1168052,1291357,534928,261597,125656,67403,64658,19716096,3957463,10270584
        Com 1 pessoa,823320,11451,36468,145249,288189,206932,75671,31649,13859,7157,6695,3632615,823320,823320
        Com 2 pessoas,1257052,4403,22171,119387,409875,401121,158811,74543,33653,17405,15683,6124933,1257052,2514104
        Com 3 pessoas,953345,1484,9092,56222,287282,337488,133366,64362,31336,16765,15948,4852588,953345,2860035
        Com 4 pessoas,664424,637,3892,23392,139878,256323,116575,61230,30152,16331,16014,3612392,664424,2657696
        Com 5 pessoas,179979,215,1143,5690,31298,63902,34482,19895,10906,6149,6299,1022886,179979,899895
        Com 6 pessoas,55576,94,339,1587,8366,18348,10979,6985,3857,2428,2593,326981,55576,333456
        Com 7 pessoas,14986,36,107,419,2036,4662,3083,1881,1222,685,855,90151,14986,104902
        Com 8 pessoas,5176,15,30,156,697,1564,1094,641,396,286,297,31222,5176,41408
        Com 9 ou mais pessoas,3605,16,21,96,431,1017,867,411,275,197,274,22328,3605,35768
      Alojamentos com 2 famílias,28221,136,438,2056,7716,8798,4057,2342,1211,764,703,147145,56380,114564
        Com 1 pessoa,35,3,1,5,7,9,3,4,0,1,2,168,35,35
        Com 2 pessoas,7542,80,233,995,2812,2006,756,318,151,93,98,34708,15067,15084
        Com 3 pessoas,4712,17,74,398,1554,1489,584,287,143,84,82,23356,9421,14136
        Com 4 pessoas,4804,12,47,258,1314,1685,688,367,180,122,131,25258,9604,19216
        Com 5 pessoas,5078,10,40,193,1065,1730,880,532,298,186,144,28230,10153,25390
        Com 6 pessoas,3417,7,27,102,529,1085,654,485,242,149,137,20021,6834,20502
        Com 7 pessoas,1581,4,10,58,252,473,290,230,125,80,59,9312,3162,11067
        Com 8 pessoas,643,2,3,27,109,195,115,79,48,35,30,3770,1286,5144
        Com 9 ou mais pessoas,409,1,3,20,74,126,87,40,24,14,20,2322,818,3990
      Alojamentos com 3 ou mais famílias,5428,70,62,276,1219,1808,868,474,261,170,220,29567,19278,27952
        Com 1 pessoa,10,0,0,0,3,5,1,1,0,0,0,50,10,10
        Com 2 pessoas,12,0,0,1,2,2,2,2,1,1,1,77,22,24
        Com 3 pessoas,1598,8,22,111,467,574,219,92,45,29,31,8057,4791,4794
        Com 4 pessoas,1162,10,15,66,298,394,203,82,54,19,21,6024,4042,4648
        Com 5 pessoas,788,5,9,37,158,312,105,71,36,28,27,4294,2937,3940
        Com 6 pessoas,612,25,9,24,105,194,104,64,30,28,29,3391,2448,3672
        Com 7 pessoas,413,16,2,12,68,113,81,51,28,18,24,2397,1645,2891
        Com 8 pessoas,337,4,1,8,46,94,62,47,25,20,30,2099,1259,2696
        Com 9 ou mais pessoas,496,2,4,17,72,120,91,64,42,27,57,3178,2124,5277
    Continente,,,,,,,,,,,,,,
       Alojamentos,3818574,17422,68856,333649,1131149,1255989,514716,250297,120140,64442,61914,19025373,3859004,9905473
          Com 1 pessoa,792932,10812,34367,138616,279145,200507,72754,30226,13267,6823,6415,3501346,792932,792932
          Com 2 pessoas,1220265,4221,21026,114192,399747,391805,153599,71704,32257,16701,15013,5943881,1227485,2440530
          Com 3 pessoas,917961,1374,8419,52327,277378,328112,128025,61289,29828,15941,15268,4672541,925567,2753883
          Com 4 pessoas,636661,599,3541,21304,133674,248280,111696,58235,28597,15507,15228,3461647,644122,2546644
          Com 5 pessoas,172527,206,1028,5134,29890,61899,33042,19003,10451,5899,5975,981020,179546,862635
          Com 6 pessoas,54367,120,327,1439,8061,18086,10712,6895,3807,2382,2538,320402,59452,326202
          Com 7 pessoas,15041,54,100,392,2073,4683,3045,1905,1245,690,854,90528,17759,105287
          Com 8 pessoas,5262,18,25,139,711,1612,1064,654,415,297,327,31962,6721,42096
          Com 9 ou mais pessoas,3558,18,23,106,470,1005,779,386,273,202,296,22046,5420,35264
        Alojamentos com 1 família,3786119,17221,68377,331427,1122492,1245695,510000,247599,118726,63542,61040,18855109,3786119,9768382
          Com 1 pessoa,792889,10809,34366,138611,279135,200494,72750,30221,13267,6822,6414,3501143,792889,792889
          Com 2 pessoas,1213026,4144,20800,113244,397038,389873,152880,71399,32113,16613,14922,5910598,1213026,2426052
          Com 3 pessoas,911854,1350,8329,51837,275403,326106,127253,60936,29646,15835,15159,4642202,911854,2735562
          Com 4 pessoas,630860,577,3482,20992,132104,246253,110832,57797,28374,15370,15079,3431230,630860,2523440
          Com 5 pessoas,166817,191,981,4913,28695,59903,32087,18415,10127,5693,5812,949395,166817,834085
          Com 6 pessoas,50463,89,294,1318,7449,16834,9980,6367,3542,2209,2381,297733,50463,302778
          Com 7 pessoas,13120,34,88,330,1767,4109,2687,1639,1098,594,774,79246,13120,91840
          Com 8 pessoas,4345,12,21,108,564,1338,908,536,343,244,271,26461,4345,34760
          Com 9 ou mais pessoas,2745,15,16,74,337,785,623,289,216,162,228,17101,2745,26976
        Alojamentos com 2 famílias,27289,131,422,1957,7486,8554,3900,2258,1169,736,676,142253,54518,110634
          Com 1 pessoa,33,3,1,5,7,8,3,4,0,1,1,153,33,33
          Com 2 pessoas,7229,77,226,947,2707,1930,718,303,144,87,90,33220,14441,14458
          Com 3 pessoas,4602,16,72,383,1525,1461,571,276,137,79,82,22802,9201,13806
          Com 4 pessoas,4675,12,45,248,1280,1641,672,356,173,119,129,24590,9346,18700
          Com 5 pessoas,4946,10,38,184,1040,1692,854,519,291,180,138,27484,9889,24730
          Com 6 pessoas,3313,6,24,97,511,1060,630,470,237,145,133,19430,6626,19878
          Com 7 pessoas,1524,4,10,50,242,465,280,218,120,78,57,8980,3048,10668
          Com 8 pessoas,604,2,3,24,105,185,100,75,47,34,29,3550,1208,4832
          Com 9 ou mais pessoas,363,1,3,19,69,112,72,37,20,13,17,2044,726,3529
        Alojamentos com 3 ou mais famílias,5166,70,57,265,1171,1740,816,440,245,164,198,28011,18367,26457
          Com 1 pessoa,10,0,0,0,3,5,1,1,0,0,0,50,10,10
          Com 2 pessoas,10,0,0,1,2,2,1,2,0,1,1,63,18,20
          Com 3 pessoas,1505,8,18,107,450,545,201,77,45,27,27,7537,4512,4515
          Com 4 pessoas,1126,10,14,64,290,386,192,82,50,18,20,5827,3916,4504
          Com 5 pessoas,764,5,9,37,155,304,101,69,33,26,25,4141,2840,3820
          Com 6 pessoas,591,25,9,24,101,192,102,58,28,28,24,3239,2363,3546
          Com 7 pessoas,397,16,2,12,64,109,78,48,27,18,23,2302,1591,2779
          Com 8 pessoas,313,4,1,7,42,89,56,43,25,19,27,1951,1168,2504
          Com 9 ou mais pessoas,450,2,4,13,64,108,84,60,37,27,51,2901,1949,4759
      Norte,,,,,,,,,,,,,,
         Alojamentos,1319665,4814,21801,105222,346240,451218,189236,97916,49250,27347,26621,6760129,1328268,3651862
            Com 1 pessoa,221516,3027,10308,38490,69435,58641,22616,9971,4498,2320,2210,996966,221516,221516
            Com 2 pessoas,386895,1132,6662,35310,112639,128516,52449,26020,12070,6492,5605,1926945,387973,773790
            Com 3 pessoas,347232,395,3059,20495,98839,124979,48376,24758,12633,6936,6762,1789961,348344,1041696
            Com 4 pessoas,255524,166,1316,8575,50643,100927,43781,23650,12270,7004,7192,1404421,256950,1022096
            Com 5 pessoas,74039,57,337,1789,11061,27358,14542,8513,4822,2765,2795,428426,75909,370195
            Com 6 pessoas,24482,20,84,416,2733,8031,5257,3480,1930,1229,1302,149427,25993,146892
            Com 7 pessoas,6488,6,28,105,605,1880,1435,997,670,347,415,40951,7235,45416
            Com 8 pessoas,2167,7,2,25,183,582,481,342,207,160,178,14074,2568,17336
            Com 9 ou mais pessoas,1322,4,5,17,102,304,299,185,150,94,162,8958,1780,12925
          Alojamentos com 1 família,1312466,4787,21707,104850,344876,448885,187977,97094,48869,27081,26340,6719803,1312466,3617749
            Com 1 pessoa,221503,3027,10307,38489,69433,58636,22614,9970,4498,2319,2210,996900,221503,221503
            Com 2 pessoas,385810,1121,6620,35164,112289,128220,52335,25960,12041,6471,5589,1921820,385810,771620
            Com 3 pessoas,346334,390,3044,20427,98589,124689,48255,24687,12608,6913,6732,1785281,346334,1039002
            Com 4 pessoas,254335,159,1304,8526,50410,100478,43571,23544,12225,6966,7152,1397925,254335,1017340
            Com 5 pessoas,72396,54,324,1734,10772,26794,14226,8312,4734,2701,2745,419130,72396,361980
            Com 6 pessoas,23201,20,78,387,2606,7582,4987,3283,1843,1174,1241,141728,23201,139206
            Com 7 pessoas,5907,6,24,89,546,1717,1306,901,616,318,384,37356,5907,41349
            Com 8 pessoas,1891,6,2,22,154,516,430,290,175,141,155,12266,1891,15128
            Com 9 ou mais pessoas,1089,4,4,12,77,253,253,147,129,78,132,7397,1089,10621
          Alojamentos com 2 famílias,6263,21,85,337,1226,2021,1087,710,326,225,225,34825,12514,28813
            Com 1 pessoa,5,0,1,1,0,1,1,0,0,1,0,25,5,5
            Com 2 pessoas,1079,11,42,145,349,295,113,58,29,21,16,5093,2153,2158
            Com 3 pessoas,681,3,13,53,204,202,85,60,18,18,25,3546,1362,2043
            Com 4 pessoas,1036,3,9,44,203,390,181,91,42,36,37,5702,2071,4144
            Com 5 pessoas,1517,3,13,49,268,518,294,185,79,62,46,8588,3033,7585
            Com 6 pessoas,1166,0,4,25,122,410,246,179,81,44,55,6985,2332,6996
            Com 7 pessoas,488,0,3,15,46,137,109,85,47,24,22,3013,976,3416
            Com 8 pessoas,195,1,0,2,22,48,34,39,22,13,14,1261,390,1560
            Com 9 ou mais pessoas,96,0,0,3,12,20,24,13,8,6,10,612,192,906
          Alojamentos com 3 ou mais famílias,936,6,9,35,138,312,172,112,55,41,56,5501,3288,5300
            Com 1 pessoa,8,0,0,0,2,4,1,1,0,0,0,41,8,8
            Com 2 pessoas,6,0,0,1,1,1,1,2,0,0,0,32,10,12
            Com 3 pessoas,217,2,2,15,46,88,36,11,7,5,5,1134,648,651
            Com 4 pessoas,153,4,3,5,30,59,29,15,3,2,3,794,544,612
            Com 5 pessoas,126,0,0,6,21,46,22,16,9,2,4,708,480,630
            Com 6 pessoas,115,0,2,4,5,39,24,18,6,11,6,714,460,690
            Com 7 pessoas,93,0,1,1,13,26,20,11,7,5,9,582,352,651
            Com 8 pessoas,81,0,0,1,7,18,17,13,10,6,9,547,287,648
            Com 9 ou mais pessoas,137,0,1,2,13,31,22,25,13,10,20,949,499,1398
      Centro,,,,,,,,,,,,,,
         Alojamentos,893857,2769,11180,51855,199973,309805,153719,81733,39800,21937,21086,4772435,902643,2285256
            Com 1 pessoa,187556,1826,5943,22998,56812,56526,23529,10523,4659,2501,2239,891993,187556,187556
            Com 2 pessoas,297259,600,3196,17597,73319,105464,49474,24827,11375,5961,5446,1555528,298555,594518
            Com 3 pessoas,207107,180,1212,7391,43125,76564,37980,19927,9863,5557,5308,1134723,208523,621321
            Com 4 pessoas,149329,96,562,2923,20918,54688,31524,18674,9466,5279,5199,867562,151022,597316
