"3.12 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES POR ÁREA UTIL",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,,,
Área útil,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,3991112,18557,73763,354530,1176987,1301963,539853,264413,127128,68337,65581,,,
      Menos de 30 m²,77946,18557,31828,27561,0,0,0,0,0,0,0,,,
      30 m²  - 39 m²,114405,0,12786,47695,53924,0,0,0,0,0,0,,,
      40 m² - 49 m²,202659,0,8651,53839,77590,44603,10935,4062,1575,735,669,,,
      50 m² - 59 m²,263692,0,6250,56940,107809,69515,13766,4907,1850,1461,1194,,,
      60 m² - 79 m²,599075,0,6789,89540,294354,144985,39754,14270,5279,2260,1844,,,
      80 m² - 99 m²,793883,0,3579,46962,338473,281563,75126,28360,11227,5096,3497,,,
      100 m² - 119 m²,688015,0,1751,18686,173069,315975,104249,42258,18179,8143,5705,,,
      120 m² - 149 m²,571298,0,1130,8402,84445,267168,117995,50082,22424,11270,8382,,,
      150 m² - 199 m²,371178,0,681,3236,31701,123486,106123,56013,26224,13704,10010,,,
      200 m² ou mais,308961,0,318,1669,15622,54668,71905,64461,40370,25668,34280,,,
    Continente,3818574,17422,68856,333649,1131149,1255989,514716,250297,120140,64442,61914,,,
        Menos de 30 m²,73775,17422,30079,26274,0,0,0,0,0,0,0,,,
        30 m²  - 39 m²,109015,0,12030,45347,51638,0,0,0,0,0,0,,,
        40 m² - 49 m²,192724,0,8087,51385,74489,42115,10171,3746,1431,675,625,,,
        50 m² - 59 m²,251313,0,5791,54292,103866,65878,12806,4533,1724,1337,1086,,,
        60 m² - 79 m²,575271,0,6174,84722,285785,138993,37493,13346,4937,2107,1714,,,
        80 m² - 99 m²,763210,0,3204,42998,327151,272935,71451,26729,10654,4813,3275,,,
        100 m² - 119 m²,659401,0,1585,16875,164993,306580,99252,39878,17180,7706,5352,,,
        120 m² - 149 m²,548134,0,1029,7498,79747,259321,113257,47474,21221,10676,7911,,,
        150 m² - 199 m²,353894,0,604,2831,29368,118705,101823,53372,24795,12920,9476,,,
        200 m² ou mais,291837,0,273,1427,14112,51462,68463,61219,38198,24208,32475,,,
      Norte,1319665,4814,21801,105222,346240,451218,189236,97916,49250,27347,26621,,,
          Menos de 30 m²,22915,4814,9225,8876,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,32610,0,3473,12619,16518,0,0,0,0,0,0,,,
          40 m² - 49 m²,60366,0,2461,13726,22182,15472,3847,1534,616,290,238,,,
          50 m² - 59 m²,79324,0,1904,15552,29386,23996,4890,1801,744,582,469,,,
          60 m² - 79 m²,163033,0,2174,25561,68890,44333,13313,5231,1963,900,668,,,
          80 m² - 99 m²,253548,0,1267,16864,100667,89336,26087,11088,4708,2158,1373,,,
          100 m² - 119 m²,251514,0,624,7572,63390,111757,37618,16708,7767,3537,2541,,,
          120 m² - 149 m²,207938,0,346,2960,29843,99435,40020,18171,8870,4683,3610,,,
          150 m² - 199 m²,131772,0,217,995,10233,45664,36652,19456,9427,5141,3987,,,
          200 m² ou mais,116645,0,110,497,5131,21225,26809,23927,15155,10056,13735,,,
      Centro,893857,2769,11180,51855,199973,309805,153719,81733,39800,21937,21086,,,
          Menos de 30 m²,12375,2769,4303,5303,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,18263,0,1838,6259,10166,0,0,0,0,0,0,,,
          40 m² - 49 m²,40180,0,1299,7211,14561,11637,3240,1320,482,227,203,,,
          50 m² - 59 m²,52004,0,981,7176,18719,18024,4149,1587,567,454,347,,,
          60 m² - 79 m²,113446,0,1160,12665,44656,35520,11972,4557,1685,707,524,,,
          80 m² - 99 m²,157899,0,680,7345,52937,60924,21158,8677,3480,1608,1090,,,
          100 m² - 119 m²,156924,0,376,3233,30544,70739,28799,13154,5706,2599,1774,,,
          120 m² - 149 m²,145845,0,308,1665,17375,63837,32859,15873,7275,3786,2867,,,
          150 m² - 199 m²,105600,0,162,688,7449,33578,30140,17067,8374,4643,3499,,,
          200 m² ou mais,91321,0,73,310,3566,15546,21402,19498,12231,7913,10782,,,
      Lisboa,1127711,6870,25886,129335,438708,342956,109193,41754,17779,8057,7173,,,
          Menos de 30 m²,29241,6870,12970,9401,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,44615,0,4812,20755,19048,0,0,0,0,0,0,,,
          40 m² - 49 m²,68797,0,3024,23743,29164,10197,1850,468,152,88,111,,,
          50 m² - 59 m²,89492,0,1878,24168,43846,16210,2280,622,203,136,149,,,
          60 m² - 79 m²,226770,0,1708,33305,138041,42836,7664,1935,718,255,308,,,
          80 m² - 99 m²,251979,0,724,11721,128950,89269,15277,3825,1265,515,433,,,
          100 m² - 119 m²,168266,0,359,3561,48511,86656,20767,5381,1880,708,443,,,
          120 m² - 149 m²,127110,0,227,1644,20897,65545,26452,7936,2750,1037,622,,,
          150 m² - 199 m²,72519,0,135,656,7028,24384,22878,10635,4191,1663,949,,,
          200 m² ou mais,48922,0,49,381,3223,7859,12025,10952,6620,3655,4158,,,
      Alentejo,298767,1592,5582,25183,85120,97827,42722,20504,9589,5221,5427,,,
          Menos de 30 m²,5771,1592,2303,1876,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,8650,0,983,3466,4201,0,0,0,0,0,0,,,
          40 m² - 49 m²,15652,0,644,3831,5952,3671,949,340,144,63,58,,,
          50 m² - 59 m²,19679,0,501,3767,7772,5681,1130,412,173,136,107,,,
          60 m² - 79 m²,43257,0,549,6288,19860,11274,3321,1189,427,187,162,,,
          80 m² - 99 m²,58313,0,296,3417,23493,21217,6105,2227,871,395,292,,,
          100 m² - 119 m²,51445,0,133,1344,12485,23162,8512,3397,1304,656,452,,,
          120 m² - 149 m²,42751,0,94,716,6816,18598,9383,3969,1687,854,634,,,
          150 m² - 199 m²,29629,0,52,312,3009,9784,8153,4393,2038,1109,779,,,
          200 m² ou mais,23620,0,27,166,1532,4440,5169,4577,2945,1821,2943,,,
      Algarve,178574,1377,4407,22054,61108,54183,19846,8390,3722,1880,1607,,,
          Menos de 30 m²,3473,1377,1278,818,0,0,0,0,0,0,0,,,
          30 m²  - 39 m²,4877,0,924,2248,1705,0,0,0,0,0,0,,,
          40 m² - 49 m²,7729,0,659,2874,2630,1138,285,84,37,7,15,,,
          50 m² - 59 m²,10814,0,527,3629,4143,1967,357,111,37,29,14,,,
          60 m² - 79 m²,28765,0,583,6903,14338,5030,1223,434,144,58,52,,,
