"3.13 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÉPOCA DE CONSTRUÇÃO DOS EDÍFICIOS, POR INSTALAÇÕES EXISTENTES NOS ALOJAMENTOS",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a época de construção dos edifícios",,,,,,,,,,,,
Instalações existentes,,Antes de 1919,De 1919 a 1945,De 1946 a 1960,De 1961 a 1970,De 1971 a 1980,De 1981 a 1990,De 1991 a 1995,De 1996 a 2000,De 2001 a 2005,De 2006 a 2011,,,
1,2,3,4,5,6,7,8,9,10,11,12,,,
  Portugal,3991112,136945,202148,344630,452399,712563,719566,355387,436641,412811,218022,,,
"      Com água, retrete, sistema de aquecimento e instalação de banho",3381679,99921,153053,275481,371936,600590,617661,312380,388107,369696,192854,,,
"      Com água, retrete, sistema de aquecimento e sem instalação de banho",27633,4275,5029,5100,4061,3683,2420,953,917,769,426,,,
"      Com água, retrete e instalação de banho",532852,22948,33928,54959,69970,103025,95837,40693,46399,41204,23889,,,
"      Com água, retrete e sem instalação de banho",11618,1973,2211,2279,1827,1473,909,308,306,196,136,,,
      Só água e sistema de aquecimento,9808,2312,2320,1885,1161,848,541,221,190,186,144,,,
      Só retrete e sistema de aquecimento,6147,1040,1120,1086,863,764,594,214,189,173,104,,,
      Só retrete,3150,534,574,655,477,351,273,103,64,52,67,,,
      Só água,3738,845,880,698,438,338,230,100,86,69,54,,,
      Só sistema de aquecimento,8850,1983,1931,1550,946,848,641,260,243,252,196,,,
      Sem instalalações,5637,1114,1102,937,720,643,460,155,140,214,152,,,
    Continente,3818574,129472,190494,329076,438522,692551,689658,340889,416817,388331,202764,,,
"        Com água, retrete, sistema de aquecimento e instalação de banho",3329241,97971,150369,271591,368585,595416,608183,307502,381381,361080,187163,,,
"        Com água, retrete, sistema de aquecimento e sem instalação de banho",27398,4261,4999,5058,4033,3659,2389,937,894,754,414,,,
"        Com água, retrete e instalação de banho",415602,17804,25441,43753,59801,88537,75734,31196,33442,25465,14429,,,
"        Com água, retrete e sem instalação de banho",10117,1762,1965,2042,1625,1271,750,244,238,139,81,,,
        Só água e sistema de aquecimento,9720,2305,2312,1871,1148,840,534,216,185,176,133,,,
        Só retrete e sistema de aquecimento,6125,1038,1118,1085,862,760,589,213,186,170,104,,,
        Só retrete,3016,521,555,624,461,339,254,96,56,49,61,,,
        Só água,3140,754,754,593,364,274,162,85,63,48,43,,,
        Só sistema de aquecimento,8825,1981,1930,1549,944,844,633,258,241,251,194,,,
        Sem instalalações,5390,1075,1051,910,699,611,430,142,131,199,142,,,
      Norte,1319665,48928,60216,90840,127799,218054,255640,135721,166147,144274,72046,,,
"          Com água, retrete, sistema de aquecimento e instalação de banho",1143066,35955,45223,71871,105327,186671,224651,121866,150976,133491,67035,,,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",12648,2091,2221,2302,1862,1700,1137,423,385,343,184,,,
"          Com água, retrete e instalação de banho",143609,6626,8727,12968,17730,27442,28275,12886,14346,10051,4558,,,
"          Com água, retrete e sem instalação de banho",5187,877,1014,1066,911,622,387,118,92,65,35,,,
          Só água e sistema de aquecimento,3860,967,810,666,488,405,255,82,73,74,40,,,
          Só retrete e sistema de aquecimento,3362,649,641,556,459,404,307,110,99,92,45,,,
          Só retrete,1744,319,347,377,250,180,145,49,28,17,32,,,
          Só água,1279,320,310,226,153,123,61,35,23,10,18,,,
          Só sistema de aquecimento,3049,695,573,504,379,317,258,97,79,87,60,,,
          Sem instalalações,1861,429,350,304,240,190,164,55,46,44,39,,,
      Centro,893857,27111,46154,78619,98254,160375,164172,79985,91765,94759,52663,,,
"          Com água, retrete, sistema de aquecimento e instalação de banho",827428,21856,38293,68751,89008,149182,154459,76107,88184,91345,50243,,,
"          Com água, retrete, sistema de aquecimento e sem instalação de banho",7455,1074,1529,1459,1113,940,601,215,212,204,108,,,
"          Com água, retrete e instalação de banho",47387,2005,3685,5984,6707,9094,8426,3365,3103,2926,2092,,,
"          Com água, retrete e sem instalação de banho",1357,205,303,322,178,176,82,32,30,13,16,,,
          Só água e sistema de aquecimento,3256,694,825,715,395,247,152,65,59,60,44,,,
          Só retrete e sistema de aquecimento,1723,252,327,359,256,216,140,55,48,39,31,,,
          Só retrete,497,76,87,107,84,60,33,17,10,8,15,,,
          Só água,603,121,155,123,74,46,29,18,17,15,5,,,
          Só sistema de aquecimento,3025,630,696,598,307,283,175,86,80,99,71,,,
          Sem instalalações,1126,198,254,201,132,131,75,25,22,50,38,,,
      Lisboa,1127711,31852,47192,114826,163997,236368,185680,86949,114785,97591,48471,,,
"          Com água, retrete, sistema de aquecimento e instalação de banho",950399,23460,36859,93790,133260,193831,156871,75954,102415,90111,43848,,,
