"3.15 - ALOJAMENTOS CLÁSSICOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ENTIDADE PROPRIETÁRIA, EXISTENCIA DE ENCARGOS POR COMPRA  E PESSOAS RESIDENTES POR ÉPOCA DE CONSTRUÇÃO  DO EDIFÍCIO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos clássicos ocupados como residência habitual,,,,,,,,,,,Pessoas residentes,,
,Total,Ocupante proprietário ,,,Outra entidade proprietária,,,,,,,Total,Em alojamentos  ocupados pelo proprietário,
Época de construção do edifício,,Total,C/ encargos por  compra,S/ encargos por compra,Total,"Ascendentes, descendentes  de 1º ou 2º grau",Particulares ou  empresas privadas,Empresa pública,"Estado, institutos públicos autónomos, instituições s/ fins lucrativos",Autarquias locais,Cooperativas de habitação,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
    Portugal,3991112,2923271,1253342,1669929,1067841,221058,718163,6185,32784,84189,5462,10413100,7783117,
      Até 1919,136945,77222,11494,65728,59723,9971,46482,166,1527,1356,221,305120,175165,
      1919 - 1945,202148,116672,21508,95164,85476,15053,65721,314,2060,2071,257,450354,260706,
      1946 - 1960,344630,205167,43101,162066,139463,24229,105085,559,4267,4814,509,778104,465321,
      1961 - 1970,452399,290101,65603,224498,162298,30032,118025,621,4722,8243,655,1057993,676953,
      1971 - 1980,712563,509922,131423,378499,202641,45631,131417,1547,8523,14212,1311,1788358,1275740,
      1981 - 1990,719566,554382,204021,350361,165184,42414,102763,925,6100,11805,1177,1960134,1521247,
      1991 - 1995,355387,281895,143341,138554,73492,17521,46077,405,1550,7589,350,1011358,817597,
      1996 - 2000,436641,351953,232156,119797,84688,16689,45602,829,1491,19654,423,1267969,1040543,
      2001 - 2005,412811,346878,257029,89849,65933,12996,39145,588,1537,11298,369,1188386,1017095,
      2006 - 2011,218022,189079,143666,45413,28943,6522,17846,231,1007,3147,190,605324,532750,
      Continente,3818574,2787428,1191596,1595832,1031146,211791,699301,5708,28461,80958,4927,9905473,7379775,
        Até 1919,129472,71700,10236,61464,57772,9287,45346,162,1455,1309,213,285686,160838,
        1919 - 1945,190494,108152,19048,89104,82342,13980,63874,302,1960,1982,244,419088,237801,
        1946 - 1960,329076,193752,39756,153996,135324,22941,102672,522,4106,4592,491,734780,433472,
        1961 - 1970,438522,279419,62791,216628,159103,28962,116145,610,4580,8167,639,1019200,646963,
        1971 - 1980,692551,494251,127198,367053,198300,44437,129185,1470,8083,13855,1270,1729583,1229441,
        1981 - 1990,689658,530479,195350,335129,159179,40899,100062,828,4800,11537,1053,1868033,1447304,
        1991 - 1995,340889,269910,137730,132180,70979,16909,44786,378,1120,7474,312,966051,779171,
        1996 - 2000,416817,335832,222476,113356,80985,16003,43785,795,1149,18945,308,1206599,989738,
        2001 - 2005,388331,327329,242919,84410,61002,12270,36804,483,812,10365,268,1115373,958294,
        2006 - 2011,202764,176604,134092,42512,26160,6103,16642,158,396,2732,129,561080,496753,
        Norte,1319665,952287,394291,557996,367378,85166,238448,1822,7923,32476,1543,3651862,2701306,
          Até 1919,48928,27712,2847,24865,21216,3904,16537,40,360,291,84,117942,68688,
          1919 - 1945,60216,32216,4462,27754,28000,5029,21493,69,508,808,93,143469,78027,
          1946 - 1960,90840,51419,8405,43014,39421,7510,28685,121,1027,1915,163,222151,126922,
          1961 - 1970,127799,77397,13317,64080,50402,10250,33510,154,1038,5249,201,321402,194620,
          1971 - 1980,218054,150828,30664,120164,67226,17227,40446,538,2953,5679,383,581542,400533,
          1981 - 1990,255640,192556,63384,129172,63084,18224,39549,294,954,3771,292,727282,554445,
          1991 - 1995,135721,105867,51942,53925,29854,8032,19327,117,259,2010,109,399922,319768,
          1996 - 2000,166147,132174,86618,45556,33973,7238,18726,230,391,7273,115,496316,404776,
          2001 - 2005,144274,120037,87308,32729,24237,5222,14233,166,316,4219,81,430866,367666,
          2006 - 2011,72046,62081,45344,16737,9965,2530,5942,93,117,1261,22,210970,185861,
        Centro,893857,727091,242568,484523,166766,42997,113133,508,3308,6195,625,2285256,1888204,
          Até 1919,27111,20197,1700,18497,6914,1846,4803,18,142,90,15,56054,41565,
          1919 - 1945,46154,33672,3307,30365,12482,3167,8858,24,267,140,26,95169,68421,
          1946 - 1960,78619,58685,6703,51982,19934,4794,13831,57,537,662,53,166969,122732,
          1961 - 1970,98254,75946,9146,66800,22308,5460,15750,44,457,536,61,221645,169419,
          1971 - 1980,160375,130234,19772,110462,30141,8426,19815,77,631,1023,169,392267,318237,
          1981 - 1990,164172,134901,35746,99155,29271,8007,19011,84,783,1217,169,441357,367902,
          1991 - 1995,79985,66282,27858,38424,13703,3449,9515,53,111,536,39,227584,193408,
          1996 - 2000,91765,78391,46575,31816,13374,3370,8969,68,128,809,30,267290,234053,
          2001 - 2005,94759,82238,58022,24216,12521,2881,8459,72,166,898,45,273280,242860,
          2006 - 2011,52663,46545,33739,12806,6118,1597,4122,11,86,284,18,143641,129607,
        Lisboa,1127711,753765,415306,338459,373946,55872,265105,2782,13536,34512,2139,2785824,1905972,
          Até 1919,31852,9817,3820,5997,22035,1929,18434,85,706,784,97,66319,21393,
          1919 - 1945,47192,18518,7309,11209,28674,3099,23767,156,810,752,90,101450,41113,
          1946 - 1960,114826,54282,19400,34882,60544,7372,49004,286,2014,1656,212,247593,120293,
          1961 - 1970,163997,92771,34017,58754,71226,9936,56074,347,2556,2000,313,366004,208536,
          1971 - 1980,236368,156853,63119,93734,79515,13722,55337,652,3483,5751,570,567568,376146,
