"3.16 - ALOJAMENTOS CLÁSSICOS OCUPADOS COMO RESIDÊNCIA HABITUAL, DIVISÕES, FAMÍLIAS CLÁSSICAS, PESSOAS RESIDENTES E INDICADORES DE OCUPAÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos clássicos,Divisões,Famílias clássicas,Pessoas residentes,Indicadores de Ocupação,,,,,,,,,
,,,,,Média Divis./Aloj.,Média Famil./Aloj.,Média Pes./Aloj.,Média Pes./Div.,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,3991112,19892808,4033121,10413100,5.0,1.0,2.6,0.5,,,,,,
    Continente,3818574,19025373,3859004,9905473,5.0,1.0,2.6,0.5,,,,,,
      Norte,1319665,6760129,1328268,3651862,5.1,1.0,2.8,0.5,,,,,,
      Centro,893857,4772435,902643,2285256,5.3,1.0,2.6,0.5,,,,,,
      Lisboa,1127711,5156879,1144466,2785824,4.6,1.0,2.5,0.5,,,,,,
      Alentejo,298767,1502147,301790,738193,5.0,1.0,2.5,0.5,,,,,,
      Algarve,178574,833783,181837,444338,4.7,1.0,2.5,0.5,,,,,,
    Região Autónoma dos Açores,80425,436070,81453,243270,5.4,1.0,3.0,0.6,,,,,,
      Região Autónoma dos Açores,80425,436070,81453,243270,5.4,1.0,3.0,0.6,,,,,,
    Região Autónoma da Madeira,92113,431365,92664,264357,4.7,1.0,2.9,0.6,,,,,,
      Região Autónoma da Madeira,92113,431365,92664,264357,4.7,1.0,2.9,0.6,,,,,,
