"3.17 - ÍNDICE DE LOTAÇÃO DOS ALOJAMENTOS FAMILIARES CLÁSSICOS, OCUPADOS COMO RESIDENCIA HABITUAL ",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Índice de lotação,,,,,,,,,,,,,
,Total,Alojamentos sublotados,,, ,Alojamentos sobrelotados,,,,,,,,
,,Nº de divisões excedentes,,,Normal,Nº de divisões em falta,,,,,,,,
,,3 divisões ou + ,2 divisões,1 divisão, ,1 divisão,2 divisões,3 divisões ou +,,,,,,
1,2,3,4,5,6,7,8,9,,,,,,
  Portugal,3991112,628951,774244,1187468,949720,349713,78568,22448,,,,,,
    Continente,3818574,600184,747207,1146596,907561,326630,71030,19366,,,,,,
      Norte,1319665,224189,251437,369943,319819,122048,26144,6085,,,,,,
      Centro,893857,202413,213872,252446,160742,52022,9840,2522,,,,,,
      Lisboa,1127711,100275,185261,379019,317531,111218,26113,8294,,,,,,
      Alentejo,298767,52251,64568,91426,63292,21753,4242,1235,,,,,,
      Algarve,178574,21056,32069,53762,46177,19589,4691,1230,,,,,,
    Região Autónoma dos Açores,80425,18910,14361,18322,15877,8389,3077,1489,,,,,,
      Região Autónoma dos Açores,80425,18910,14361,18322,15877,8389,3077,1489,,,,,,
    Região Autónoma da Madeira,92113,9857,12676,22550,26282,14694,4461,1593,,,,,,
      Região Autónoma da Madeira,92113,9857,12676,22550,26282,14694,4461,1593,,,,,,
