"3.18 - ALOJAMENTOS CLASSICOS, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES SEGUNDO O NÚMERO DE DIVISÕES E A ÁREA ÚTIL POR OCUPANTE ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Zona Geográfica,Nª de divisões por ocupante,,,,,,,,Área útil por ocupante,,,,,,,,
,Menos de 0.5 divisão,De 0.5 a menos de 1divisão,De 1 a menos de 1.25 divisões,De 1.25 a menos de 1.5 divisões,De 1.5 a menos de 2 divisões,De 2 a menos de 2.5 divisões,De 2.5 a menos de 3 divisões,3 ou mais divisões ,Menos de 10m2,De 10m2 a menos de 15m2,De 15m2 a menos de 20m2,De 20m2 a menos de 30m2,De 30m2 a menos de 40m2,De 40m2 a menos de 60m2,De 60m2 a menos de 80m2,80m2 ou mais  ,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,
  Portugal,,,,,,,,,,,,,,,,,
      Alojamentos Clássicos,6121,128941,357480,574410,662046,701396,450819,1109899,74093,112455,286513,605361,790247,1095308,418965,608170,
      Familias Clássicas,7446,138253,366606,580996,668579,706398,453238,1111605,77632,117809,293937,615793,797607,1101424,420168,608751,
      Pessoas Residentes,36101,666209,1449760,2043684,2096198,1678359,965494,1477295,286760,506053,980130,2094786,2273899,2732010,753265,786197,
    Continente,,,,,,,,,,,,,,,,,
        Alojamentos Clássicos,5247,116310,334569,550339,633505,673507,436861,1068236,68050,103699,270260,576768,759363,1053310,403169,583955,
        Familias Clássicas,6480,125256,343400,556749,639798,678279,439193,1069849,71411,108857,277456,586859,766462,1059156,404305,584498,
        Pessoas Residentes,29943,597676,1355577,1956535,2003714,1608094,934006,1419928,257398,463375,918450,1989367,2180403,2619957,722567,753956,
      Norte,,,,,,,,,,,,,,,,,
          Alojamentos Clássicos,1423,44576,133673,211149,237838,218150,148341,324515,23525,39828,96619,211973,268068,368391,127573,183688,
          Familias Clássicas,1600,46844,135918,212436,239062,218880,148710,324818,24160,40908,98373,214317,269395,369514,127805,183796,
          Pessoas Residentes,7735,231746,558546,761128,768402,546059,323699,454547,89739,178138,348020,769035,810174,965960,247752,243044,
      Centro,,,,,,,,,,,,,,,,,
          Alojamentos Clássicos,754,17347,58651,104661,150400,153783,120526,287735,10352,17486,48868,117601,162727,270142,106493,160188,
          Familias Clássicas,925,19023,60764,106087,151911,154759,121059,288115,10874,18537,50360,119877,164324,271587,106753,160331,
          Pessoas Residentes,4184,90130,246930,384353,497171,394627,261313,406548,38718,77848,166696,407971,478153,698762,203541,213567,
      Lisboa,,,,,,,,,,,,,,,,,
          Alojamentos Clássicos,2210,40366,102789,173047,170510,214496,111929,312364,26721,35235,93214,180135,237483,282275,116505,156143,
          Familias Clássicas,2698,43834,105919,175761,173214,216890,113056,313094,28259,37487,96053,184042,240617,284674,116979,156355,
          Pessoas Residentes,13224,205837,397198,594893,507363,465138,230629,371542,101191,157737,299821,585563,636781,636646,178861,189224,
      Alentejo,,,,,,,,,,,,,,,,,
          Alojamentos Clássicos,452,7045,21747,36516,47815,55362,36982,92848,4570,6691,19271,41221,56051,85353,33227,52383,
          Familias Clássicas,750,7738,22348,36975,48231,55662,37127,92959,4975,7054,19777,41942,56526,85781,33310,52425,
          Pessoas Residentes,2602,35567,85687,129750,150555,131564,78676,123792,16882,29392,61729,137555,157109,207901,59566,68059,
      Algarve,,,,,,,,,,,,,,,,,
          Alojamentos Clássicos,408,6976,17709,24966,26942,31716,19083,50774,2882,4459,12288,25838,35034,47149,19371,31553,
          Familias Clássicas,507,7817,18451,25490,27380,32088,19241,50863,3143,4871,12893,26681,35600,47600,19458,31591,
          Pessoas Residentes,2198,34396,67216,86411,80223,70706,39689,63499,10868,20260,42184,89243,98186,110688,32847,40062,
    Região Autónoma dos Açores,,,,,,,,,,,,,,,,,
        Alojamentos Clássicos,469,5657,9264,9553,13569,13608,7321,20984,2750,4047,7077,12954,13600,20226,7837,11934,
        Familias Clássicas,532,5885,9447,9660,13733,13760,7383,21053,2861,4161,7232,13181,13787,20393,7879,11959,
        Pessoas Residentes,3548,31768,40014,35810,46518,37279,17189,31144,14477,20384,28318,48661,42397,56572,16010,16451,
      Região Autónoma dos Açores,,,,,,,,,,,,,,,,,
          Alojamentos Clássicos,469,5657,9264,9553,13569,13608,7321,20984,2750,4047,7077,12954,13600,20226,7837,11934,
          Familias Clássicas,532,5885,9447,9660,13733,13760,7383,21053,2861,4161,7232,13181,13787,20393,7879,11959,
          Pessoas Residentes,3548,31768,40014,35810,46518,37279,17189,31144,14477,20384,28318,48661,42397,56572,16010,16451,
    Região Autónoma da Madeira,,,,,,,,,,,,,,,,,
        Alojamentos Clássicos,405,6974,13647,14518,14972,14281,6637,20679,3293,4709,9176,15639,17284,21772,7959,12281,
        Familias Clássicas,434,7112,13759,14587,15048,14359,6662,20703,3360,4791,9249,15753,17358,21875,7984,12294,
        Pessoas Residentes,2610,36765,54169,51339,45966,32986,14299,26223,14885,22294,33362,56758,51099,55481,14688,15790,
      Região Autónoma da Madeira,,,,,,,,,,,,,,,,,
          Alojamentos Clássicos,405,6974,13647,14518,14972,14281,6637,20679,3293,4709,9176,15639,17284,21772,7959,12281,
          Familias Clássicas,434,7112,13759,14587,15048,14359,6662,20703,3360,4791,9249,15753,17358,21875,7984,12294,
          Pessoas Residentes,2610,36765,54169,51339,45966,32986,14299,26223,14885,22294,33362,56758,51099,55481,14688,15790,
