"3.19 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
    Portugal,2923271,5023,27499,177362,777161,1026193,450542,229311,111270,60368,58542,2944202,7783117,
"      Empresários com profissões intelectuais, científicas e técnicas",17110,6,92,915,3739,5317,3072,1702,1046,558,663,17169,47754,
        Sem encargos,5210,2,19,169,804,1469,1065,660,444,252,326,5235,14260,
        Com encargos,11900,4,73,746,2935,3848,2007,1042,602,306,337,11934,33494,
        Menos de 75 euros,174,1,1,18,38,58,25,16,10,3,4,175,465,
"        75  - 99,99 euros",138,0,2,12,31,52,15,10,10,2,4,138,363,
"        100 - 149,99 euros",346,0,3,31,99,115,53,26,6,6,7,348,883,
        150 - 199.99 euros,426,0,7,39,123,146,57,37,10,4,3,429,1096,
"        200 - 249,99 euros",647,1,11,81,215,187,85,33,20,7,7,649,1582,
"        250 - 299,99 euros",867,0,10,98,285,277,100,43,32,10,12,871,2115,
"        300 - 349,99 euros",1040,0,8,117,374,337,104,51,23,9,17,1042,2611,
"        350 - 399,99 euros",1157,0,9,94,397,382,142,56,39,23,15,1160,3005,
"        400 - 499,99 euros",1922,0,10,133,598,690,251,103,64,30,43,1928,5129,
"        500 - 649,99 euros",1932,2,4,66,443,692,373,170,101,44,37,1934,5618,
"        650 - 799,99 euros",1200,0,5,29,170,416,293,139,68,32,48,1204,3684,
        800 euros ou mais,2051,0,3,28,162,496,509,358,219,136,140,2056,6943,
      Empresários da indústria comércio e serviços,40273,18,186,1223,6486,11891,7940,5406,2883,1848,2392,40459,128683,
        Sem encargos,17726,11,76,402,2038,4679,3653,2781,1583,1059,1444,17841,55269,
        Com encargos,22547,7,110,821,4448,7212,4287,2625,1300,789,948,22618,73414,
        Menos de 75 euros,345,1,2,20,86,114,41,42,14,11,14,345,1053,
"        75  - 99,99 euros",305,0,2,24,85,86,51,24,14,10,9,305,910,
"        100 - 149,99 euros",671,1,4,28,148,223,134,65,35,16,17,674,2081,
        150 - 199.99 euros,888,1,11,56,199,317,154,67,36,20,27,890,2707,
"        200 - 249,99 euros",1269,0,8,105,385,406,168,90,48,31,28,1271,3916,
"        250 - 299,99 euros",1902,1,19,136,543,649,270,143,66,37,38,1907,5928,
"        300 - 349,99 euros",1950,1,13,106,554,674,264,162,69,59,48,1953,6106,
"        350 - 399,99 euros",2038,0,12,110,530,732,305,159,88,52,50,2043,6539,
"        400 - 499,99 euros",3788,1,15,112,857,1349,695,366,174,96,123,3803,12094,
"        500 - 649,99 euros",3527,0,10,66,580,1192,773,467,193,110,136,3539,11747,
"        650 - 799,99 euros",2275,1,4,31,262,712,523,372,158,98,114,2289,7779,
        800 euros ou mais,3589,0,10,27,219,758,909,668,405,249,344,3599,12554,
      Empresários do sector primário,972,3,6,32,128,274,185,122,83,57,82,976,3285,
        Sem encargos,583,2,3,16,69,161,116,74,43,43,56,585,1850,
        Com encargos,389,1,3,16,59,113,69,48,40,14,26,391,1435,
        Menos de 75 euros,9,0,0,0,1,5,1,0,1,1,0,9,32,
"        75  - 99,99 euros",7,1,0,0,0,2,1,2,1,0,0,7,21,
"        100 - 149,99 euros",18,0,1,1,2,9,3,0,0,1,1,18,64,
        150 - 199.99 euros,29,0,0,2,8,7,7,3,2,0,0,29,103,
"        200 - 249,99 euros",23,0,0,0,4,9,3,1,4,0,2,23,84,
"        250 - 299,99 euros",30,0,1,2,8,10,4,4,1,0,0,30,101,
"        300 - 349,99 euros",34,0,1,3,6,8,4,5,2,1,4,34,124,
"        350 - 399,99 euros",30,0,0,2,1,10,9,3,2,1,2,30,119,
"        400 - 499,99 euros",66,0,0,2,15,23,8,8,8,1,1,66,230,
