"3.20 - ALOJAMENTOS CLÁSSICOS PROPRIEDADE DOS OCUPANTES, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO A ÁREA ÚTIL DO ALOJAMENTO, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO, EXISTÊNCIA DE ENCARGOS POR COMPRA E RESPECTIVOS ESCALÕES",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,"Alojamentos clássicos, segundo a área útil do alojamento",,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalão de encargos,,Menos de 30m2,De 30 a menos de 40m2,De 40 a menos de 50 m2,De 50 a menos de 60 m2,De 60 a menos de 80 m2,De 80 a menos de 100 m2,De 100 a menos de 120 m2,De 120 a menos de 150 m2,De 150 a menos de 200 m2,200 m2 ou mais,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
    Portugal,2923271,25742,43410,99410,141948,375128,580756,549472,489199,333244,284962,2944202,7783117,
"      Empresários com profissões intelectuais, científicas e técnicas",17110,30,72,188,332,1311,2587,2820,3321,2842,3607,17169,47754,
        Sem encargos,5210,8,15,49,85,344,639,741,978,984,1367,5235,14260,
        Com encargos,11900,22,57,139,247,967,1948,2079,2343,1858,2240,11934,33494,
        Menos de 75 euros,174,2,3,5,5,15,35,40,34,16,19,175,465,
"        75  - 99,99 euros",138,2,3,5,3,13,30,18,22,25,17,138,363,
"        100 - 149,99 euros",346,0,4,6,9,50,67,75,64,40,31,348,883,
        150 - 199.99 euros,426,2,5,10,16,40,98,85,78,50,42,429,1096,
"        200 - 249,99 euros",647,2,8,13,31,88,181,106,93,64,61,649,1582,
"        250 - 299,99 euros",867,4,6,29,39,112,190,171,163,81,72,871,2115,
"        300 - 349,99 euros",1040,1,10,20,40,153,233,239,175,107,62,1042,2611,
"        350 - 399,99 euros",1157,0,2,13,31,135,278,242,191,146,119,1160,3005,
"        400 - 499,99 euros",1922,4,11,21,34,186,386,393,432,250,205,1928,5129,
"        500 - 649,99 euros",1932,4,3,11,17,99,267,350,478,358,345,1934,5618,
"        650 - 799,99 euros",1200,1,2,2,17,42,114,181,289,266,286,1204,3684,
