"3.23 - ALOJAMENTOS CLÁSSICOS ARRENDADOS E SUBARRENDADOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O NÚMERO DE DIVISÕES, FAMÍLIAS CLÁSSICAS E PESSOAS RESIDENTES, POR GRUPO SÓCIO-ECONÓMICO DO TITULAR DO ALOJAMENTO E ESCALÕES DE RENDA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,"Alojamentos clássicos, segundo o número de divisões",,,,,,,,,,,Famílias clássicas,Pessoas residentes,
Grupo sócio-económico do titular do alojamento e escalões de renda,Total,Com 1,Com 2,Com 3,Com 4,Com 5,Com 6,Com 7,Com 8,Com 9,Com 10 ou mais ,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
    Portugal,794465,9531,35852,140958,312755,197521,59554,21115,9232,4338,3609,811641,1955083,
"      Empresários com profissões intelectuais, científicas e técnicas",3622,26,132,717,1196,874,366,131,84,51,45,3691,7779,
        Menos de 20 euros,16,0,0,1,6,4,3,2,0,0,0,16,46,
"        20 - 34,99 euros",36,0,1,4,17,8,6,0,0,0,0,36,79,
"        35  -  49,99 euros",21,0,0,1,11,4,2,2,0,1,0,21,49,
"        50  -  74,99 euros",63,0,0,6,25,21,8,1,1,1,0,63,152,
"        75  -  99,99 euros",64,1,1,9,27,17,6,2,1,0,0,66,151,
"        100  -  149,99 euros",106,1,1,7,30,35,21,4,2,4,1,107,241,
"        150  -  199,99 euros",109,2,1,20,33,28,14,5,3,1,2,110,210,
"        200  -  299,99 euros",417,9,33,98,110,96,32,19,8,7,5,424,799,
"        300  -  399,99 euros",699,7,47,204,225,134,48,14,11,7,2,706,1347,
"        400  -  499,99 euros",611,4,22,153,239,123,44,11,6,2,7,618,1238,
"        500  -  649,99 euros",692,2,21,135,255,175,54,27,8,6,9,706,1496,
        650 euros ou mais,788,0,5,79,218,229,128,44,44,22,19,818,1971,
      Empresários da indústria comércio e serviços,7175,56,308,1163,2513,1787,674,301,176,98,99,7404,19918,
        Menos de 20 euros,122,0,9,17,43,36,10,5,1,0,1,126,343,
"        20 - 34,99 euros",138,2,7,30,51,31,10,4,2,1,0,138,380,
"        35  -  49,99 euros",111,0,3,18,48,32,5,3,0,2,0,111,296,
"        50  -  74,99 euros",212,4,6,21,97,54,18,4,5,1,2,215,589,
"        75  -  99,99 euros",182,0,7,24,68,49,17,7,4,5,1,182,496,
"        100  -  149,99 euros",333,5,7,49,117,68,46,15,14,5,7,347,959,
"        150  -  199,99 euros",395,6,30,64,139,98,34,12,5,3,4,409,1038,
"        200  -  299,99 euros",1378,20,100,268,464,310,118,48,32,10,8,1407,3647,
"        300  -  399,99 euros",1794,12,84,398,651,389,132,71,30,13,14,1833,4795,
"        400  -  499,99 euros",966,3,31,142,394,257,66,33,16,11,13,1014,2816,
"        500  -  649,99 euros",743,2,14,85,271,227,78,26,20,11,9,783,2148,
        650 euros ou mais,801,2,10,47,170,236,140,73,47,36,40,839,2411,
      Empresários do sector primário,169,5,10,32,50,40,22,4,0,1,5,177,527,
        Menos de 20 euros,7,1,0,0,2,3,0,1,0,0,0,7,27,
"        20 - 34,99 euros",4,0,0,1,0,1,1,1,0,0,0,4,11,
"        35  -  49,99 euros",5,0,0,0,0,3,2,0,0,0,0,5,16,
"        50  -  74,99 euros",10,0,0,1,4,4,1,0,0,0,0,10,31,
"        75  -  99,99 euros",4,0,0,0,0,3,0,1,0,0,0,4,21,
"        100  -  149,99 euros",11,0,3,2,2,1,3,0,0,0,0,11,27,
"        150  -  199,99 euros",11,1,0,6,2,2,0,0,0,0,0,11,26,
"        200  -  299,99 euros",38,2,5,13,12,1,3,0,0,0,2,38,100,
"        300  -  399,99 euros",41,1,1,6,15,9,7,1,0,1,0,44,133,
"        400  -  499,99 euros",22,0,1,3,7,8,3,0,0,0,0,26,79,
"        500  -  649,99 euros",6,0,0,0,4,2,0,0,0,0,0,6,15,
        650 euros ou mais,10,0,0,0,2,3,2,0,0,0,3,11,41,
      Pequenos patrões com profissões intelectuais e científicas,2833,15,96,418,928,735,333,162,75,36,35,2901,6464,
        Menos de 20 euros,19,0,0,5,3,5,1,5,0,0,0,19,46,
"        20 - 34,99 euros",22,0,0,0,12,4,2,3,1,0,0,22,51,
"        35  -  49,99 euros",14,0,0,0,7,2,2,1,0,2,0,14,29,
"        50  -  74,99 euros",45,0,0,4,16,12,9,4,0,0,0,45,105,
"        75  -  99,99 euros",43,1,3,1,19,5,7,6,0,0,1,43,97,
"        100  -  149,99 euros",111,2,7,5,34,28,24,7,3,1,0,114,243,
"        150  -  199,99 euros",90,0,2,13,18,24,15,7,1,6,4,92,192,
"        200  -  299,99 euros",326,1,23,70,118,70,19,14,7,2,2,328,681,
"        300  -  399,99 euros",596,7,27,128,201,160,37,19,6,4,7,601,1285,
"        400  -  499,99 euros",457,2,19,89,183,94,44,14,7,0,5,467,1005,
"        500  -  649,99 euros",502,2,13,65,169,147,67,18,12,7,2,525,1121,
        650 euros ou mais,608,0,2,38,148,184,106,64,38,14,14,631,1609,
      Pequenos patrões com profissões técnicas intermédias,2319,15,61,320,772,731,248,75,53,21,23,2364,5797,
        Menos de 20 euros,31,0,1,1,16,8,2,0,0,2,1,32,74,
"        20 - 34,99 euros",40,1,0,3,17,15,3,0,1,0,0,40,97,
"        35  -  49,99 euros",39,0,0,5,17,13,4,0,0,0,0,39,89,
"        50  -  74,99 euros",62,0,0,6,22,24,6,2,1,0,1,62,140,
"        75  -  99,99 euros",71,0,0,9,26,23,11,0,1,1,0,71,147,
"        100  -  149,99 euros",99,2,2,6,32,41,10,1,3,1,1,99,247,
"        150  -  199,99 euros",90,2,3,21,23,22,8,4,5,1,1,90,220,
"        200  -  299,99 euros",329,4,15,61,110,91,30,8,5,3,2,333,744,
"        300  -  399,99 euros",539,4,24,96,189,154,47,10,9,4,2,549,1314,
"        400  -  499,99 euros",378,1,8,63,149,101,33,13,6,1,3,388,968,
"        500  -  649,99 euros",358,0,5,36,112,130,45,14,6,3,7,369,941,
        650 euros ou mais,283,1,3,13,59,109,49,23,16,5,5,292,816,
      Pequenos patrões da indústria,8589,57,255,1161,3129,2429,839,363,179,97,80,8771,25913,
        Menos de 20 euros,196,4,8,34,62,50,23,5,5,2,3,198,575,
"        20 - 34,99 euros",188,0,10,31,70,51,18,5,1,1,1,188,576,
"        35  -  49,99 euros",179,1,6,21,81,42,18,6,2,1,1,179,511,
"        50  -  74,99 euros",308,3,10,39,120,94,24,10,5,1,2,309,916,
"        75  -  99,99 euros",276,4,11,37,114,67,30,4,5,2,2,277,772,
"        100  -  149,99 euros",523,7,19,77,174,144,58,25,12,4,3,527,1533,
"        150  -  199,99 euros",662,10,22,103,252,165,58,27,14,7,4,678,1974,
"        200  -  299,99 euros",1843,8,78,304,635,512,166,73,34,22,11,1871,5454,
"        300  -  399,99 euros",2069,17,63,328,793,573,160,64,36,20,15,2123,6176,
"        400  -  499,99 euros",976,1,15,91,419,294,85,38,15,12,6,1005,3099,
"        500  -  649,99 euros",707,1,7,55,261,236,74,36,18,9,10,739,2263,
        650 euros ou mais,662,1,6,41,148,201,125,70,32,16,22,677,2064,
      Pequenos patrões do comércio e serviços,10156,70,335,1517,3873,2828,878,316,170,83,86,10445,28950,
        Menos de 20 euros,181,2,7,32,68,37,17,11,1,3,3,183,543,
"        20 - 34,99 euros",243,3,8,41,90,58,27,8,4,0,4,247,713,
"        35  -  49,99 euros",234,2,9,33,96,66,16,6,4,1,1,234,578,
"        50  -  74,99 euros",389,3,12,42,186,101,29,11,2,2,1,391,1007,
"        75  -  99,99 euros",309,0,8,45,119,88,34,11,4,0,0,313,825,
"        100  -  149,99 euros",513,4,16,67,204,140,47,23,7,3,2,523,1312,
"        150  -  199,99 euros",598,5,28,93,206,163,61,18,14,7,3,611,1668,
"        200  -  299,99 euros",1949,20,109,349,694,506,159,60,31,12,9,1983,5361,
"        300  -  399,99 euros",2700,22,101,502,1040,689,190,70,39,28,19,2769,7596,
"        400  -  499,99 euros",1376,4,18,175,586,433,87,33,19,8,13,1423,4082,
"        500  -  649,99 euros",1038,4,9,98,412,339,105,30,22,7,12,1110,3327,
        650 euros ou mais,626,1,10,40,172,208,106,35,23,12,19,658,1938,
      Pequenos patrões do sector primário,829,11,36,85,265,248,94,53,10,14,13,846,2678,
        Menos de 20 euros,46,0,2,4,12,16,4,6,0,0,2,46,155,
"        20 - 34,99 euros",43,0,1,6,11,24,1,0,0,0,0,44,156,
"        35  -  49,99 euros",35,0,3,3,12,9,5,1,1,1,0,36,120,
"        50  -  74,99 euros",44,2,2,7,10,15,4,3,0,0,1,44,138,
"        75  -  99,99 euros",41,3,1,5,14,12,5,0,0,1,0,41,137,
"        100  -  149,99 euros",104,0,2,11,30,31,17,6,2,3,2,105,325,
"        150  -  199,99 euros",77,0,3,10,21,23,13,6,1,0,0,78,246,
"        200  -  299,99 euros",174,2,9,16,63,50,15,13,3,1,2,177,557,
"        300  -  399,99 euros",144,2,9,14,56,32,17,8,1,4,1,150,443,
"        400  -  499,99 euros",53,0,2,7,19,14,7,3,0,1,0,55,177,
"        500  -  649,99 euros",36,1,0,2,10,13,4,2,0,2,2,36,121,
        650 euros ou mais,32,1,2,0,7,9,2,5,2,1,3,34,103,
      Profissionais intelectuais e científicos independentes,3019,29,107,505,965,804,344,135,64,41,25,3069,6495,
        Menos de 20 euros,43,0,0,11,20,8,2,1,1,0,0,44,89,
"        20 - 34,99 euros",27,1,4,3,3,9,6,0,0,1,0,27,62,
"        35  -  49,99 euros",30,1,2,2,11,3,7,3,0,1,0,30,49,
"        50  -  74,99 euros",52,1,0,4,17,12,7,5,3,2,1,52,106,
"        75  -  99,99 euros",67,0,1,9,23,18,8,6,0,2,0,68,141,
"        100  -  149,99 euros",132,3,4,17,40,33,21,6,2,4,2,135,282,
"        150  -  199,99 euros",127,4,9,18,35,33,17,7,3,1,0,134,257,
"        200  -  299,99 euros",389,10,17,88,127,89,33,6,10,7,2,391,769,
"        300  -  399,99 euros",724,4,45,151,239,183,60,24,8,5,5,725,1473,
"        400  -  499,99 euros",480,2,14,104,153,127,50,14,7,6,3,487,1077,
"        500  -  649,99 euros",468,2,9,61,176,135,50,17,10,5,3,484,1012,
        650 euros ou mais,480,1,2,37,121,154,83,46,20,7,9,492,1178,
      Profissionais técnicos intermédios independentes,2717,10,73,342,994,828,276,100,54,23,17,2737,6663,
        Menos de 20 euros,38,0,2,7,13,8,5,3,0,0,0,39,83,
"        20 - 34,99 euros",54,0,2,7,17,18,7,1,0,1,1,54,126,
"        35  -  49,99 euros",68,0,1,8,27,25,5,0,2,0,0,68,149,
"        50  -  74,99 euros",94,0,0,10,33,31,13,6,0,0,1,94,211,
"        75  -  99,99 euros",94,0,2,7,40,29,12,3,0,0,1,94,229,
"        100  -  149,99 euros",142,1,6,17,58,33,13,3,6,2,3,143,346,
"        150  -  199,99 euros",142,2,2,33,43,40,8,7,6,1,0,142,332,
"        200  -  299,99 euros",419,3,23,55,179,103,34,10,6,5,1,421,985,
"        300  -  399,99 euros",653,4,23,117,228,194,57,18,5,4,3,661,1550,
"        400  -  499,99 euros",371,0,5,44,155,115,31,11,6,3,1,377,955,
"        500  -  649,99 euros",355,0,4,29,141,121,38,14,7,1,0,357,895,
        650 euros ou mais,287,0,3,8,60,111,53,24,16,6,6,287,802,
      Trabalhadores industriais e artesanais independentes,7719,88,276,1121,3151,2087,573,224,106,53,40,7850,22451,
        Menos de 20 euros,318,3,14,42,129,91,23,8,5,2,1,320,859,
"        20 - 34,99 euros",374,4,12,59,161,97,29,8,2,1,1,379,1017,
"        35  -  49,99 euros",281,2,13,42,126,71,14,8,4,1,0,282,736,
"        50  -  74,99 euros",438,7,19,60,199,114,26,9,3,1,0,439,1185,
"        75  -  99,99 euros",305,4,9,48,131,74,23,12,2,1,1,305,853,
"        100  -  149,99 euros",698,17,35,95,292,173,45,23,11,5,2,707,1930,
"        150  -  199,99 euros",672,12,29,89,266,181,60,21,7,5,2,679,1918,
"        200  -  299,99 euros",1786,22,61,274,675,497,139,58,30,15,15,1798,5178,
"        300  -  399,99 euros",1687,15,55,286,710,431,115,36,18,11,10,1721,5001,
"        400  -  499,99 euros",618,1,16,71,267,182,44,17,10,4,6,643,2026,
"        500  -  649,99 euros",375,0,9,27,146,123,38,15,9,6,2,400,1216,
        650 euros ou mais,167,1,4,28,49,53,17,9,5,1,0,177,532,
      Prestadores de serviços e comerciantes independentes,14262,169,593,2393,5460,3819,1032,438,197,84,77,14606,38353,
        Menos de 20 euros,709,14,26,95,265,225,53,16,6,6,3,714,2059,
"        20 - 34,99 euros",706,10,29,105,280,212,46,16,4,2,2,712,1981,
"        35  -  49,99 euros",472,3,19,66,177,137,44,16,6,3,1,475,1292,
"        50  -  74,99 euros",629,10,18,110,233,174,50,21,6,4,3,637,1608,
"        75  -  99,99 euros",534,9,17,82,215,136,46,17,4,6,2,540,1318,
"        100  -  149,99 euros",911,16,49,154,345,238,57,20,23,3,6,924,2249,
"        150  -  199,99 euros",1039,27,69,194,390,235,72,29,12,5,6,1055,2579,
"        200  -  299,99 euros",3014,35,162,596,1115,750,199,91,35,17,14,3067,7657,
"        300  -  399,99 euros",3464,42,138,668,1331,877,214,115,46,18,15,3526,9274,
"        400  -  499,99 euros",1450,3,29,182,668,395,97,36,23,5,12,1515,4294,
"        500  -  649,99 euros",866,0,24,90,316,296,83,26,14,9,8,934,2656,
        650 euros ou mais,468,0,13,51,125,144,71,35,18,6,5,507,1386,
      Trabalhadores independentes do sector primário,1428,8,48,210,460,451,147,45,33,9,17,1448,4261,
        Menos de 20 euros,132,2,2,9,48,52,13,4,2,0,0,132,381,
"        20 - 34,99 euros",103,0,6,17,28,40,8,0,2,1,1,112,315,
"        35  -  49,99 euros",61,1,3,10,15,21,8,2,0,0,1,61,175,
"        50  -  74,99 euros",91,0,1,11,30,27,15,4,2,0,1,91,278,
"        75  -  99,99 euros",88,1,5,10,32,26,3,4,6,0,1,88,274,
"        100  -  149,99 euros",179,3,7,32,56,54,13,6,4,1,3,179,523,
"        150  -  199,99 euros",141,1,3,27,48,40,13,5,3,1,0,143,387,
"        200  -  299,99 euros",256,0,14,41,93,71,23,4,4,3,3,258,731,
