"3.24 - ALOJAMENTOS CLÁSSICOS ARRENDADOS E SUBARRENDADOS, OCUPADOS COMO RESIDÊNCIA HABITUAL, SEGUNDO O ESCALÃO DE RENDA, POR ÉPOCA DE CONSTRUÇÃO",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Alojamentos clássicos arrendados segundo o escalão de renda (Euros),,,,,,,,,,,,,
 Época de construção,Total,Menos de 20 ,De 20 a menos de 35 ,De 35 a menos de 50 ,De 50 a menos de 75 ,De 75 a menos de 100 ,De 100 a menos de 150 ,De 150 a menos de 200 ,De 200 a menos de 300 ,De 300 a menos de 400 ,De 400 a menos de 500 ,De 500 a menos de 650 ,650  ou mais,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,
  Portugal,794465,57403,58937,41661,57205,42093,63626,60274,136883,152797,58345,38440,26801,
      Até 1919,45936,6895,5595,3243,3967,2874,4294,3421,5770,5473,1536,1562,1306,
      1919 - 1945,66771,8280,7375,4453,5655,4078,6853,5763,9272,8073,2529,2349,2091,
      1946 - 1960,110824,9892,11544,8476,10422,7427,10251,8477,15322,15841,5284,4158,3730,
      1961 - 1970,128289,8781,10863,9134,13504,8956,11571,9871,19739,21406,6770,4619,3075,
      1971 - 1980,148494,9903,9636,6749,10788,9100,13329,12467,26831,29903,10153,5915,3720,
      1981 - 1990,112865,4680,4842,3193,4867,3707,7687,9680,26700,27498,10647,5974,3390,
      1991 - 1995,51011,1845,1885,1375,1819,1437,2726,3726,12069,13521,5642,3175,1791,
      1996 - 2000,62651,3808,3812,2689,3159,2563,3809,3686,10950,14926,6610,4056,2583,
      2001 - 2005,48012,2398,2461,1772,2181,1416,2282,2279,7346,11542,6425,4530,3380,
      2006 - 2011,19612,921,924,577,843,535,824,904,2884,4614,2749,2102,1735,
    Continente,769768,55479,56089,40117,55312,41011,61974,58859,133441,148350,56080,36906,26150,
        Até 1919,44845,6732,5432,3169,3882,2812,4207,3327,5618,5335,1500,1543,1288,
        1919 - 1945,64902,8021,7159,4305,5500,3974,6714,5639,8984,7814,2419,2308,2065,
        1946 - 1960,108185,9507,11259,8292,10211,7267,10035,8277,14951,15455,5137,4089,3705,
        1961 - 1970,126344,8626,10680,9043,13334,8851,11409,9738,19436,21029,6626,4532,3040,
        1971 - 1980,145688,9585,9384,6608,10605,9001,13163,12313,26400,29296,9882,5793,3658,
        1981 - 1990,108801,4517,4334,2938,4548,3555,7364,9398,26036,26724,10321,5750,3316,
        1991 - 1995,49391,1807,1703,1287,1724,1374,2631,3624,11819,13214,5459,3026,1723,
        1996 - 2000,59920,3683,3464,2522,2959,2471,3645,3587,10576,14424,6286,3789,2514,
        2001 - 2005,44185,2201,2003,1524,1895,1267,2077,2119,6931,10889,5929,4141,3209,
        2006 - 2011,17507,800,671,429,654,439,729,837,2690,4170,2521,1935,1632,
      Norte,269178,21168,21424,14342,20391,14402,27618,28249,57313,44530,10915,5296,3530,
          Até 1919,16201,2872,2345,1294,1566,1096,1964,1521,1879,1339,125,91,109,
          1919 - 1945,22270,3331,2931,1739,2244,1533,2857,2373,2811,1923,229,131,168,
          1946 - 1960,31073,3313,3945,2561,3281,2222,3763,3292,4419,3195,547,265,270,
          1961 - 1970,39547,3072,3953,3064,4960,2989,4553,4205,6456,4718,819,421,337,
          1971 - 1980,48196,3767,3745,2443,3877,2928,5839,5957,10533,6809,1252,573,473,
          1981 - 1990,42009,1455,1457,1082,1700,1469,4095,5457,13528,8538,1861,794,573,
          1991 - 1995,20337,633,530,356,509,488,1322,2045,6821,5349,1378,607,299,
          1996 - 2000,25065,1484,1441,972,1184,914,1836,1900,5843,6277,1815,903,496,
          2001 - 2005,17741,932,802,664,722,540,1015,1101,3674,4740,2040,969,542,
          2006 - 2011,6739,309,275,167,348,223,374,398,1349,1642,849,542,263,
      Centro,111946,7275,6253,4028,5217,3888,8870,11371,29834,25673,5876,2442,1219,
          Até 1919,4263,908,594,277,325,254,434,444,597,356,27,19,28,
          1919 - 1945,8355,1280,917,523,613,452,1008,1001,1602,779,68,48,64,
          1946 - 1960,13950,1613,1424,915,970,673,1480,1614,3026,1779,247,94,115,
          1961 - 1970,15678,1130,1242,834,1065,794,1626,1891,4054,2430,342,140,130,
          1971 - 1980,19764,866,874,624,939,845,1943,2530,6056,4038,643,258,148,
          1981 - 1990,19184,680,598,376,564,427,1230,1929,6498,5349,976,372,185,
          1991 - 1995,9253,212,130,110,175,117,421,762,2921,3294,698,296,117,
          1996 - 2000,8928,260,197,151,147,132,311,574,2463,3255,962,340,136,
          2001 - 2005,8675,225,196,151,358,135,289,407,1874,3081,1271,519,169,
          2006 - 2011,3896,101,81,67,61,59,128,219,743,1312,642,356,127,
      Lisboa,307944,19895,23084,18287,25278,19729,20407,13436,31541,58909,31664,25655,20059,
          Até 1919,19900,2051,1970,1358,1671,1242,1374,946,2445,3061,1270,1393,1119,
          1919 - 1945,25502,1936,2365,1564,2046,1583,2018,1311,2912,4023,1940,2042,1762,
          1946 - 1960,52763,3338,4935,4219,5255,3895,3878,2363,5375,8668,4007,3587,3243,
          1961 - 1970,60653,3527,4746,4547,6599,4573,4464,2808,6687,11589,4905,3740,2468,
          1971 - 1980,63526,3972,3849,2931,4977,4668,4506,2830,7044,14615,6826,4489,2819,
          1981 - 1990,34451,1841,1776,1087,1616,1263,1453,1279,3607,8653,5656,3871,2349,
          1991 - 1995,14792,752,869,683,904,645,711,554,1148,2994,2541,1791,1200,
          1996 - 2000,20675,1648,1638,1277,1445,1301,1322,852,1426,3345,2550,2140,1731,
          2001 - 2005,11867,652,780,517,625,473,561,400,664,1506,1483,1938,2268,
          2006 - 2011,3815,178,156,104,140,86,120,93,233,455,486,664,1100,
      Alentejo,44392,5029,3553,2139,2734,1838,3611,4088,9253,8563,2190,952,442,
          Até 1919,3291,699,371,168,237,168,344,335,500,387,33,29,20,
          1919 - 1945,6453,1117,697,335,430,315,677,765,1240,684,105,53,35,
          1946 - 1960,7219,989,688,378,475,307,709,800,1534,1080,148,66,45,
          1961 - 1970,6370,708,532,362,450,307,560,609,1402,1127,208,76,29,
          1971 - 1980,7217,642,637,381,487,311,554,627,1543,1509,317,134,75,
          1981 - 1990,5465,332,288,217,345,206,369,425,1252,1479,358,146,48,
