"4.04 - PESSOAS A VIVER EM FAMÍLIA CLÁSSICA, SEGUNDO O ESTADO CIVIL LEGAL E O SEXO DO REPRESENTANTE DA FAMÍLIA, PELA CLASSE ETÁRIA DESTE",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,Total,,Solteiro,,Casado,,Divorciado,,Viúvo,,,,,
Classe Etária,HM,H,HM,H,HM,H,HM,H,HM,H,,,,
1,2,3,4,5,6,7,8,9,10,11,,,,
  Portugal,10436516,7772521,1350620,729534,7266619,6549881,853762,309159,965515,183947,,,,
      Menos de 20 anos,11782,5935,10702,5288,984,618,34,16,62,13,,,,
      20 - 24 anos,114137,62512,89420,46730,23070,15422,1408,313,239,47,,,,
      25 - 29 anos,395373,254795,219460,126549,161831,124733,13243,3417,839,96,,,,
      30 - 34 anos,840251,603008,268859,160831,509848,422668,58389,19109,3155,400,,,,
      35 - 39 anos,1177285,879583,221353,127844,827574,710478,119363,39958,8995,1303,,,,
      40 - 44 anos,1234087,942451,151054,83218,919084,807727,144878,48776,19071,2730,,,,
      45 - 49 anos,1266303,986451,112035,59951,968898,867897,149669,52752,35701,5851,,,,
      50 - 54 anos,1143475,906111,79178,41885,884764,806764,126466,48101,53067,9361,,,,
      55 - 59 anos,990360,791178,56108,27966,769613,712370,93766,38344,70873,12498,,,,
      60 - 64 anos,862753,685196,39513,17147,666333,624413,64714,27072,92193,16564,,,,
      65 - 69 anos,717691,549241,30033,10812,533548,502621,37758,15593,116352,20215,,,,
      70 - 74 anos,630236,454788,26081,8909,432318,409784,22294,8719,149543,27376,,,,
      75 ou mais anos,1052783,651272,46824,12404,568754,544386,21780,6989,415425,87493,,,,
    Continente,9927982,7400196,1301411,704457,6906501,6226125,815166,294781,904904,174833,,,,
        Menos de 20 anos,11315,5725,10309,5108,918,590,31,16,57,11,,,,
        20 - 24 anos,109386,59749,86496,45145,21384,14273,1287,288,219,43,,,,
        25 - 29 anos,376823,242008,212459,122401,151337,116376,12254,3141,773,90,,,,
        30 - 34 anos,797770,570782,259768,155261,479986,397113,55101,18032,2915,376,,,,
        35 - 39 anos,1119584,834489,214340,123841,783558,671654,113298,37751,8388,1243,,,,
        40 - 44 anos,1170549,892445,145573,80192,869349,763247,138046,46442,17581,2564,,,,
        45 - 49 anos,1197652,932943,107633,57723,915128,819800,142220,49996,32671,5424,,,,
        50 - 54 anos,1082382,858234,75949,40366,836768,763176,120885,45834,48780,8858,,,,
        55 - 59 anos,940114,752257,53837,27021,730787,676663,90063,36830,65427,11743,,,,
        60 - 64 anos,822749,655727,37644,16518,637229,597505,62417,26026,85459,15678,,,,
        65 - 69 anos,686093,527839,28303,10357,512614,483265,36614,15114,108562,19103,,,,
        70 - 74 anos,603727,438729,24628,8576,417204,395692,21667,8463,140228,25998,,,,
        75 ou mais anos,1009838,629269,44472,11948,550239,526771,21283,6848,393844,83702,,,,
      Norte,3657065,2831374,328733,167161,2751069,2517395,236908,79874,340355,66944,,,,
          Menos de 20 anos,3653,1825,3317,1610,313,206,8,7,15,2,,,,
          20 - 24 anos,36096,20389,25959,13589,9555,6681,521,108,61,11,,,,
          25 - 29 anos,128650,88640,56945,33436,66893,54061,4503,1114,309,29,,,,
          30 - 34 anos,279010,213418,60349,36572,199908,171339,17686,5391,1067,116,,,,
          35 - 39 anos,405868,320699,47149,26958,320748,282723,34688,10556,3283,462,,,,
          40 - 44 anos,442650,355149,32278,16927,361583,324273,41677,12936,7112,1013,,,,
          45 - 49 anos,470246,382756,25147,12278,389681,354790,41815,13568,13603,2120,,,,
          50 - 54 anos,421290,346585,18474,8472,348637,322166,34434,12448,19745,3499,,,,
          55 - 59 anos,361032,297069,14356,5706,295320,276783,25317,9867,26039,4713,,,,
          60 - 64 anos,304531,247862,11399,3716,244239,231662,16311,6482,32582,6002,,,,
          65 - 69 anos,243471,188754,9267,2457,184109,175347,9215,3724,40880,7226,,,,
          70 - 74 anos,212720,153755,8271,2079,146082,139714,5532,2060,52835,9902,,,,
          75 ou mais anos,347848,214473,15822,3361,184001,177650,5201,1613,142824,31849,,,,
      Centro,2290030,1773967,225768,128625,1679638,1538704,166868,63555,217756,43083,,,,
          Menos de 20 anos,2307,1183,2074,1035,209,138,9,4,15,6,,,,
          20 - 24 anos,21617,12365,16872,9221,4387,3068,306,67,52,9,,,,
          25 - 29 anos,74602,49813,38542,23547,32984,25508,2907,749,169,9,,,,
          30 - 34 anos,166983,124531,44640,28567,108964,91600,12614,4271,765,93,,,,
          35 - 39 anos,237757,183821,33898,20901,177983,154396,23743,8222,2133,302,,,,
          40 - 44 anos,260702,206363,23121,13729,204309,182187,29122,9865,4150,582,,,,
          45 - 49 anos,273434,221778,17678,10305,218874,199103,29415,11011,7467,1359,,,,
          50 - 54 anos,253177,208699,12598,7227,204689,189652,24415,9789,11475,2031,,,,
          55 - 59 anos,219032,182575,8853,4705,178197,167736,17160,7510,14822,2624,,,,
          60 - 64 anos,193065,159041,6732,2956,154763,146973,11876,5509,19694,3603,,,,
          65 - 69 anos,167957,133267,5723,2084,129528,123469,7027,3173,25679,4541,,,,
          70 - 74 anos,154578,116959,5127,1744,111387,106824,4237,1847,33827,6544,,,,
          75 ou mais anos,264819,173572,9910,2604,153364,148050,4037,1538,97508,21380,,,,
      Lisboa,2792992,1919532,561222,294642,1693365,1474278,306651,108622,231754,41990,,,,
          Menos de 20 anos,3742,1834,3479,1683,237,145,10,5,16,1,,,,
          20 - 24 anos,37705,19189,32397,16096,4943,3002,294,73,71,18,,,,
          25 - 29 anos,127991,74779,88767,48474,35743,25388,3281,878,200,39,,,,
          30 - 34 anos,257150,167066,118208,67136,120641,93887,17599,5939,702,104,,,,
          35 - 39 anos,346632,235343,101860,56015,202290,164975,40566,14035,1916,318,,,,
          40 - 44 anos,332847,230550,68472,36114,210627,176633,49409,17174,4339,629,,,,
          45 - 49 anos,318574,224978,48568,24952,210061,180753,52053,18001,7892,1272,,,,
          50 - 54 anos,284468,205963,33558,17068,192850,170027,46128,16650,11932,2218,,,,
          55 - 59 anos,250582,185106,22797,11365,174966,156936,36030,13861,16789,2944,,,,
          60 - 64 anos,229356,172718,14279,6568,165487,151686,26622,10222,22968,4242,,,,
          65 - 69 anos,191925,142408,9379,3606,137695,127784,15859,5947,28992,5071,,,,
          70 - 74 anos,157494,110095,7543,2628,104984,97960,9239,3200,35728,6307,,,,
          75 ou mais anos,254526,149503,11915,2937,132841,125102,9561,2637,100209,18827,,,,
      Alentejo,741454,562336,99504,62903,507990,460253,57814,23958,76146,15222,,,,
          Menos de 20 anos,955,511,850,449,91,60,4,0,10,2,,,,
          20 - 24 anos,8018,4637,6447,3704,1446,906,102,22,23,5,,,,
          25 - 29 anos,25783,17087,15180,9601,9579,7233,975,246,49,7,,,,
          30 - 34 anos,55739,40304,19280,12845,31803,25935,4397,1475,259,49,,,,
          35 - 39 anos,76457,58526,15595,10424,51937,45053,8262,2946,663,103,,,,
          40 - 44 anos,81535,63817,10841,7120,59373,52643,10099,3817,1222,237,,,,
          45 - 49 anos,84898,67379,8367,5440,63510,57223,10598,4281,2423,435,,,,
          50 - 54 anos,78434,63795,6033,4078,60125,55132,8720,3887,3556,698,,,,
          55 - 59 anos,68822,56724,4272,2872,53683,49944,5925,2965,4942,943,,,,
          60 - 64 anos,60023,48383,3039,1866,46626,43420,3772,1927,6586,1170,,,,
          65 - 69 anos,52208,40180,2330,1184,38870,36309,2317,1177,8691,1510,,,,
          70 - 74 anos,52569,38600,2508,1343,36614,34456,1335,655,12112,2146,,,,
          75 ou mais anos,96013,62393,4762,1977,54333,51939,1308,560,35610,7917,,,,
      Algarve,446441,312987,86184,51126,274439,235495,46925,18772,38893,7594,,,,
          Menos de 20 anos,658,372,589,331,68,41,0,0,1,0,,,,
          20 - 24 anos,5950,3169,4821,2535,1053,616,64,18,12,0,,,,
          25 - 29 anos,19797,11689,13025,7343,6138,4186,588,154,46,6,,,,
          30 - 34 anos,38888,25463,17291,10141,18670,14352,2805,956,122,14,,,,
          35 - 39 anos,52870,36100,15838,9543,30600,24507,6039,1992,393,58,,,,
          40 - 44 anos,52815,36566,10861,6302,33457,27511,7739,2650,758,103,,,,
          45 - 49 anos,50500,36052,7873,4748,33002,27931,8339,3135,1286,238,,,,
          50 - 54 anos,45013,33192,5286,3521,30467,26199,7188,3060,2072,412,,,,
          55 - 59 anos,40646,30783,3559,2373,28621,25264,5631,2627,2835,519,,,,
          60 - 64 anos,35774,27723,2195,1412,26114,23764,3836,1886,3629,661,,,,
