"4.06 - PESSOAS RESIDENTES EM ALOJAMENTOS FAMILIARES, SEGUNDO O TIPO DE ALOJAMENTO E O NÚMERO DE  FAMÍLIAS CLÁSSICAS  RESIDENTES, POR GRUPO SÓCIO-ECONÓMICO DO REPRESENTANTE DA FAMÍLIA",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Zona Geográfica,,Alojamentos clássicos,,,,Alojamentos não clássicos,,,,,,,,
Grupo sócio-económico do representante da família,Total ,Total,Com 1 famíla,Com 2 famílias,Com 3 ou mais famílias,Total,Com 1 família,Com 2 famílias,Com 3 ou mais famílias,,,,,
1,2,3,4,5,6,7,8,9,10,,,,,
  Portugal,10430548,10413100,10270584,114564,27952,17448,16614,531,303,,,,,
"      Empresários com profissões intelectuais, científicas e técnicas",58774,58735,58272,366,97,39,39,0,0,,,,,
      Empresários da indústria comércio e serviços,157218,157093,155510,1256,327,125,125,0,0,,,,,
      Empresários do sector primário,4109,4102,4052,32,18,7,2,5,0,,,,,
      Pequenos patrões com profissões intelectuais e científicas,57299,57267,56863,326,78,32,32,0,0,,,,,
      Pequenos patrões com profissões técnicas intermédias,53137,53121,52778,293,50,16,16,0,0,,,,,
      Pequenos patrões da indústria,279998,279768,276713,2700,355,230,219,9,2,,,,,
      Pequenos patrões do comércio e serviços,217122,216879,214180,2188,511,243,217,25,1,,,,,
      Pequenos patrões do sector primário,43965,43896,43391,426,79,69,66,2,1,,,,,
      Profissionais intelectuais e científicos independentes,44873,44854,44456,319,79,19,19,0,0,,,,,
      Profissionais técnicos intermédios independentes,49470,49446,49086,317,43,24,24,0,0,,,,,
      Trabalhadores industriais e artesanais independentes,186101,185883,183844,1797,242,218,215,2,1,,,,,
      Prestadores de serviços e comerciantes independentes,184823,184476,181892,2091,493,347,329,18,0,,,,,
      Trabalhadores independentes do sector primário,75819,75675,74894,688,93,144,143,1,0,,,,,
      Directores e quadros dirigentes do Estado e empresas,190717,190674,189656,878,140,43,43,0,0,,,,,
      Dirigentes de pequenas empresas e organizações,40443,40424,39980,364,80,19,18,0,1,,,,,
      Quadros intelectuais e científicos,658454,658262,652271,4635,1356,192,189,3,0,,,,,
      Quadros técnicos intermédios,568613,568467,563900,3776,791,146,143,2,1,,,,,
      Quadros administrativos intermédios,84482,84462,83783,588,91,20,20,0,0,,,,,
      Empregados administrativos do comércio e serviços,1287649,1286375,1264556,17031,4788,1274,1174,79,21,,,,,
      Operários qualificados e semi-qualificados,1726632,1723939,1695293,23474,5172,2693,2551,72,70,,,,,
      Assalariados do sector primário,105201,104744,101905,2001,838,457,410,23,24,,,,,
      Trabalhadores administrativos do comércio e serviços não qualificados,385125,383926,374628,7279,2019,1199,1151,28,20,,,,,
      Operários não qualificados,227780,227124,221476,4111,1537,656,577,44,35,,,,,
      Trabalhadores não qualificados do sector primário,31436,31225,30059,638,528,211,184,13,14,,,,,
      Pessoal das forças armadas,49075,49072,48730,291,51,3,3,0,0,,,,,
      Outras pessoas activas n.e.,48133,47500,46281,807,412,633,606,12,15,,,,,
      Inactivos,3614100,3605711,3562135,35892,7684,8389,8099,193,97,,,,,
