"4.07 - FAMÍLIAS CLÁSSICAS, SEGUNDO A CLASSE ETÁRIA DO REPRESENTANTE DA FAMÍLIA, POR TIPO DE FAMÍLIA ",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Zona Geográfica,Classe etária do representante da família,,,,,,,,,,,,,,,
Tipo de família com base no número de núcleos familiares,Total,Menos de 20 anos,De 20 a 24 anos,De 25 a 29 anos,De 30 a 34 anos,De 35 a 39 anos,De 40 a 44 anos,De 45 a 49 anos,De 50 a 54 anos,De 55 a 59 anos,De 60 a 64 anos,De 65 a 69 anos,De 70 a 74 anos,De 75 ou mais anos,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,
  Portugal,4043726,5948,53496,172942,317023,389760,383476,395864,385386,372884,360945,326646,306712,572644,,
      Famílias sem núcleos,940457,3286,21624,50611,64202,59639,50307,52614,59058,67553,76117,82229,95873,257344,,
      Famílias sem núcleos com uma só pessoa,866827,2694,17849,43750,58116,55300,46600,48443,54381,62379,70373,76307,89183,241452,,
      Famílias sem núcleos só pessoas aparentadas,52162,397,2345,3729,3132,2482,2355,2788,3261,3846,4419,4845,5717,12846,,
      Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,21468,195,1430,3132,2954,1857,1352,1383,1416,1328,1325,1077,973,3046,,
      Famílias com um núcleo,2984598,2581,31080,120309,249615,325855,326649,331503,310194,287329,268374,231188,199818,300103,,
      Casal de direito sem filhos,892560,261,4272,24316,35562,22308,15327,21538,49448,97170,139328,148013,136293,198724,,
      Casal de direito sem filhos sem outras pessoas,829835,236,3965,23517,34552,21376,14285,19513,44477,87448,126587,137082,128546,188251,,
      Casal de direito sem filhos com outras pessoas,62725,25,307,799,1010,932,1042,2025,4971,9722,12741,10931,7747,10473,,
      Casal de direito com pelo menos um filho com menos de 25 anos,1081980,501,5141,31198,119719,201925,217942,216019,157335,77611,29982,10820,5589,8198,,
      Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,1006818,453,4751,29791,115683,194544,207513,202349,145142,70069,25612,7638,2203,1070,,
      Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,75162,48,390,1407,4036,7381,10429,13670,12193,7542,4370,3182,3386,7128,,
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,259233,2,6,1636,1850,1543,1474,6412,30748,57159,57458,39937,28213,32795,,
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,237731,0,2,1456,1678,1437,1369,5890,28020,51938,52570,37009,26417,29945,,
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21502,2,4,180,172,106,105,522,2728,5221,4888,2928,1796,2850,,
      Casal de facto sem filhos,144405,636,9234,28447,28462,16025,9534,9033,9678,9379,7923,5909,4336,5809,,
      Casal de facto sem filhos sem outras pessoas,133922,590,8671,27403,27522,15345,8899,8105,8418,8238,6930,5196,3832,4773,,
      Casal de facto sem filhos com outras pessoas,10483,46,563,1044,940,680,635,928,1260,1141,993,713,504,1036,,
      Casal de facto com pelo menos um filho com menos de 25 anos,183186,594,7785,21685,36830,39327,29681,21314,12942,6560,3030,1458,863,1117,,
      Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,169489,548,7279,20530,35132,37429,28008,19747,11625,5586,2304,847,297,157,,
      Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,13697,46,506,1155,1698,1898,1673,1567,1317,974,726,611,566,960,,
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,8915,0,2,192,165,99,243,855,1761,1951,1487,962,612,586,,
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,8024,0,2,168,141,95,221,777,1583,1778,1356,880,551,472,,
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,891,0,0,24,24,4,22,78,178,173,131,82,61,114,,
      Pai com pelo menos um filho com menos de 25 anos,30441,70,384,514,1599,3466,4981,6443,5341,3403,1762,891,703,884,,
      Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,25985,62,341,438,1419,3167,4544,5906,4857,2986,1384,505,236,140,,
      Pai com pelo menos um filho com menos de 25 anos com outras pessoas,4456,8,43,76,180,299,437,537,484,417,378,386,467,744,,
      Pai com filho(s) tendo o mais novo 25 ou mais anos,24959,0,1,353,375,360,380,725,1811,2816,3173,2895,3186,8884,,
      Pai com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,23228,0,0,306,343,334,362,674,1658,2608,2986,2713,3018,8226,,
      Pai com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,1731,0,1,47,32,26,18,51,153,208,187,182,168,658,,
      Mãe com pelo menos um filho com menos de 25 anos,216160,515,4241,9794,22577,38168,43899,42271,27340,12899,5507,2706,2363,3880,,
      Mãe com pelo menos um filho com menos de 25 anos sem outras pessoas,184409,433,3664,8525,20305,35069,40108,38048,23799,10224,3323,749,126,36,,
      Mãe com pelo menos um filho com menos de 25 anos com outras pessoas,31751,82,577,1269,2272,3099,3791,4223,3541,2675,2184,1957,2237,3844,,
      Mãe com filho(s) tendo o mais novo 25 ou mais anos,142759,2,14,2174,2476,2634,3188,6893,13790,18381,18724,17597,17660,39226,,
      Mãe com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,130624,0,0,1905,2221,2388,2941,6304,12503,16577,17119,16188,16431,36047,,
      Mãe com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,12135,2,14,269,255,246,247,589,1287,1804,1605,1409,1229,3179,,
      Famílias com dois núcleos,114488,77,764,1949,3131,4163,6312,11293,15504,17258,15880,12808,10681,14668,,
      Famílias sem filhos nos dois núcleos,13783,16,111,306,370,254,407,1165,2222,2621,2262,1358,940,1751,,
      Famílias sem filhos nos dois núcleos sem outras pessoas,12142,11,92,262,318,225,360,1005,1956,2328,1993,1203,839,1550,,
      Famílias sem filhos nos dois núcleos com outras pessoas,1641,5,19,44,52,29,47,160,266,293,269,155,101,201,,
      Famílias com filhos só num dos núcleos,62772,26,331,894,1621,2316,3022,5123,7247,8796,9324,8190,6945,8937,,
      Famílias com filhos só num dos núcleos sem outras pessoas,56897,23,285,791,1454,2108,2735,4660,6466,7882,8404,7504,6436,8149,,
      Famílias com filhos só num dos núcleos com outras pessoas,5875,3,46,103,167,208,287,463,781,914,920,686,509,788,,
      Famílias com filhos nos dois núcleos,37933,35,322,749,1140,1593,2883,5005,6035,5841,4294,3260,2796,3980,,
      Famílias com filhos nos dois núcleos sem outras pessoas,33029,34,264,653,969,1360,2532,4426,5343,5102,3772,2802,2397,3375,,
      Famílias com filhos nos dois núcleos com outras pessoas,4904,1,58,96,171,233,351,579,692,739,522,458,399,605,,
      Famílias com três ou mais núcleos,4183,4,28,73,75,103,208,454,630,744,574,421,340,529,,
      Famílias com três ou mais núcleos sem outras pessoas,3540,4,24,63,61,81,169,382,540,625,481,354,302,454,,
      Famílias com três ou mais núcleos com outras pessoas,643,0,4,10,14,22,39,72,90,119,93,67,38,75,,
