4.09 - FAMÍLIAS CLÁSSICAS SEGUNDO A SUA DIMENSÃO E O NÚMERO DE PESSOAS COM DIFICULDADES,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Total de familias clássicas segundo o número de pessoas com 5 ou mais anos com dificuldades,,,,, Famílias clássicas com pessoas entre os 5 e os 14 anos com dificuldades,,,,,Famílias clássicas com pessoas entre os 15 e 64 anos com dificuldades,,,,,Famílias clássicas com pessoas com 65 ou mais anos com dificuldades,,,,
Dimensão da família,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas,Total,Nenhuma pessoa,1 pessoa,2 pessoas,3 ou mais pessoas
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
    Portugal,4043726,2747923,934129,318417,43257,852776,804486,45343,2758,189,3236946,2639083,478134,106932,12797,1374122,613025,600930,157076,3091
        Continente,3869188,2628220,895143,305243,40582,806607,760970,42859,2599,179,3085842,2516671,455830,101502,11839,1322168,590549,576697,151974,2948
            Norte,1330892,894276,307499,112062,17055,313557,296643,15936,910,68,1104466,888162,170016,41247,5041,433272,188262,191756,52003,1251
            Centro,904770,579688,229475,85050,10557,176288,165754,9889,611,34,686421,547911,109822,25773,2915,346024,142500,156728,45954,842
            Lisboa,1147775,824865,243333,70741,8836,225554,212086,12590,820,58,926460,775770,123852,24076,2762,361496,177894,150016,33093,493
            Alentejo,302975,195544,77882,26788,2761,55545,52592,2788,154,11,222398,180433,34070,7185,710,120957,50667,54500,15540,250
            Algarve,182776,133847,36954,10602,1373,35663,33895,1656,104,8,146097,124395,18070,3221,411,60419,31226,23697,5384,112
        Região Autónoma dos Açores,81715,55963,18073,6324,1355,22677,21316,1267,86,8,71274,57367,10630,2768,509,23117,9760,10950,2353,54
            Região Autónoma dos Açores,81715,55963,18073,6324,1355,22677,21316,1267,86,8,71274,57367,10630,2768,509,23117,9760,10950,2353,54
        Região Autónoma da Madeira,92823,63740,20913,6850,1320,23492,22200,1217,73,2,79830,65045,11674,2662,449,28837,12716,13283,2749,89
            Região Autónoma da Madeira,92823,63740,20913,6850,1320,23492,22200,1217,73,2,79830,65045,11674,2662,449,28837,12716,13283,2749,89
