"4.10 - FAMÍLIAS CLÁSSICAS, SEGUNDO O NÍVEL DE ESCOLARIDADE ATINGIDO E O SEXO DO REPRESENTANTE DA FAMÍLIA, POR TIPO DE FAMÍLIA ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Zona Geográfica,Nível de escolaridade e sexo do representante da família,,,,,,,,,,,,,,
Tipo de família com base no número de núcleos familiares,Total,Sem nível de escolaridade,,Básico - 1º ciclo,,Básico - 2º ciclo,,Básico - 3º ciclo,,Secundário,,Pós-secundário,,Ensino superior ,
,,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H,HM,H
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
  Portugal,4043726,266155,125191,1464309,1018410,407613,321028,580282,429723,627692,443108,24912,17051,672763,408718
      Famílias sem núcleos,940457,117240,23916,360819,109884,54090,28038,93091,46149,117485,60517,5899,3530,191833,77356
      Famílias sem núcleos com uma só pessoa,866827,110082,22318,334376,102347,49440,25776,84932,42233,106865,55256,5186,3094,175946,70832
      Famílias sem núcleos só pessoas aparentadas,52162,6121,1198,22110,5916,3431,1641,5503,2475,6109,2791,365,203,8523,3035
      Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,21468,1037,400,4333,1621,1219,621,2656,1441,4511,2470,348,233,7364,3489
      Famílias com um núcleo,2984598,139051,94840,1035680,853745,341498,283917,474194,374338,500186,375945,18770,13374,475219,327811
      Casal de direito sem filhos,892560,64428,58571,486009,456814,60951,56943,96500,89846,86411,78089,2595,2221,95666,80309
      Casal de direito sem filhos sem outras pessoas,829835,59920,55746,449863,425922,56121,52678,89450,83657,80994,73485,2475,2138,91012,76523
      Casal de direito sem filhos com outras pessoas,62725,4508,2825,36146,30892,4830,4265,7050,6189,5417,4604,120,83,4654,3786
      Casal de direito com pelo menos um filho com menos de 25 anos,1081980,16904,12662,218310,197820,185576,174523,214667,197700,233901,209359,8107,6859,204515,171188
      Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,1006818,12075,11087,190328,179602,173596,164098,202469,187377,223294,200591,7785,6597,197271,165590
      Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,75162,4829,1575,27982,18218,11980,10425,12198,10323,10607,8768,322,262,7244,5598
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,259233,14410,13115,146033,138265,21310,20029,31283,29201,23282,21028,227,139,22688,19425
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,237731,13074,12289,133858,127626,19477,18349,28676,26837,21468,19448,202,120,20976,18000
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21502,1336,826,12175,10639,1833,1680,2607,2364,1814,1580,25,19,1712,1425
