"4.12 - FAMÍLIAS CLÁSSICAS, SEGUNDO O GRUPO SOCIO-ECONÓMICO DO REPRESENTANTE DA FAMÍLIA, POR TIPO DE FAMÍLIA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zona Geográfica,Famílias clássicas segundo o grupo socio-económico do representante,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tipo de família com base no nº de núcleos familiares,Total,"Empresários com profissões intelectuais, científicas e técnicas",Empresários da indústria comércio e serviços,Empresários do sector primário,Pequenos patrões com profissões intelectuais e científicas,Pequenos patrões com profissões técnicas intermédias,Pequenos patrões da indústria,Pequenos patrões do comércio e serviços,Pequenos patrões do sector primário,Profissionais intelectuais e científicos independentes,Profissionais técnicos intermédios independentes,Trabalhadores industriais e artesanais independentes,Prestadores de serviços e comerciantes independentes,Trabalhadores independentes do sector primário,Directores e quadros dirigentes do Estado e empresas,Dirigentes de pequenas empresas e organizações,Quadros intelectuais e científicos,Quadros técnicos intermédios,Quadros administrativos intermédios,Empregados administrativos do comércio e serviços,Operários qualificados e semi-qualificados,Assalariados do sector primário,Trabalhadores administrativos do comércio e serviços não qualificados,Operários não qualificados,Trabalhadores não qualificados do sector primário,Pessoal das forças armadas,Outras pessoas activas n.e.,Inactivos,,,,
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,,,,
  Portugal,4043726,22283,50868,1248,20723,18299,85457,71256,13130,17773,17521,58946,65791,25091,65880,14141,264130,203407,31573,476048,547099,34841,138509,76272,10831,16907,17481,1678221,,,,
      Famílias sem núcleos,940457,5434,5945,131,4330,2608,5845,7457,747,4678,2945,4994,12078,3346,10703,2365,75685,35794,6286,94706,51038,5617,28758,11587,2099,2430,4437,548414,,,,
      Famílias sem núcleos com uma só pessoa,866827,5064,5455,115,4007,2427,5387,6673,622,4372,2777,4651,11046,3022,10062,2192,69958,33250,5833,85968,46161,5040,25753,10242,1913,2223,3745,508869,,,,
      Famílias sem núcleos só pessoas aparentadas,52162,164,258,10,164,92,277,448,97,153,91,222,662,283,307,76,2778,1362,270,5236,3270,395,2176,933,133,99,465,31741,,,,
      Famílias sem núcleos só pessoas aparentadas e/ou não aparentadas,21468,206,232,6,159,89,181,336,28,153,77,121,370,41,334,97,2949,1182,183,3502,1607,182,829,412,53,108,227,7804,,,,
      Famílias com um núcleo,2984598,16639,43557,1054,16188,15384,76782,61397,11573,12913,14282,51954,51645,20584,54553,11544,186623,164783,24801,371450,478436,27658,104056,62058,8306,14338,12501,1069539,,,,
      Casal de direito sem filhos,892560,3128,7968,207,2925,2900,13043,12723,2970,2694,2871,10627,9234,5911,7750,1811,27405,24808,3129,46325,75194,5577,11883,9358,1729,1794,1625,596971,,,,
      Casal de direito sem filhos sem outras pessoas,829835,2962,7374,188,2761,2730,11923,11594,2609,2548,2676,9662,8434,5203,7376,1694,26351,23446,2908,42853,69084,5049,10653,8536,1561,1730,1467,556463,,,,
      Casal de direito sem filhos com outras pessoas,62725,166,594,19,164,170,1120,1129,361,146,195,965,800,708,374,117,1054,1362,221,3472,6110,528,1230,822,168,64,158,40508,,,,
      Casal de direito com pelo menos um filho com menos de 25 anos,1081980,7660,23594,607,7971,7847,46898,30026,5796,5479,7059,29547,20334,9509,31856,6068,86271,89360,11363,159784,292926,13965,33110,32056,3787,9316,4320,105471,,,,
      Casal de direito com pelo menos um filho com menos de 25 anos sem outras pessoas,1006818,7358,22355,560,7683,7482,44254,27984,5126,5291,6753,27826,18912,8499,30915,5845,83407,85893,10821,151287,275995,12921,30283,29932,3495,9028,4018,82895,,,,
      Casal de direito com pelo menos um filho com menos de 25 anos com outras pessoas,75162,302,1239,47,288,365,2644,2042,670,188,306,1721,1422,1010,941,223,2864,3467,542,8497,16931,1044,2827,2124,292,288,302,22576,,,,
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos,259233,939,3193,87,845,1088,6794,5959,1577,754,1081,5299,3957,2456,2168,587,6582,8412,1240,15919,30226,2094,4442,3448,644,351,622,148469,,,,
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,237731,860,2900,77,783,996,6181,5445,1391,692,998,4870,3601,2151,2029,538,6078,7692,1129,14579,27556,1898,4004,3148,590,326,566,136653,,,,
      Casal de direito com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,21502,79,293,10,62,92,613,514,186,62,83,429,356,305,139,49,504,720,111,1340,2670,196,438,300,54,25,56,11816,,,,
      Casal de facto sem filhos,144405,1410,1976,36,1397,899,2183,2359,260,1193,729,1408,2139,496,3672,768,19529,11896,1635,28399,18718,1337,5795,3500,427,1322,944,29978,,,,
      Casal de facto sem filhos sem outras pessoas,133922,1360,1850,36,1340,863,2054,2180,225,1144,690,1303,1934,442,3584,730,19046,11500,1558,26588,17466,1220,5075,3203,398,1282,872,25979,,,,
      Casal de facto sem filhos com outras pessoas,10483,50,126,0,57,36,129,179,35,49,39,105,205,54,88,38,483,396,77,1811,1252,117,720,297,29,40,72,3999,,,,
      Casal de facto com pelo menos um filho com menos de 25 anos,183186,1351,3353,68,1366,1198,4666,4260,532,1033,1075,2943,4421,907,4155,916,14167,12599,2068,38779,37084,2433,11387,6391,895,974,2069,22096,,,,
      Casal de facto com pelo menos um filho com menos de 25 anos sem outras pessoas,169489,1296,3164,64,1315,1154,4376,3976,481,988,1022,2752,4096,813,4050,866,13764,12148,1996,36518,34754,2234,10265,5943,841,949,1945,17719,,,,
      Casal de facto com pelo menos um filho com menos de 25 anos com outras pessoas,13697,55,189,4,51,44,290,284,51,45,53,191,325,94,105,50,403,451,72,2261,2330,199,1122,448,54,25,124,4377,,,,
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos,8915,45,104,1,39,42,185,203,33,29,56,129,223,49,79,28,343,331,75,1200,867,71,562,141,34,11,54,3981,,,,
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos sem outras pessoas,8024,44,98,1,35,40,169,186,31,28,53,117,198,44,70,25,318,307,68,1071,782,66,501,130,32,9,49,3552,,,,
      Casal de facto com filho(s) tendo o mais novo 25 ou mais anos com outras pessoas,891,1,6,0,4,2,16,17,2,1,3,12,25,5,9,3,25,24,7,129,85,5,61,11,2,2,5,429,,,,
      Pai com pelo menos um filho com menos de 25 anos,30441,296,612,15,261,215,954,610,111,267,301,729,588,236,915,187,2289,2324,244,4136,6399,389,910,812,103,251,195,6092,,,,
      Pai com pelo menos um filho com menos de 25 anos sem outras pessoas,25985,278,561,14,250,200,870,546,91,256,274,665,504,210,859,174,2133,2170,222,3670,5795,359,717,714,95,242,168,3948,,,,
      Pai com pelo menos um filho com menos de 25 anos com outras pessoas,4456,18,51,1,11,15,84,64,20,11,27,64,84,26,56,13,156,154,22,466,604,30,193,98,8,9,27,2144,,,,
